ell,nu_med,nu_mad
2,140.84914538918434,0.05971618591355128
0,143.07506755638596,0.05625942545550695
2,157.367311082052,0.03665682574955967
0,159.59337781663893,0.03367078967219435
2,174.0044939186761,0.020689431641209295
0,176.23029018388374,0.017117788394803556
2,190.75795602364485,0.01290147943919955
0,192.9845977960716,0.009289460069953225
2,207.62906424343686,0.010693981914264043
0,209.85630166080716,0.009307217842149065
2,224.61827531495194,0.009987451453543099
0,226.8446877957656,0.00831837144290472
2,241.72355576484645,0.011503984997880917
0,243.95009963549933,0.010355433586535298
2,258.94572699596415,0.020721378225561204
0,261.1740701111319,0.02016024063896008
