nu	h	lw	logL
1.13532862264239213346e+02	1.93332346936862755626e+01	2.58997921370107686556e-03       -2.717561e+13
1.17539795398695460449e+02	5.10260973847731165165e+01	1.88106395319107000397e-03       -4.299005e+12
1.00438044071060801343e+02	8.31608061466565260389e+01	1.89602836291098419963e-02       -5.266483e+10
1.13491949319851613609e+02	8.19350213337292530014e+01	3.82853318922023871940e-02       -1.886157e+10
1.02790223720053162992e+02	6.11848159166719156588e+01	1.51705298413564726445e-02       -1.775550e+10
1.09844656194058501342e+02	6.14212001101247295765e+01	8.89791969890307149482e-03       -1.287830e+10
1.13410515332621216089e+02	7.23133656918309668526e+01	2.10014519010163630552e-02       -1.020931e+10
1.15663330117185651602e+02	8.42583319754507442667e+01	3.68635182403842520671e-02       -7.848328e+09
1.19362129661889298404e+02	7.47439862249839990227e+01	5.57397694884694400175e-02       -3.818739e+09
1.02005233839548381525e+02	2.87405128454607563526e+01	5.38984300091644996655e-02       -8.712422e+08
1.13040606902810665702e+02	1.10273224573471591015e+01	3.22806268260431572514e-02       -5.967880e+08
1.19388847260185741561e+02	6.98533123764206465012e+01	1.28798274028435244531e-01       -2.867743e+08
1.09493490409580687128e+02	7.85106147197272434823e+01	1.39104390821845058657e-01       -2.863350e+08
1.14347165827763987522e+02	2.51395924157896217821e+01	6.77499846155689144922e-02       -2.594841e+08
1.17933044652800845142e+02	2.61272248195527119208e+01	6.97105642846334028206e-02       -2.548685e+08
1.04459291888368767331e+02	7.53165047347312395232e+01	1.42255481561093549692e-01       -2.475240e+08
1.12556141362511624493e+02	8.00419876165492922837e+01	1.51877891452210644907e-01       -2.288856e+08
1.14925600356465054119e+02	5.70255423569273816042e+01	1.27179852049395358815e-01       -1.980754e+08
1.15585731112166229195e+02	7.52479870141259112870e+01	1.54777752630248788268e-01       -1.915616e+08
1.12932109467883648790e+02	3.37535904197273808336e+01	9.41450401273571380045e-02       -1.776556e+08
1.17862151727862041639e+02	4.46819270271340087675e+01	1.24192452784419760103e-01       -1.300580e+08
1.06527479302744552569e+02	2.43280222195418751596e+01	8.34139470119943382542e-02       -1.291350e+08
1.15618616101535536700e+02	3.04479636690507433627e+01	9.93212328241420694397e-02       -1.157171e+08
1.19858740263601376341e+02	1.93373689774729555779e+01	7.49851009623624109590e-02       -1.155875e+08
1.16223904600623143324e+02	5.18284225927774500065e+01	1.44698398923022275575e-01       -1.110064e+08
1.18087822476467977140e+02	8.32439282654425056762e+01	2.35649505426708427702e-01       -6.636793e+07
1.19356737480586318156e+02	6.31325990155369680679e+01	2.03073280525634308757e-01       -5.961634e+07
1.14515862318154148625e+02	7.80868005737407315792e+01	2.46608991398838295339e-01       -5.089174e+07
1.15830258742087210067e+02	6.54491862080542290414e+01	2.28292837393947400937e-01       -4.509848e+07
1.04822366185447378939e+02	2.78084198599699554677e+01	1.34464333262920732182e-01       -3.982862e+07
1.16592017369699021856e+02	5.04639954136958905906e+01	2.11941399283867265568e-01       -3.351325e+07
1.01911680244416430696e+02	9.71204858989275976455e+01	3.46662003354667014321e-01       -2.837921e+07
1.16027183516314224221e+02	4.14038814079519710276e+01	2.00105138631049950249e-01       -2.680579e+07
1.16543929554837021101e+02	7.81404527826843064986e+01	3.14200387816418791331e-01       -2.465596e+07
