# nu h lw logL logPrior
1.100086350465287666e+02 9.871215150381109638e+00 9.962090946230851563e-01 -2.332633505857161254e+03 0.000000000000000000e+00
1.099923197654548090e+02 1.005377232186349268e+01 1.001498176698040199e+00 -2.332611496388913565e+03 0.000000000000000000e+00
1.100003702862399848e+02 1.020339974947802020e+01 1.006849370229927931e+00 -2.332487372494491410e+03 0.000000000000000000e+00
1.100085336161417331e+02 9.980010731927899670e+00 1.004580283795278195e+00 -2.332477690334817453e+03 0.000000000000000000e+00
1.100057302205480454e+02 9.874424987901257111e+00 9.889462939213935488e-01 -2.332470643818117424e+03 0.000000000000000000e+00
1.099961926176155771e+02 1.030379991441819598e+01 1.025258890363157871e+00 -2.332467785326629837e+03 0.000000000000000000e+00
1.100085851754040647e+02 1.021409076695186435e+01 1.016159817931212572e+00 -2.332422827165118179e+03 0.000000000000000000e+00
1.100001847903687207e+02 1.017686836333210998e+01 1.020430869225096737e+00 -2.332409328414380525e+03 0.000000000000000000e+00
1.100027060898576110e+02 1.036257669927994840e+01 1.019307959074054359e+00 -2.332366131033069905e+03 0.000000000000000000e+00
1.099927554249416488e+02 1.019851653044561424e+01 1.011363323487813215e+00 -2.332340929486105324e+03 0.000000000000000000e+00
1.100071561155688329e+02 1.030120335902199358e+01 1.021515859394577896e+00 -2.332309055606391667e+03 0.000000000000000000e+00
1.100050386807983074e+02 1.026631171871528281e+01 1.012906869270719268e+00 -2.332258298195264615e+03 0.000000000000000000e+00
1.100030503643382076e+02 1.012573085856119626e+01 1.002276744992169899e+00 -2.332257579606899981e+03 0.000000000000000000e+00
1.100090933786480605e+02 1.003372735986563136e+01 1.006139891818079279e+00 -2.332224524215450401e+03 0.000000000000000000e+00
1.100083677551197354e+02 1.022419614089285389e+01 1.015583939098940069e+00 -2.332219719146231910e+03 0.000000000000000000e+00
1.100033666080989434e+02 1.026361485325480594e+01 1.011876164180246285e+00 -2.332201581643232657e+03 0.000000000000000000e+00
1.099993568128046206e+02 9.865848937998457302e+00 1.001100608748953569e+00 -2.332200102182505361e+03 0.000000000000000000e+00
1.100020158910884476e+02 1.040518443550672778e+01 1.023437633513251788e+00 -2.332193558630829557e+03 0.000000000000000000e+00
1.100053512904947723e+02 9.814537784832975120e+00 9.957219446034959454e-01 -2.332189104860855878e+03 0.000000000000000000e+00
1.100016402835918115e+02 9.775419490469129613e+00 9.829441432562336933e-01 -2.332188311918098407e+03 0.000000000000000000e+00
1.100070039712368839e+02 1.015001777930890192e+01 1.016085027972571497e+00 -2.332187521410864065e+03 0.000000000000000000e+00
1.100088382231119084e+02 9.985454440971572865e+00 9.990404927990325090e-01 -2.332183203366053021e+03 0.000000000000000000e+00
1.099925660023954919e+02 1.005494371012020949e+01 1.001888154127929642e+00 -2.332180455419682403e+03 0.000000000000000000e+00
1.100062388578091515e+02 1.024821636772185762e+01 1.012684995322510106e+00 -2.332162532203572482e+03 0.000000000000000000e+00
1.100031327397250323e+02 9.747371175569824686e+00 9.914248189896373020e-01 -2.332104171831702388e+03 0.000000000000000000e+00
1.100003470775696712e+02 1.042536704223989297e+01 1.025820450190428224e+00 -2.332101636196431627e+03 0.000000000000000000e+00
1.100004216525295533e+02 1.038312585401497046e+01 1.021156250906626095e+00 -2.332077760653772657e+03 0.000000000000000000e+00
1.099998815687296059e+02 1.034600390275797643e+01 1.027706024721533051e+00 -2.332051372211155467e+03 0.000000000000000000e+00
1.099939197791595547e+02 1.022999386119382592e+01 1.012460683468206168e+00 -2.332022937552316762e+03 0.000000000000000000e+00
1.100070162641669071e+02 9.836104777084335282e+00 9.952722897235262156e-01 -2.332015028485274343e+03 0.000000000000000000e+00
1.100017576601042180e+02 1.025905068091078398e+01 1.011309587988856507e+00 -2.332005129227677571e+03 0.000000000000000000e+00
1.099938350275105279e+02 1.015776322924242336e+01 1.016045811803544474e+00 -2.331982239047476469e+03 0.000000000000000000e+00
1.100065130618568219e+02 1.020001657167053466e+01 1.009595951089037769e+00 -2.331976915298307631e+03 0.000000000000000000e+00
1.099921092530920816e+02 9.953725049936460678e+00 1.000338381057734871e+00 -2.331926991251819345e+03 0.000000000000000000e+00
1.100000266255872248e+02 9.788205591809678197e+00 9.951178914853984203e-01 -2.331926983845023642e+03 0.000000000000000000e+00
1.100054628970268737e+02 1.005487517854192525e+01 1.011751577766751176e+00 -2.331922684080623185e+03 0.000000000000000000e+00
1.099945248446071986e+02 9.813046299889581547e+00 9.940447985990921165e-01 -2.331892520784654607e+03 0.000000000000000000e+00
1.099936934102488664e+02 9.918987833621789818e+00 1.001339235486656376e+00 -2.331879885946483228e+03 0.000000000000000000e+00
1.100049801358389203e+02 1.016663263156594255e+01 1.018198867569972688e+00 -2.331878266410434662e+03 0.000000000000000000e+00
1.099984445332472944e+02 9.958706083864280245e+00 1.006922761814327494e+00 -2.331852534162378561e+03 0.000000000000000000e+00
1.099955806018534190e+02 9.970264887523597963e+00 1.006498111548236318e+00 -2.331851550987368682e+03 0.000000000000000000e+00
1.099971366502865493e+02 1.037039530017852407e+01 1.026669906544158462e+00 -2.331830381897093503e+03 0.000000000000000000e+00
1.099974112110334090e+02 9.702185575870490908e+00 9.861611418589146805e-01 -2.331827201021224937e+03 0.000000000000000000e+00
1.099921548006854977e+02 1.007809103352980529e+01 1.005307675465607842e+00 -2.331821409234997191e+03 0.000000000000000000e+00
1.099956566847568098e+02 9.749390763979580043e+00 9.847944584375093457e-01 -2.331801164226963010e+03 0.000000000000000000e+00
1.099927453243567754e+02 9.937626082986511733e+00 9.959423038917211146e-01 -2.331799606414499976e+03 0.000000000000000000e+00
1.100044848980594594e+02 1.037446823032183651e+01 1.023854173483632612e+00 -2.331786726459418333e+03 0.000000000000000000e+00
1.100052294740672636e+02 1.034251490604088453e+01 1.020819825570985273e+00 -2.331781260073496924e+03 0.000000000000000000e+00
1.100048705121421051e+02 1.006352739610883162e+01 1.012461423073044209e+00 -2.331778048673644662e+03 0.000000000000000000e+00
1.099932043963177648e+02 9.930214647198608802e+00 9.947102890128052266e-01 -2.331777192201542221e+03 0.000000000000000000e+00
1.099970406832171648e+02 9.862672407125929297e+00 9.879911022668252940e-01 -2.331772727402312285e+03 0.000000000000000000e+00
1.099964004414930230e+02 9.961354100697537461e+00 1.006289862372947708e+00 -2.331763599607673768e+03 0.000000000000000000e+00
1.100046153277060768e+02 1.034158526850292326e+01 1.025280680835238378e+00 -2.331745660013951237e+03 0.000000000000000000e+00
1.100082698255487230e+02 9.904771890997889017e+00 9.957990627762250968e-01 -2.331732115441855512e+03 0.000000000000000000e+00
1.099939758844565887e+02 1.013165347840727470e+01 1.005597270376907604e+00 -2.331731179827974302e+03 0.000000000000000000e+00
1.099962535591484993e+02 9.764309933376466688e+00 9.913203877189818991e-01 -2.331713163664802778e+03 0.000000000000000000e+00
1.100068688706614779e+02 9.816524953286579702e+00 9.927583940140671803e-01 -2.331684072669993839e+03 0.000000000000000000e+00
1.099963386763197519e+02 9.965612902294726183e+00 1.006452568322417918e+00 -2.331681662982725356e+03 0.000000000000000000e+00
1.099990886947634436e+02 9.970202263235039553e+00 1.007629310258469690e+00 -2.331679718937622965e+03 0.000000000000000000e+00
1.099964903250814103e+02 1.035184569818531664e+01 1.021030540763968819e+00 -2.331660187620865599e+03 0.000000000000000000e+00
1.099934160165336294e+02 9.861616091760598835e+00 9.956884243486080477e-01 -2.331646634625364641e+03 0.000000000000000000e+00
1.099936263456625625e+02 9.992123505060865440e+00 9.975174872166546747e-01 -2.331638856734726232e+03 0.000000000000000000e+00
1.100006402800281933e+02 1.019974056811210517e+01 1.020893211546281432e+00 -2.331633325667069585e+03 0.000000000000000000e+00
1.100073835972577854e+02 9.873618836481245609e+00 9.969354698159893502e-01 -2.331623904696282807e+03 0.000000000000000000e+00
1.100058813908996882e+02 1.031380406790777293e+01 1.022465310180332487e+00 -2.331623194047226207e+03 0.000000000000000000e+00
1.099921628835213454e+02 1.000211364057207852e+01 1.002314223494791934e+00 -2.331618724884648600e+03 0.000000000000000000e+00
1.100040170191612532e+02 9.715270883810697811e+00 9.862308941987096844e-01 -2.331603044836672325e+03 0.000000000000000000e+00
1.099959495142098547e+02 1.032475361086402188e+01 1.019023170745212648e+00 -2.331592467903656143e+03 0.000000000000000000e+00
1.100073854987053039e+02 1.007296820265623438e+01 1.010571094918929047e+00 -2.331566742238734605e+03 0.000000000000000000e+00
1.099968452947296527e+02 1.016334799238843445e+01 1.018148037017796881e+00 -2.331565987648537885e+03 0.000000000000000000e+00
1.099953154165718274e+02 9.962047822364501926e+00 1.005456153386349971e+00 -2.331560811202516561e+03 0.000000000000000000e+00
1.100053634375192360e+02 9.758285921650601935e+00 9.892021144069160776e-01 -2.331559834037410383e+03 0.000000000000000000e+00
1.099969866346450118e+02 1.006605351887534106e+01 9.994579651523742836e-01 -2.331555207703015640e+03 0.000000000000000000e+00
1.100058834427258034e+02 9.865016461340786691e+00 9.983019411093195794e-01 -2.331547025405950990e+03 0.000000000000000000e+00
1.100014402753839846e+02 9.949906835993315823e+00 9.921161794311551541e-01 -2.331528783787952307e+03 0.000000000000000000e+00
1.099930411111493100e+02 9.879249010824080912e+00 9.951770827959459664e-01 -2.331527864902124747e+03 0.000000000000000000e+00
1.099964718429348380e+02 9.924936605004514689e+00 9.916734371633353362e-01 -2.331516592072693129e+03 0.000000000000000000e+00
1.099985201794835348e+02 1.039489956424130845e+01 1.026600490151035938e+00 -2.331512292490963773e+03 0.000000000000000000e+00
1.099963630932388128e+02 9.776909789296915676e+00 9.851811206090604900e-01 -2.331510989712402989e+03 0.000000000000000000e+00
1.099957129276886434e+02 9.899903233917715539e+00 1.001417807660939685e+00 -2.331502862823424948e+03 0.000000000000000000e+00
1.100018420768277423e+02 1.002420749809976819e+01 1.010851222845150277e+00 -2.331497617956537852e+03 0.000000000000000000e+00
1.099976720301775828e+02 1.023118522767705407e+01 1.021751083376079228e+00 -2.331489226858982875e+03 0.000000000000000000e+00
1.100018843888005051e+02 9.947086803898361751e+00 9.920646809262195776e-01 -2.331483389872934367e+03 0.000000000000000000e+00
1.100039970695961813e+02 9.948754871638858077e+00 1.005414874040779116e+00 -2.331479587600542345e+03 0.000000000000000000e+00
1.100034942438551724e+02 9.769439880835451007e+00 9.843240063745110069e-01 -2.331447001064100732e+03 0.000000000000000000e+00
1.099969282229543666e+02 1.022570452922849782e+01 1.021100561326309775e+00 -2.331441936724668722e+03 0.000000000000000000e+00
1.100068491063176737e+02 9.874770190523676661e+00 9.916581418068314280e-01 -2.331431648206506907e+03 0.000000000000000000e+00
1.099987387786329123e+02 1.027103651310163634e+01 1.023793908353966886e+00 -2.331425921032960105e+03 0.000000000000000000e+00
1.100062852650161034e+02 1.024583876614211775e+01 1.013871481210728120e+00 -2.331419749240713827e+03 0.000000000000000000e+00
1.099936273250876582e+02 1.013915521555564681e+01 1.013888036697692341e+00 -2.331410080876746179e+03 0.000000000000000000e+00
1.100077987539893201e+02 1.017831480831896407e+01 1.014283203355921481e+00 -2.331396885427085181e+03 0.000000000000000000e+00
1.100073844002909453e+02 9.932459802128253301e+00 9.951341685816551541e-01 -2.331372043438227593e+03 0.000000000000000000e+00
1.099961146598456452e+02 1.031449203795066971e+01 1.023568659756568522e+00 -2.331371039930593270e+03 0.000000000000000000e+00
1.099984292881814980e+02 1.024923959906131721e+01 1.022688563954419871e+00 -2.331366950167687264e+03 0.000000000000000000e+00
1.099976919704224088e+02 9.769225467929993911e+00 9.842346500767464867e-01 -2.331366916314313130e+03 0.000000000000000000e+00
1.099991446628378640e+02 1.029690970358080193e+01 1.014948878253670417e+00 -2.331356272215752597e+03 0.000000000000000000e+00
1.099959503269726326e+02 9.752243002313885967e+00 9.857137864508120906e-01 -2.331355454335946433e+03 0.000000000000000000e+00
1.100068981155370409e+02 1.025013187676842996e+01 1.015986874244342753e+00 -2.331345044405719818e+03 0.000000000000000000e+00
1.100000673091584673e+02 1.015879726334945232e+01 1.018483042398893090e+00 -2.331337458271958894e+03 0.000000000000000000e+00
1.100072978674244695e+02 1.018159202686127784e+01 1.015592835095204371e+00 -2.331326931468960083e+03 0.000000000000000000e+00
1.099979771811391913e+02 1.036500405377868717e+01 1.021822784442004028e+00 -2.331318783723998877e+03 0.000000000000000000e+00
1.100013768951200319e+02 9.944671107020985446e+00 1.005688520622685100e+00 -2.331317608143860980e+03 0.000000000000000000e+00
1.100050483352456041e+02 9.867971417267590084e+00 9.989370602375473585e-01 -2.331317390423745110e+03 0.000000000000000000e+00
1.100038243804186919e+02 9.839688763715102482e+00 9.874582521714685424e-01 -2.331314237591097935e+03 0.000000000000000000e+00
1.099932325669785484e+02 1.016126891768536389e+01 1.013749381778589642e+00 -2.331311354979476619e+03 0.000000000000000000e+00
1.100074686493559852e+02 9.873597575788148006e+00 9.952583151308800335e-01 -2.331297082790639251e+03 0.000000000000000000e+00
1.099984136482097909e+02 1.005663474421177028e+01 9.986660743392941075e-01 -2.331296842878838106e+03 0.000000000000000000e+00
1.100014003492352970e+02 1.014889263725012647e+01 1.017870849100709130e+00 -2.331289900613329337e+03 0.000000000000000000e+00
1.099984077141353964e+02 1.002126854789056232e+01 1.010343990995254515e+00 -2.331288513919289471e+03 0.000000000000000000e+00
1.099932010312700044e+02 1.007262830317439573e+01 1.003596270741755392e+00 -2.331282717552315262e+03 0.000000000000000000e+00
1.100042231239840476e+02 9.992656174376408629e+00 1.007952606414606489e+00 -2.331281171934210761e+03 0.000000000000000000e+00
1.099933330387699755e+02 9.951321702052952745e+00 9.965354576281681975e-01 -2.331270520449336800e+03 0.000000000000000000e+00
1.099932705145690193e+02 1.007454527064312444e+01 1.003625323007400594e+00 -2.331264305718726519e+03 0.000000000000000000e+00
1.100017363488563689e+02 1.018275696494203864e+01 1.006672133674826775e+00 -2.331259413593515546e+03 0.000000000000000000e+00
1.100082704016198107e+02 1.011086070958061711e+01 1.008609995566192019e+00 -2.331258273951239062e+03 0.000000000000000000e+00
1.100064936407408709e+02 1.024941035487042917e+01 1.019146997944699651e+00 -2.331248747308917700e+03 0.000000000000000000e+00
1.100035502892362160e+02 9.957606847704687070e+00 1.005939886763046687e+00 -2.331241392509651178e+03 0.000000000000000000e+00
1.100018127095127767e+02 9.762690016221476697e+00 9.836846070712649270e-01 -2.331241350256220358e+03 0.000000000000000000e+00
1.100000401728820378e+02 9.749732745054195959e+00 9.909910546265351394e-01 -2.331230584309216738e+03 0.000000000000000000e+00
1.099927026965085162e+02 1.004756912976284866e+01 1.006546698060164502e+00 -2.331227769517085562e+03 0.000000000000000000e+00
1.099998721544255318e+02 9.835202687152712286e+00 9.979230200131268269e-01 -2.331212865108412643e+03 0.000000000000000000e+00
1.100015772855559106e+02 1.014155625130429250e+01 1.003942884193810503e+00 -2.331207275221433974e+03 0.000000000000000000e+00
1.100005941063918726e+02 9.713534951166629128e+00 9.873368810777305438e-01 -2.331197573498851852e+03 0.000000000000000000e+00
1.100027725514988930e+02 1.007602965032290498e+01 1.013443372153850941e+00 -2.331179358517853871e+03 0.000000000000000000e+00
1.099926664841614468e+02 1.004415000499370336e+01 1.003698018346577348e+00 -2.331176888363638682e+03 0.000000000000000000e+00
1.099975497874403203e+02 1.016060981599289015e+01 1.017882344224691149e+00 -2.331172163747056402e+03 0.000000000000000000e+00
1.100062459040006644e+02 1.011863131154578888e+01 1.013821597334268354e+00 -2.331171318074381816e+03 0.000000000000000000e+00
1.100059783446812105e+02 9.973647711058982068e+00 1.005412796498125871e+00 -2.331163478673852296e+03 0.000000000000000000e+00
1.099940340495624866e+02 9.861460471528594951e+00 9.956277529825489081e-01 -2.331120311175029201e+03 0.000000000000000000e+00
1.099950399075794252e+02 1.024188836281318515e+01 1.013614521256442025e+00 -2.331119848862328126e+03 0.000000000000000000e+00
1.099938315236921511e+02 9.939990715214193528e+00 1.001695463955880161e+00 -2.331114723466006126e+03 0.000000000000000000e+00
1.100032637787824257e+02 9.781864555260121108e+00 9.928637044762472774e-01 -2.331106294735662232e+03 0.000000000000000000e+00
1.100038768255374464e+02 9.870709089421936255e+00 9.891898246946020379e-01 -2.331081388198102559e+03 0.000000000000000000e+00
1.100043128153907901e+02 9.823528616929111834e+00 9.874068610185322559e-01 -2.331076546251360014e+03 0.000000000000000000e+00
1.100036681121567312e+02 9.733754141686885575e+00 9.873297434051546695e-01 -2.331072240264784341e+03 0.000000000000000000e+00
1.100009294545423018e+02 1.035248597337927023e+01 1.026231012461220171e+00 -2.331066198103880652e+03 0.000000000000000000e+00
1.099999278453481537e+02 9.725085562203529932e+00 9.828355481849037067e-01 -2.331061362074650788e+03 0.000000000000000000e+00
1.100070120659923134e+02 9.919877917648401322e+00 9.945856197745346350e-01 -2.331054774304842795e+03 0.000000000000000000e+00
1.099936954463799026e+02 1.020543036358710509e+01 1.013857368997034047e+00 -2.331051496729094652e+03 0.000000000000000000e+00
1.099985458367259952e+02 1.034983210296354628e+01 1.025627401219637358e+00 -2.331048774133566440e+03 0.000000000000000000e+00
1.100035526071551004e+02 1.032089978450290602e+01 1.018321523949907492e+00 -2.331041267164822784e+03 0.000000000000000000e+00
1.100070116824300470e+02 1.007310921639444601e+01 1.010189178536928356e+00 -2.331033292602254733e+03 0.000000000000000000e+00
1.100058949975954050e+02 9.851181160819734828e+00 9.962487602846877843e-01 -2.331022072447722621e+03 0.000000000000000000e+00
1.100064765850790423e+02 9.830113504419777826e+00 9.926433885290519843e-01 -2.331017025864713105e+03 0.000000000000000000e+00
1.099986920768385943e+02 9.709560933312641140e+00 9.838651434070431190e-01 -2.331009790609913580e+03 0.000000000000000000e+00
1.099962782940926047e+02 1.031984674394592716e+01 1.022614269550714328e+00 -2.330995588130190754e+03 0.000000000000000000e+00
1.099951031866522442e+02 9.799488487572048712e+00 9.889697524506481097e-01 -2.330995311182333808e+03 0.000000000000000000e+00
1.100060557963347350e+02 1.016641761689163914e+01 1.016143704369149914e+00 -2.330989100337921627e+03 0.000000000000000000e+00
1.100015223944671874e+02 1.029322646786108031e+01 1.015100440851629093e+00 -2.330988610818422785e+03 0.000000000000000000e+00
1.100065460960031913e+02 1.022635256575538953e+01 1.013754143224365079e+00 -2.330983276978313370e+03 0.000000000000000000e+00
1.100057452393381112e+02 1.027297510778407741e+01 1.020312224068412377e+00 -2.330982323747259215e+03 0.000000000000000000e+00
1.100070918391408412e+02 1.016882355695386586e+01 1.014631572202724819e+00 -2.330980786830215038e+03 0.000000000000000000e+00
1.100021571758623509e+02 9.759369609606125096e+00 9.911468946615233921e-01 -2.330977262632390193e+03 0.000000000000000000e+00
1.099960788275614618e+02 9.809804035363747232e+00 9.938900663011851488e-01 -2.330974582510083565e+03 0.000000000000000000e+00
1.099989085420820487e+02 1.026497422257572723e+01 1.022995479838480826e+00 -2.330968562899779499e+03 0.000000000000000000e+00
1.099971162278652486e+02 1.015127975706603713e+01 1.005485777323172902e+00 -2.330954628351199972e+03 0.000000000000000000e+00
1.099979629070507343e+02 1.012450533313423406e+01 1.015868576625199582e+00 -2.330947316317648983e+03 0.000000000000000000e+00
1.100056459277796961e+02 1.029025697115943494e+01 1.020061526098727578e+00 -2.330942932559519249e+03 0.000000000000000000e+00
1.099955520674990623e+02 9.831138638633504456e+00 9.888539262948213837e-01 -2.330937471170683239e+03 0.000000000000000000e+00
1.100005644402990725e+02 1.021472474857259982e+01 1.009135195486109415e+00 -2.330936895776932488e+03 0.000000000000000000e+00
1.099954457336943676e+02 1.028966116746725845e+01 1.018371315576332758e+00 -2.330925782878509381e+03 0.000000000000000000e+00
1.099940458804596091e+02 1.016015646023111074e+01 1.009003440507146854e+00 -2.330915245667210911e+03 0.000000000000000000e+00
1.099982932143526142e+02 1.008836249726481427e+01 1.013897786433897386e+00 -2.330894324097854678e+03 0.000000000000000000e+00
1.099977636075931855e+02 1.004234061514675425e+01 1.011045723929792528e+00 -2.330893763084391139e+03 0.000000000000000000e+00
1.100040577349156479e+02 1.033538243345790875e+01 1.021204479578029511e+00 -2.330891329645008227e+03 0.000000000000000000e+00
1.099943194933352686e+02 1.010842423106585564e+01 1.012396568991781320e+00 -2.330889966382586408e+03 0.000000000000000000e+00
1.099958677155263587e+02 9.848187187143961907e+00 9.892381501154516865e-01 -2.330888325826979326e+03 0.000000000000000000e+00
1.099981933809901165e+02 1.033707837605933832e+01 1.019720429676472362e+00 -2.330886118412475298e+03 0.000000000000000000e+00
1.100074554557555331e+02 1.014104081826037884e+01 1.012303343276710121e+00 -2.330885270719379150e+03 0.000000000000000000e+00
1.099992053175696611e+02 1.013911731962371299e+01 1.004124056259443343e+00 -2.330877777856747798e+03 0.000000000000000000e+00
1.100069779305437123e+02 9.949697978932825038e+00 1.002048887795090604e+00 -2.330877539582580994e+03 0.000000000000000000e+00
1.099967594785720593e+02 1.015142335415646002e+01 1.016697004967277218e+00 -2.330871283888857761e+03 0.000000000000000000e+00
1.100019184790245959e+02 1.028009872243517364e+01 1.023502163137191001e+00 -2.330869344383603220e+03 0.000000000000000000e+00
1.100041354710088370e+02 1.001667485368693988e+01 9.973266441477666167e-01 -2.330849028317452394e+03 0.000000000000000000e+00
1.100044011765917986e+02 9.757287904362817343e+00 9.878937543406954847e-01 -2.330843398544684533e+03 0.000000000000000000e+00
1.099931943206174054e+02 1.007078156207090558e+01 1.004743495013335375e+00 -2.330837230914086831e+03 0.000000000000000000e+00
