ell,nu_mad,nu_med
2,0.1289335752796099,138.69037704570957
0,0.12141683571137538,140.53740988529876
2,0.0676237709247472,153.59036348982718
0,0.06094729179013821,155.43578004124183
2,0.038266987141021315,168.54415947261327
0,0.028470471061831887,170.39282345230174
2,0.03157040437280494,183.55613432195975
0,0.024839177805303165,185.4048497786207
2,0.030452714890130704,198.62816972067046
0,0.027240396873447363,200.47591984844405
2,0.036070771096295674,213.76115844488055
0,0.03852252781257439,215.6082460379116
2,0.07134220988483246,228.95087832714756
0,0.07370727135577478,230.7999075028085
