,16th,2nd,50th,84th,97th,MAD,mean,mle,skew,std
dnu,0.7964823338057365,0.7960821327378625,0.7968863240081326,0.7972814222411804,0.7976461428583934,0.00038946094697694516,0.7968784628790957,0.7967915669716903,-0.04028290857647584,0.0003932453271041598
numax,1.842775583870885,1.8409673026597804,1.8450571637644204,1.8471733258540586,1.8492602355596428,0.002206951779998411,1.8450474543644289,1.8445589123042583,0.10866858579582506,0.002125100589198592
eps,1.0433306899642043,1.0336895032232885,1.0531835215655634,1.063408471093131,1.0731949216133592,0.009907951415132631,1.053400894031303,1.0557833404472536,0.03916921322837433,0.009966269693072754
d02,-0.09160917551463874,-0.09692348457941548,-0.08589012061320273,-0.08036700694026419,-0.07460982544781264,0.005645707026915918,-0.08593118017001042,-0.08635844546618851,0.009632813683480944,0.005618373119884689
alpha,-2.0683327862988574,-2.144053947001464,-2.0161736069926848,-1.9823165690552584,-1.9548719906859606,0.03922237210876156,-2.024814789074496,-2.00384927165973,-1.1069145690514417,0.047239243987234246
env_height,1.0461097849243426,1.0019447958208052,1.098682762116903,1.1696504672312464,1.2233885711155679,0.06179160954398079,1.1048249553217042,1.074117185938353,0.2555187848376856,0.058298877449328435
env_width,0.925617964828479,0.9021011998419562,0.949530048480079,0.9714692361180018,0.9923449530848624,0.022749105908965485,0.9486652725238944,0.9560726592987793,-0.1396988669796409,0.022467082156688446
mode_width,-0.9844495042845818,-1.0174804282843362,-0.9445214022360131,-0.9129463474099428,-0.8862795442509733,0.036104745619947046,-0.947213429018904,-0.9244899861557717,-0.2149606757763407,0.03415504147892568
teff,3.6808671209626858,3.6759179847434944,3.688511633253317,3.693871406498965,3.697887372612008,0.006837291754920104,3.6876978249029544,3.693165320782586,-0.25234294918952066,0.006026874050971354
bp_rp,1.2726994224385062,1.2274338452535785,1.3201906054177148,1.3695155182819694,1.418717521545375,0.0477210117785917,1.3211868844292007,1.2771338591800034,0.08333059189195814,0.047692643984885444
