ell,nu_mad,nu_med
2,0.043566780254068974,43.87638661553408
0,0.044828568504867106,44.697005588237715
2,0.02520659394339028,49.9215438696787
0,0.02596268620855315,50.742786059622375
2,0.013609576741769278,56.02761676594758
0,0.01289184442350474,56.8486979198444
2,0.009675200198794108,62.19488300920976
0,0.006797933951972966,63.01551998146604
2,0.010488198964856905,68.42267055682615
0,0.006631223044970944,69.24317769734398
2,0.011030402359675314,74.70987617355127
0,0.007834365253189817,75.53040068726017
2,0.015345165114982308,81.0568318418378
0,0.01396296031852036,81.87751805522657
2,0.0273916020785931,87.46453721105725
0,0.027147731168146835,88.28524907714481
