,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank
5271,6197448,4756,80,50.45,1.18,4.927,0.018000000000000002,1.3199234008789062,0.05,1.7028611705729293,3.677241845946654,6.326358469258309
11446,9716994,4814,80,31.77,1.14,4.131,0.031,1.3048009872436523,0.05,1.5020172148271473,3.682506085939011,6.326212215526409
15701,12151240,4830,137,56.39,0.49,5.476,0.019,1.2850065231323242,0.05,1.751202094588353,3.683947130751512,6.32585965266639
13977,11043952,4814,80,48.57,0.57,5.2170000000000005,0.014,1.2630157470703125,0.05,1.6863681034730362,3.682506085939011,6.324951652339266
5031,6035800,4732,80,31.81,0.62,3.883,0.04,1.317852020263672,0.05,1.5025636691073634,3.675044735955893,6.324348333179703
10647,9291976,4753,100,31.5,0.85,3.887,0.027000000000000003,1.3319978713989258,0.05,1.4983105537896004,3.6769678142947586,6.324018061040556
7109,7272332,4774,100,55.66,1.77,4.948,0.033,1.3002328872680664,0.05,1.7455432019980242,3.6788824146707357,6.3237258697342185
14659,11453627,4817,100,31.32,0.71,4.02,0.029,1.2863378524780271,0.05,1.4958217533859057,3.682776646314434,6.323173562948526
14640,11444313,4890,100,33.58,0.53,3.972,0.048,1.2585420608520508,0.05,1.52608069180203,3.6893088591236203,6.323158586405676
4821,5877262,4826,100,38.42,1.26,4.2639999999999985,0.067,1.3288249969482422,0.05,1.5845573605256749,3.683587317572767,6.322313024400674
16080,12784948,4923,80,34.08,0.42,4.155,0.036000000000000004,1.205963134765625,0.05,1.5324995860946624,3.6922298357727557,6.322059692980653
12641,10287323,4849,100,47.48,0.49,5.039,0.021,1.3163022994995115,0.05,1.6765107102825536,3.6856521841155243,6.321580457522203
7656,7610113,4798,80,57.45,0.59,5.731,0.013,1.2898950576782229,0.05,1.759290033024304,3.6810602436318116,6.321345148303553
11794,9884319,4779,100,34.07,0.68,4.06,0.081,1.3516683578491209,0.05,1.5323721335678775,3.6793370305207937,6.320354617488579
2925,4841140,4777,140,34.76,0.54,3.592,0.013,1.3550777435302734,0.05,1.5410797677766288,3.679155241283354,6.319997313577191
10585,9277385,4753,80,32.99,0.62,4.051,0.025,1.3569154739379885,0.05,1.518382315545344,3.6769678142947586,6.319768452059688
16021,12555589,4823,80,33.03,0.6,4.033,0.028,1.230024337768555,0.05,1.5189085736914143,3.6833172619218826,6.319726898341083
6577,6950976,4794,80,54.91,0.61,5.704,0.012,1.2813224792480469,0.05,1.7396514437093769,3.680698029697635,6.319675865060677
8280,7949258,4709,100,33.48,0.76,4.08,0.022,1.367218017578125,0.05,1.5247854493212223,3.6729286904427223,6.3189654341883665
1991,4136374,4869,100,51.19,0.74,5.027,0.024,1.2772808074951172,0.05,1.7091851295502454,3.6874397745458944,6.31815703501512
156,2014377,4734,137,39.0,1.27,4.046,0.021,1.3252420425415041,0.05,1.591064607026499,3.675228253593064,6.317362953539246
2231,4345370,4872,100,32.66,0.29,4.05,0.012,1.2688007354736328,0.05,1.5140161804006493,3.687707279624819,6.316506085247756
1687,3942500,4712,80,49.57,0.68,5.275,0.016,1.3801717758178709,0.05,1.695218918905151,3.6732052817790453,6.315640966404116
8516,8081069,4746,100,33.63,0.81,4.114,0.046,1.289642333984375,0.05,1.5267268673146357,3.6763277338813203,6.315295092888311
1389,3729799,4766,100,37.38,0.41,4.1560000000000015,0.012,1.3636636734008791,0.05,1.5726392970428134,3.678154038010437,6.314560960548511
