,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank
29,KIC1294385,4824,80,106.81,1.08,9.09,0.016,1.2123489379882812,0.05,2.02861191506623,3.683407299132095,2.931802518578566
9370,KIC8496232,5037,148,227.81,1.62,17.832,0.046,1.2233037948608398,0.05,2.3575727840516776,3.7021719508577116,2.9316999509366624
14573,KIC11395200,5110,100,30.27,0.73,4.064,0.14800000000000002,1.1895294189453125,0.05,1.4810124209565732,3.7084209001347133,2.930373096461332
2796,KIC4756133,5152,80,80.81,2.22,5.994,0.03,1.1963109970092771,0.05,1.907465106765856,3.7119758543517567,2.929568588351562
11488,KIC9728845,4642,100,28.98,0.74,3.1519999999999997,0.043,1.4465656280517578,0.05,1.4620983811351558,3.6667051361198992,2.929538575167716
8915,KIC8264006,4638,80,28.95,0.69,3.728,0.040999999999999995,1.446542739868164,0.05,1.4616485680634552,3.666330744301968,2.9294770093748554
12068,KIC10006797,5057,152,37.57,1.15,4.401,0.024,1.279378890991211,0.05,1.5748411950633847,3.7038929536325447,2.929230763948832
5320,KIC6210663,4984,159,78.74,0.71,7.4129999999999985,0.013999999999999999,1.3546504974365234,0.05,1.8961954104542107,3.6975780336511135,2.9289437997150225
6625,KIC6962154,5107,162,117.32,1.23,9.601,0.013999999999999999,1.3230133056640625,0.05,2.0693720543085146,3.70816585785554,2.928020150643569
14470,KIC11305232,5137,157,29.27,0.73,3.931,0.091,1.226095199584961,0.05,1.466422722433792,3.710709565724337,2.9279823506508933
3367,KIC5105190,4898,100,117.22,0.76,10.12,0.017,1.3316669464111328,0.05,2.0690017170456003,3.6900187807886953,2.9270010228240984
5780,KIC6507794,5052,100,203.19,1.03,16.302,0.043,1.229975700378418,0.05,2.307902330326024,3.703463341883293,2.926884003120765
10269,KIC9076584,4927,80,150.37,0.94,12.179,0.017,1.1286907196044922,0.05,2.1771611997260467,3.692582562274908,2.926632451779403
15874,KIC12303789,5021,150,46.62,0.28,5.189,0.019,1.2846555709838867,0.05,1.6685722691845581,3.7007902213743464,2.926526981677425
14701,KIC11463988,4913,156,27.13,0.53,3.6069999999999998,0.043,1.3889236450195312,0.05,1.4334497937615962,3.691346764134822,2.9255261411164573
10784,KIC9388523,4888,100,156.17,0.95,12.484000000000002,0.022000000000000002,1.2576837539672852,0.05,2.1935976102980943,3.6891311972344982,2.9249054104116925
10365,KIC9142865,5245,155,200.15,1.85,14.744000000000002,0.026000000000000002,1.1026887893676758,0.05,2.301355594441124,3.7197454925295768,2.92485205357322
4746,KIC5806522,4627,80,58.44,0.83,5.91,0.017,1.3655061721801758,0.05,1.7667102072622591,3.6652994994998966,2.9248159927300814
6608,KIC6956358,4912,159,33.37,0.47,4.006,0.015,1.3789024353027344,0.05,1.5233562066547928,3.6912583581331115,2.9243942743378115
4398,KIC5630003,4614,100,29.98,0.62,3.69,0.111,1.4280776977539062,0.05,1.476831628512261,3.6640775901850753,2.9232136947779543
15247,KIC11804952,4990,149,60.67,0.89,6.115,0.012,1.3164424896240234,0.05,1.7829739949440482,3.6981005456233897,2.9201817955772653
14861,KIC11564092,4970,150,34.9,0.86,4.1930000000000005,0.048,1.3376951217651367,0.05,1.54282542695918,3.696356388733332,2.9192451934186923
11805,KIC9887526,5147,151,183.82,0.96,14.784,0.048,1.2081165313720703,0.05,2.2643927617677173,3.71155416825017,2.9191948424539262
793,KIC3121155,5114,80,31.39,0.53,4.073,0.065,1.1953964233398438,0.05,1.4967913157000423,3.708760723690317,2.9190564909729395
6222,KIC6764668,5033,151,64.38,0.61,6.395,0.016,1.2879877090454102,0.05,1.8087509723495947,3.7018269303971394,2.9188343408218698
443,KIC2570384,4571,80,63.98,1.17,6.3770000000000024,0.018000000000000002,1.5209131240844729,0.05,1.806044235748088,3.6600112212893303,2.9183202805742225
15123,KIC11717899,5177,156,92.41,0.81,8.777999999999999,0.021,1.2076311111450195,0.05,1.9657189702442208,3.7140781649818564,2.9172860260752205
7839,KIC7697217,4702,80,35.91,0.65,4.197,0.039,1.4932737350463867,0.05,1.5552154051260731,3.6722826247889206,2.9165152148985882
14499,KIC11338926,5085,151,57.25,0.67,5.902,0.017,1.2295188903808594,0.05,1.7577754910119257,3.706290957258764,2.9164135536409432
2939,KIC4844527,5011,100,28.94,0.94,4.137,0.063,1.3154363632202148,0.05,1.4614985267830187,3.699924402742477,2.9162075256158912
13451,KIC10752443,5009,157,29.67,0.92,3.986,0.07,1.3380575180053709,0.05,1.472317546316842,3.699751031689514,2.9158303851328315
10208,KIC9026217,4786,144,51.41,0.49,5.316,0.022000000000000002,1.4434709548950195,0.05,1.7110476038670344,3.6799726942774185,2.9156510660233206
11270,KIC9644902,4998,157,91.27,0.53,8.404,0.017,1.306375503540039,0.05,1.960328050530143,3.698796251790432,2.9152831030260917
6976,KIC7189418,4805,100,114.16,0.51,10.155,0.012,1.276174545288086,0.05,2.0575139601065904,3.681693392004564,2.9151929627945252
6593,KIC6953651,5088,162,120.53,0.91,10.218,0.022000000000000002,1.3164348602294922,0.05,2.0810951565613403,3.7065471026403576,2.9151478643617885
14446,KIC11298425,5212,156,211.29,1.05,16.171,0.026000000000000002,1.1652460098266602,0.05,2.3248789431119943,3.7170044070405472,2.9149405527563896
9491,KIC8564277,4940,156,32.01,0.67,4.0889999999999995,0.033,1.3782453536987305,0.05,1.5052856741441325,3.6937269489236466,2.914669686939241
14731,KIC11496193,5119,157,143.01,0.84,12.245999999999999,0.02,1.219865798950195,0.05,2.155366406646704,3.709185129550245,2.914212549325208
12545,KIC10255244,5046,149,42.83,0.53,4.865,0.013999999999999999,1.247148513793945,0.05,1.631748074396569,3.702947246181556,2.9140674538590288
9187,KIC8395466,5129,80,68.61,2.54,5.689,0.027000000000000003,1.2349205017089844,0.05,1.836387419326411,3.7100326990657537,2.9135136416560297
11207,KIC9602971,4939,155,42.69,0.34,4.667,0.011000000000000001,1.3472700119018557,0.05,1.6303261548039467,3.6936390261615486,2.9133157339122167
1025,KIC3424072,4935,80,174.0,2.04,13.38,0.013000000000000001,1.1211433410644531,0.05,2.2405492482825995,3.693287157005656,2.912772508102819
7811,KIC7687390,4746,80,84.0,0.48,7.697999999999999,0.013000000000000001,1.2821836471557615,0.05,1.9242792860618816,3.67632773388132,2.912580709512143
10887,KIC9429520,4576,141,37.66,0.59,4.1930000000000005,0.031,1.5135698318481443,0.05,1.575880315680646,3.660486015784968,2.9115447803972803
14567,KIC11393852,5103,159,34.09,0.54,4.159,0.062,1.2694740295410156,0.05,1.5326270012288912,3.707825568332232,2.911435879395434
13095,KIC10549567,5166,152,173.2,0.85,14.409,0.024,1.1813554763793943,0.05,2.238547887681328,3.7131544018372975,2.9113339842779236
