Unnamed: 0,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank,error_flag
10762,KIC9353484,4952,157,34.72,0.61,4.225,0.069,1.4011039733886699,0.05,1.54057971650445,3.69478063601206,-0.394599545962646,0
1092,KIC3445799,4989,155,46.02,1.3,4.6930000000000005,0.042,1.3561601638793899,0.05,1.6629466143326201,3.69801350393918,-0.396901080542461,0
14443,KIC11297951,5046,159,35.54,0.94,4.143,0.081,1.31282997131348,0.05,1.55071742346928,3.70294724618156,-0.397041743045777,0
6101,KIC6689517,4938,100,212.54,1.09,16.480999999999998,0.052000000000000005,1.2818460464477501,0.05,2.3274406762427597,3.69355108559591,-0.3975128259961429,0
3194,KIC5007812,5035,164,34.92,0.65,3.938,0.033,1.3465461730956998,0.05,1.54307423503353,3.7019994748896403,-0.39819896417267403,0
5397,KIC6272964,4591,80,27.83,0.51,3.615,0.015,1.4096479415893601,0.05,1.4445132063340402,3.66190729276602,-0.39823655737099395,1
1729,KIC3955033,4849,146,106.18,0.8,9.182,0.015,1.4212760925293002,0.05,2.02604272100514,3.6856521841155203,-0.39847230840792003,0
1512,KIC3833180,4613,80,26.43,0.53,3.398,0.063,1.42970943450928,0.05,1.42209716313171,3.66398345460827,-0.39922096369076093,0
4816,KIC5873482,5173,168,30.65,0.73,3.8680000000000003,0.04,1.25557804107666,0.05,1.48643047885443,3.71374247840908,-0.402522782851294,0
12420,KIC10189920,4626,80,24.96,0.52,3.42,0.11900000000000001,1.3279275894165001,0.05,1.39724458101039,3.6652056284346,-0.40320425937619003,1
13538,KIC10815065,4883,148,20.59,0.56,2.4419999999999997,0.024,1.38153266906738,0.05,1.31365634661803,3.6886867242841204,-0.403344550859293,0
11173,KIC9593478,5206,160,194.7,1.2,14.677,0.035,1.21142387390137,0.05,2.28936595152003,3.7165041637732203,-0.40392681482919796,0
11305,KIC9655200,4551,80,40.86,0.27,4.628,0.015,1.44228839874268,0.05,1.6112983622964299,3.6581068355063904,-0.40402085990531494,0
11948,KIC9956184,5205,156,255.2,2.52,18.324,0.024,1.1999826431274399,0.05,2.4068806700491203,3.7164207338465602,-0.404113873303049,0
602,KIC2853354,4992,162,125.18,0.78,10.3,0.016,1.3712091445922898,0.05,2.09753494721728,3.69827457667437,-0.40573247651089206,0
11411,KIC9706956,5301,161,165.96,1.45,13.707,0.02,1.16632652282715,0.05,2.2200034261569397,3.7243578042264303,-0.408149646519656,0
7284,KIC7369303,4924,153,49.5,0.58,5.125,0.011000000000000001,1.4004192352294902,0.05,1.69460519893357,3.69231804425928,-0.414105171128657,0
7703,KIC7621967,4663,163,42.54,1.54,4.515,0.5720000000000001,1.5455789566040001,0.05,1.62879748556671,3.66866541545449,-0.41885243793805504,1
13098,KIC10550140,5060,154,52.76,0.49,5.306,0.012,1.30072498321533,0.05,1.72230478687433,3.7041505168397997,-0.42195669169784394,0
1770,KIC3965214,4937,161,40.7,0.7,4.519,0.047,1.3849182128906297,0.05,1.6095944092252201,3.69346312721953,-0.4250955536355329,1
12730,KIC10347360,5082,163,35.76,0.7,4.111000000000001,0.042,1.3117580413818402,0.05,1.55339751012388,3.70603466071435,-0.4255367333892439,0
7937,KIC7761303,5007,161,43.74,0.33,4.902,0.017,1.3494062423706101,0.05,1.6408787787016201,3.6995775913989104,-0.42569476756529706,0
1716,KIC3953364,4971,145,204.13,1.38,16.217,0.026000000000000002,1.25900936126709,0.05,2.3099068355686803,3.696443763139,-0.428222122142346,0
5767,KIC6502644,5011,175,108.76,2.08,8.867,0.027999999999999997,1.07138538360596,0.05,2.03646919891546,3.69992440274248,-0.428466244659791,0
6702,KIC7026203,4629,100,26.19,0.37,3.38,0.043,1.4001274108886699,0.05,1.4181354984252301,3.6654871807828098,-0.4290774320972,0
3958,KIC5429725,5171,157,42.31,1.56,4.413,0.125,1.2366294860839802,0.05,1.62644302533129,3.7135745377720695,-0.42956980894396707,0
604,KIC2853886,4994,163,34.61,1.79,4.031000000000001,0.036000000000000004,1.37902736663818,0.05,1.53920159929413,3.69844853801533,-0.43000526609217204,0
10242,KIC9033539,4861,153,91.22,0.78,7.943,0.016,1.4108695983886699,0.05,1.96009006790492,3.68672562107454,-0.43242489046530297,0
15348,KIC11870991,5196,100,31.41,0.62,4.138,0.052000000000000005,1.17813873291016,0.05,1.49706793639851,3.71566914240099,-0.43730405173481,0
7423,KIC7458743,4893,152,123.61,0.69,10.89,0.019,1.40507698059082,0.05,2.0920536064254702,3.68957521575994,-0.438347396047546,0
8470,KIC8039796,4968,158,35.33,0.74,4.3260000000000005,0.023,1.3865900039672898,0.05,1.54814363743485,3.69618158716852,-0.44089600878490204,1
12756,KIC10353366,4937,156,41.38,0.49,4.41,0.015,1.38691902160645,0.05,1.61679048632972,3.69346312721953,-0.44643612782571995,1
10319,KIC9094133,5164,166,153.86,1.96,11.985,0.015,1.2411317825317398,0.05,2.18712572810173,3.71298623359438,-0.44678847502437,0
5755,KIC6469446,4811,80,143.69,0.86,12.338,0.027000000000000003,1.30624675750732,0.05,2.1574265447804497,3.68223535690256,-0.449375173122342,0
3048,KIC4920600,4769,80,101.45,0.58,9.221,0.018000000000000002,1.27416515350342,0.05,2.0062520513693602,3.67842732243387,-0.449859542026805,0
15509,KIC12011995,4819,80,22.99,0.34,3.638,0.141,1.25073909759521,0.05,1.36153897126928,3.68295692630121,-0.4504708323929171,0
5944,KIC6593882,5075,153,49.63,0.57,5.359,0.013000000000000001,1.2732028961181598,0.05,1.69574427519732,3.70543604658525,-0.45067583848218895,0
5953,KIC6599955,5023,175,76.5,1.08,5.829,0.031,1.08716869354248,0.05,1.8836614351536203,3.70096317815955,-0.451436225041129,0
1125,KIC3456587,5136,176,88.98,0.86,8.413,0.025,1.3312873840332,0.05,1.94929240141203,3.7106250150607996,-0.451629766119517,0
11979,KIC9964863,5155,163,88.23,1.11,7.622999999999999,0.017,1.2888479232788101,0.05,1.94561627922673,3.71222866961954,-0.454079016773512,0
11693,KIC9834173,4918,152,145.3,1.49,11.562000000000001,0.013999999999999999,1.36197471618652,0.05,2.16226561429802,3.6917885244027002,-0.45801431009638505,0
3930,KIC5393453,4868,80,127.87,0.74,10.526,0.013999999999999999,1.3577041625976598,0.05,2.10676866517681,3.68735056955803,-0.461574671763177,0
7479,KIC7513482,4548,100,39.38,1.18,4.356,0.040999999999999995,1.42830944061279,0.05,1.5952757118021001,3.6578204560157,-0.46211216494771706,0
10513,KIC9222194,5154,166,31.61,0.52,3.9589999999999996,0.052000000000000005,1.2686061859130902,0.05,1.49982449583958,3.71214441421489,-0.46355750375576293,1
15168,KIC11757235,4895,145,20.09,0.52,2.7889999999999997,0.034,1.34838962554932,0.05,1.30297993674825,3.6897526961391605,-0.4642222352421379,1
8674,KIC8149583,4974,100,24.09,0.41,3.3160000000000003,0.02,1.13627529144287,0.05,1.38183679999834,3.6967057809339203,-0.46530284433309793,0
15693,KIC12121032,5113,160,31.1,0.83,4.071000000000001,0.046,1.29393196105957,0.05,1.49276038902684,3.70867579272654,-0.46564484914570203,0
1806,KIC3972205,5072,149,56.58,0.61,5.933,0.027999999999999997,1.31097412109375,0.05,1.75266294312097,3.7051792448736807,-0.466080846545177,0
14758,KIC11508928,5153,145,34.16,0.9,4.198,0.027999999999999997,1.1283531188964802,0.05,1.5335178620169698,3.7120601424610697,-0.468983611793422,0
14944,KIC11612112,5185,158,37.85,1.21,4.311,0.064,1.22732353210449,0.05,1.57806588383609,3.71474876072506,-0.46925175557297205,0
