KIC,eps,eps_err,dnug,dnug_err,c,c_err
6854391,0.08855212356000695,0.011942430196181814,5.6067742659628665,0.006288127861414829,0.007139586868711601,0.0004048894452135338
11661782,0.0845306391217271,0.0096588905663382,5.788072172882243,0.005409677964232952,0.005501686740036611,0.00043531863480676506
4475934,0.7432268561315717,0.024390906599106154,4.457563565885572,0.011045812638659417,0.008000993039489103,0.000710331023215479
11037290,0.015974220887830605,0.012275973388687878,4.40384946295797,0.005556756863292813,0.007062900198806038,0.0005253137845686157
12070650,0.7356313084659923,0.015452484614791089,4.568561867202247,0.007070297842595374,0.010144334672286636,0.0005917048819724223
11615224,0.624411057691919,0.018541406317496997,4.183126211800213,0.010122413886480107,0.013228905964272277,0.00075995334420658
5023953,-0.006074927987938851,0.011744123298498816,4.732535025006049,0.005275127853077825,0.004840884961791087,0.0005117391782733779
10610250,0.20885740921818316,0.0059918409706064815,12.662732453496211,0.006286188421192832,0.004962319709993865,0.00018024221615336108
10881810,0.18908905986008814,0.008223473856411274,11.93517717917284,0.007809138024466686,0.003984233855832983,0.00028973087836396303
5774568,1.0568919574759874,0.00518706963771051,8.860485381616092,0.003774422460523319,3.334870171959679e-05,5.745498702642346e-06
2570094,0.11507839548615334,0.009014990374486966,6.514549354564542,0.005523155967116758,0.005925223075552801,0.0004964075328336137
9705687,0.08300221925842333,0.011392065948771474,6.6143815554492855,0.006560322424226176,0.004439807915207468,0.000509821888890846
8613617,0.23933030720264223,0.00608879955162569,13.645410088560736,0.00663243558098413,0.0038451155160688557,0.0001819854430326866
8415501,0.003395411074075254,0.012689802209924467,3.610465945433762,0.005163398295273563,0.007945232866443875,0.0008342976830475208
10202184,0.20552023264779695,0.0060454643321760275,12.79417400167174,0.006214645645642393,0.004264365002390865,0.0001867639345748282
2141928,0.7628685109646196,0.02104232148583697,4.15577693138861,0.009155229606603263,0.007280584112109028,0.0008355063170222155
10527661,0.7159413719445298,0.029856766424329266,4.546774749714189,0.01737766019946486,0.007630831969976657,0.0011729761004160792
7273426,0.642565755759168,0.01839725834243926,3.961517598761506,0.007952682921407632,0.012302146451902883,0.0010117313672386218
10555186,0.2056988358844147,0.007915341273434712,12.489566391190438,0.007276079209999878,0.0038663429089344325,0.00017331370161855324
10469976,0.02449535767270854,0.011041204868191904,4.792921380123609,0.004979582508573975,0.004785348076845497,0.0003374333558077929
4039306,-0.00022165584428387119,0.011665312801015437,4.121505426080247,0.005893054980944252,0.008580604985317984,0.0006465817670263641
2436814,-0.006345864073020564,0.011849042058111808,3.087952365548003,0.004470604244528279,0.009956867949010939,0.0006502421201357645
10614602,0.6141514026488373,0.03908920417598472,2.4893431197567306,0.011665190044382545,0.014941896737950457,0.0026255292375615374
12217154,-0.03161036696526569,0.016093111968606324,4.639649609148319,0.00726631805740067,0.008149303746315424,0.0006712418525805918
11953849,0.003962675617795101,0.014939847747911118,4.231262980916495,0.007222878076326998,0.00742239529377971,0.0010860489795644032
1162746,0.7932857637562021,0.029116551423450095,3.871013085866972,0.014686670885442671,0.007506940289849234,0.001012839575237711
5858034,0.03097402706690858,0.012503300188852137,4.3779494683610745,0.006040573820653812,0.006191098494061756,0.0006559901137364472
9881167,0.0037484375724481794,0.013439740314758097,3.8505661689824375,0.0062969719812847845,0.007166505183183815,0.0009183644200077006
10212620,0.7460795663330538,0.019612217448284418,4.956996760272642,0.009068065211030138,0.005668547010457996,0.000699923535869314
2140446,0.10685605109628095,0.009550278875398183,5.658705122552071,0.005170197456837424,0.005781015939480092,0.0003307822826983449
8545291,0.1055048990260505,0.007423062271103366,5.796643612205178,0.004491047426289598,0.006578191064679764,0.00034741547977618575
11083613,0.14861431774401818,0.007587578814125543,8.654799738548812,0.006346132879273199,0.005486791360898216,0.000422487265522979
8479182,0.09075660102348435,0.01566813542202963,3.6376852401263413,0.005993894378779378,0.0022324097061457225,0.00045757341927700734
10847321,0.09070109140713473,0.007542940627392369,6.565617269340179,0.004529687392342029,0.007348000210677074,0.00040555159476549194
5689343,0.11147914451368363,0.011777082846910297,7.993046809761082,0.007595208126400018,0.005897156651588729,0.0004086377761116045
4638317,0.009598651285198226,0.012276059796897769,3.3998816796179607,0.0049021557179677365,0.011119242626587113,0.0006298287499859177
2437653,0.11068140488429978,0.009317098886936022,7.048440174313712,0.006212583385621361,0.0046138053119519525,0.0005248009939061692
5084662,0.01413662693297438,0.013275416363639448,4.519790838616091,0.0065930898133415945,0.007686206349968754,0.0006508100771795286
10357764,-0.022934177864967795,0.013211044245588723,4.484649779161071,0.0063128874028819,0.009862478690826633,0.000589813120015824
11180468,0.057110820868023084,0.012509629871701547,5.04469914257994,0.006093018780751031,0.006544405460532263,0.0006003160024986214
9843358,0.6264731028652674,0.029521910733789746,4.124157511246627,0.01460954334481281,0.012690622708862336,0.0014893960299986917
12067001,0.020142311549989793,0.014317391927382914,4.483597211619223,0.0067521217044035,0.007167948292860855,0.0005835090609823342
8955683,0.0570815669009517,0.015765073039229898,4.730633915891823,0.0075187980122728565,0.008054332663070119,0.0005342565714348375
10921258,0.6915433068036718,0.033133585006171404,3.096415780371662,0.01128169641402683,0.010746650176070436,0.002030818106331337
6430534,0.6712009145102159,0.022972219626316074,3.6315269913709383,0.009793134081907072,0.008911395775510872,0.0011960490942577384
5597965,0.08625036153039096,0.009938971291694132,5.567762194315509,0.005636267994424637,0.007685058667678148,0.0003535996310560531
11413138,0.037612456784225506,0.012719947576890663,4.643430717470813,0.005824010191693274,0.005915096118843545,0.0006208456828696411
11871882,0.738767925216787,0.02211405911119822,4.332223973834911,0.010648844652505002,0.009579823357695014,0.0009824030626406327
10461757,0.47892781199887924,0.030443506109894894,3.6026908745398947,0.014281722391928155,0.025578775308958402,0.0018458246135151515
3860176,0.051289012001390764,0.013800199821990183,6.634863386195628,0.007853444998668758,0.004576746362456234,0.0002946767171532313
7741179,0.7113859656654046,0.018764357300944844,3.9815146139798445,0.009329780361447578,0.008823637033737165,0.0009806611634010315
11855110,0.7559605667105811,0.032158087902849776,4.471181202870149,0.015027378878785306,0.008377368763062294,0.0010435777605731905
2437402,0.03365674687275708,0.011396736699522653,4.806782388857771,0.005806026359069998,0.009214328631930413,0.0006241898418879304
9764708,1.3906807200602738,0.01601097787011852,2.889528254804956,0.004288720236705467,0.00022816240714729444,4.471045697816269e-05
4241369,0.08311069679771838,0.010748643440166116,5.627486346827093,0.005477925178254863,0.004222641523792433,0.00040166630213011646
9542218,0.07578770043321563,0.009894203997393892,5.797840041956585,0.005723953183442616,0.007513539392247717,0.0005396349759168954
1726211,-0.06698522633176275,0.014181567210624763,3.728103967545051,0.006338003217379028,0.010154962234150555,0.0009951678090456678
11085809,-0.0040092285696737276,0.013702325586541315,4.206898390311266,0.0063227220435126555,0.009746379272704678,0.0012048571779231412
9783226,0.039446708196273585,0.013009131096565018,5.330302069625374,0.00691419993107055,0.00666105428414114,0.0006659367982128278
11146230,0.6564225456394224,0.02234105557290721,4.514399419744533,0.012963199008642377,0.010015805117793892,0.0009568649956590619
9282363,0.577832135053019,0.029695209894591654,3.8727087415579904,0.013551027434626642,0.01536848760314166,0.0015725032987288878
11179815,0.6245964362352989,0.02183820672315619,4.401154270260836,0.010808266857501492,0.012534830195008744,0.0008167748786599467
3934458,-0.01707306931150547,0.010764667244840948,4.22609448929155,0.005235781750717515,0.0066297730959778535,0.0006776551650812479
4042951,0.6554266566347376,0.021865391727812076,4.294672587804902,0.011247312165372732,0.011768377362237245,0.0010033740401232491
10482001,0.04471232901614581,0.012703423310043564,5.018667868129435,0.005797840150227868,0.006068469660301932,0.00042809503477929807
3339894,0.6866940009127374,0.03629890331134507,3.4413912891615297,0.012474383493068533,0.010113873758065774,0.0008234722470401103
10662618,0.6881036428950587,0.026307904543140418,4.048173839689505,0.012402167325984238,0.010002616021756346,0.0012048228418072994
11250152,5.6691661875220765e-05,0.013176635999330236,3.5464071617519948,0.005376673154530257,0.010935982251871442,0.0009105844275087807
5024967,-0.013980189377548401,0.016787460920180294,4.708748125234,0.00813279367389378,0.008814780549816041,0.0006905073297946505
11087371,0.19400347605294274,0.006279672926681115,11.594006538281889,0.005704828323210333,0.004863867084503831,0.00019898444837769183
8957543,-0.00912745415987113,0.022722178659256822,3.9896964112550544,0.009731635875674109,0.009073892365419138,0.0009916988329646498
9408361,0.010835756838061336,0.0151041790563706,5.234657115219299,0.006626061091122081,0.005998868361646681,0.0004436900210824461
4141815,-0.0413149171186386,0.010654764579522153,4.592669315580037,0.005252233727506841,0.0064519283126431674,0.0003936881517757356
6181896,0.06048413193544088,0.010099029969212548,6.5015363404192845,0.005763228999681198,0.005604276860392201,0.0004304403334796361
5024272,0.5380288159834897,0.032533490591928206,2.0280816718816266,0.006645510137834885,0.006905584258332911,0.0013078250825005896
5111949,-0.029153557979494094,0.015821671558912224,4.8083073669784495,0.007554992514077997,0.010585043838275441,0.0009016329202449339
9405480,0.7167257994527716,0.027622525138712804,2.7931879521671386,0.008885370703024826,0.010084369304731514,0.00102248573611719
9540226,-0.00448764517381012,0.012865396442212875,3.170454325707995,0.004814627757957022,0.012835734708277766,0.000802349019568958
10524715,0.09670689442755773,0.009284718414056582,6.305106572801027,0.005682944961361327,0.0069550892637989335,0.0003486105836692353
5860093,0.08543462524296012,0.00990414815386659,5.558845486684122,0.006037908778110241,0.0070781541379130244,0.0005373844184332759
11868246,-0.0750578477222433,0.015566752344232403,3.7506545826512547,0.006549969903302886,0.00758274661056331,0.0009999761512465952
10468528,-0.03764685775882529,0.017481659561054942,3.684379197809035,0.00848142845080597,0.01098158882462474,0.0018559455968559066
8479383,0.6338169281588188,0.025087957065408388,4.162611143477405,0.012280047382119571,0.012658306119315885,0.0017085639185647815
9211401,0.6640120863948722,0.027166760391381863,3.5239295244459936,0.01066571657037936,0.010964513937034494,0.0010001197236156794
10936814,0.6778819483479062,0.022153531584576357,4.389333046094581,0.01025355971936848,0.010923731568682482,0.00097711420099027
11517524,0.16791278746611754,0.007214924603635119,8.848587749880066,0.005319370436195767,0.005135512232526242,0.00015393385564756789
4659706,0.05434239026472395,0.015487108152807535,3.7133825814199035,0.005948092826427956,0.007676113904237955,0.0006475132027395617
11177749,-0.026203148322013158,0.013243790596606436,4.0402122803962275,0.0062787960250522395,0.010455508224647076,0.0009385250485701576
9958567,0.5125123981752755,0.02691789883282353,3.493281672931349,0.012275210571634929,0.022234542477403165,0.0020282236525726014
7352718,0.7043050793985541,0.015291186131362345,4.018768918186771,0.006107413577474756,0.00874881382710171,0.0005719942545048659
9635603,2.4972477138597844,0.0027037515247857334,3.162553851925555,0.001877216970779583,0.008552269645123518,0.00016400939169845878
11456449,0.16915993667510906,0.008467889994579756,9.389694933053496,0.006494845142084125,0.0037177634015122286,0.00027115096427048806
11358755,-0.0034239716111017712,0.012065111992603128,4.007513946941801,0.005345685115840666,0.006978495705635625,0.0007173040737411505
10006852,0.061351703300065744,0.01094300113707266,6.741711246681472,0.0062955979629431835,0.006056796306449693,0.00031977049940787447
10667886,0.6543411763953729,0.02118218907609924,4.209187203757639,0.009762706212472057,0.010654338275147692,0.0008639100539739947
12314927,0.6224093855273725,0.030284740750520952,2.051658219662321,0.007948574837373233,0.016105053665510426,0.002250056639954998
11498298,0.6683023583491422,0.031154780372810713,4.6750521478693905,0.014256666403109087,0.009498409039015412,0.0014305238964527817
3835996,0.8352967563492358,0.015569951597222385,5.103024916340372,0.007853153814711737,0.005890273079279716,0.0005406193731933383
11298714,0.09836524004096057,0.008307316349896307,5.88802551127437,0.004520577410007129,0.005647030349010079,0.0003026249085698219
11551746,-0.03935780623612036,0.013419588746029375,4.678561572570031,0.006419815350473367,0.010980331654371123,0.0009792559541131171
11234625,-0.008789754985272288,0.015868854587336573,4.120602616034162,0.007871997070272432,0.009788356362520534,0.0013098915799884287
9451999,0.726251438677302,0.0270927500987619,4.286887634924498,0.013028957009092427,0.008635708407074326,0.00109750339207716
9825039,0.10211035550380855,0.009507571531592304,8.406183558227278,0.006409733981145095,0.005606653315513512,0.0003522175050241845
10599712,-0.07448715745665589,0.01256565022999711,4.166200405229998,0.005772552872498139,0.008586900785636405,0.0007258257438308744
11463411,0.031222523798958082,0.016291371908485924,4.613592922556581,0.006684219945894872,0.00858726620894514,0.0011091823574344295
10618005,0.6392755222866737,0.03204554600114585,4.012423038729864,0.014997733049549742,0.012862555963784413,0.0014344658939075352
9521461,0.03006648409092973,0.013770395863036017,5.3824452717550955,0.0069342014201380035,0.006142328340758644,0.0006081834106945342
9163153,0.2233669320377841,0.005455947212585384,12.530852142847918,0.00550587970543654,0.005008733691033262,0.00015933293905133836
2303367,-0.06577246071405657,0.014456075618098483,4.049032237026357,0.006947574457203391,0.011161100005271393,0.0009166824805811783
7671562,0.6695860711952235,0.023206706843679075,3.9161067978712634,0.010594434005522783,0.01058268615865663,0.0011909001452730533
6425301,0.08248893863277054,0.009251640005704404,6.1631772212761815,0.005738785643525809,0.008275024660937874,0.0004197241489021887
9532518,0.5728178884321383,0.03865547798647855,4.181456062967032,0.020577191393119452,0.013817462235234598,0.0021767703999787036
10604255,0.6845776143720946,0.02097350524646652,3.9296924000826867,0.009775271180201845,0.011112935026946583,0.0010179444003797576
2305930,0.6093847572293967,0.029886123249812307,4.042869711928512,0.014921823326651176,0.014121849747436774,0.001404685201208919
3231503,-0.06428148115521448,0.014016828335340157,4.277186509049571,0.006287012768714733,0.008397382238406139,0.000334757786287125
9788834,0.6409478767962264,0.022640784217568113,3.911631693288161,0.009723194413891096,0.012865249107247506,0.0008926547849636516
