KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
3437461|4927|150|2.549|0.010|-0.45|0.30|1.23|0.09|9.77|0.25|1.13|0.08|9.37|0.24|1.25|0.09|9.85|0.25|1|
3437742|4777|80|2.551|0.007|-0.33|0.15|1.30|0.07|10.03|0.20|1.16|0.06|9.45|0.19|1.29|0.07|9.98|0.20|1|
3438298|5099|160|2.403|0.013|-0.24|0.30|0.93|0.12|10.04|0.58|0.96|0.13|10.20|0.60|0.93|0.12|10.05|0.59|2|
3438609|5062|80|2.838|0.008|0.12|0.15|2.48|0.16|9.93|0.24|2.54|0.16|10.06|0.25|2.57|0.16|10.12|0.25|2|
3439096|5126|164|2.953|0.009|-0.34|0.30|1.19|0.08|6.02|0.14|1.19|0.08|6.02|0.14|1.21|0.08|6.07|0.14|1|
3439353|4800|80|2.836|0.006|-0.04|0.15|1.58|0.08|7.94|0.14|1.45|0.07|7.63|0.14|1.59|0.08|7.98|0.14|1|
3439356|4829|80|2.953|0.007|0.22|0.15|1.53|0.08|6.84|0.13|1.46|0.08|6.68|0.13|1.56|0.08|6.90|0.13|1|
3439466|4896|80|2.381|0.009|-0.46|0.15|1.21|0.17|11.76|0.79|1.10|0.15|11.21|0.73|1.23|0.17|11.83|0.79|2|
3440249|4737|80|2.613|0.011|-0.15|0.15|1.21|0.10|8.99|0.26|1.09|0.09|8.53|0.24|1.21|0.10|8.98|0.26|1|
3440304|5308|169|3.168|0.010|-0.28|0.30|1.58|0.11|5.43|0.14|1.63|0.12|5.51|0.14|1.62|0.11|5.50|0.14|1|
3441157|3920|80|1.582|0.014|0.00|0.30|1.23|0.16|29.68|1.60|1.07|0.14|27.79|1.47|1.20|0.16|29.33|1.57|0|
3441184|4689|80|2.544|0.007|-0.45|0.15|1.16|0.06|9.52|0.18|0.99|0.05|8.83|0.17|1.12|0.06|9.36|0.18|1|
3441207|4865|80|3.172|0.006|0.11|0.15|1.27|0.06|4.84|0.09|1.23|0.06|4.76|0.09|1.28|0.06|4.86|0.09|1|
3441368|4935|153|2.479|0.009|0.02|0.30|1.38|0.11|11.22|0.35|1.34|0.11|11.05|0.34|1.40|0.11|11.30|0.35|2|
3441473|4621|80|2.649|0.007|-0.32|0.15|1.20|0.07|8.58|0.17|1.04|0.06|7.98|0.16|1.17|0.06|8.47|0.17|1|
3441789|4797|150|2.671|0.009|0.28|0.30|1.56|0.10|9.57|0.22|1.49|0.09|9.33|0.21|1.59|0.10|9.64|0.22|1|
3441948|5015|165|2.564|0.010|0.08|0.30|1.50|0.11|10.58|0.28|1.48|0.11|10.53|0.28|1.52|0.11|10.65|0.28|1|
3442273|5119|169|3.191|0.010|0.37|0.30|1.56|0.11|5.24|0.13|1.60|0.11|5.32|0.13|1.57|0.11|5.27|0.13|1|
3442661|4496|157|1.732|0.025|-0.52|0.30|1.29|0.58|25.64|5.46|1.12|0.48|23.83|4.91|1.24|0.55|25.11|5.30|0|
3442818|4837|80|2.839|0.007|-0.00|0.15|1.47|0.07|7.65|0.14|1.38|0.07|7.41|0.14|1.49|0.08|7.69|0.15|1|
3443220|5219|163|3.184|0.008|-0.07|0.30|1.31|0.08|4.84|0.11|1.35|0.09|4.93|0.11|1.32|0.08|4.87|0.11|1|
3443331|4494|132|1.971|0.017|0.46|0.30|1.89|0.26|23.56|1.24|1.73|0.24|22.56|1.17|1.91|0.26|23.69|1.25|0|
3443483|5070|100|3.039|0.007|0.02|0.15|1.64|0.09|6.41|0.13|1.63|0.09|6.38|0.13|1.67|0.09|6.46|0.13|1|
3443906|5089|176|2.438|0.018|0.24|0.30|1.35|0.20|11.61|0.69|1.39|0.21|11.78|0.70|1.36|0.21|11.66|0.69|2|
3444029|4783|80|2.718|0.008|-0.01|0.15|1.62|0.10|9.21|0.20|1.49|0.09|8.85|0.19|1.64|0.10|9.27|0.20|1|
3444102|4916|152|2.416|0.011|-0.13|0.30|1.58|0.14|12.92|0.43|1.49|0.13|12.54|0.41|1.61|0.14|13.04|0.43|2|
3444291|5116|168|2.557|0.010|-0.06|0.30|2.21|0.16|12.95|0.35|2.23|0.17|13.02|0.35|2.29|0.17|13.19|0.36|2|
3444374|4778|100|2.658|0.007|0.11|0.15|1.40|0.08|9.18|0.18|1.31|0.07|8.89|0.17|1.42|0.08|9.24|0.18|1|
3444911|5014|156|2.469|0.012|-0.35|0.30|1.28|0.11|10.91|0.32|1.22|0.10|10.66|0.31|1.30|0.11|11.02|0.32|1|
3444945|4983|163|2.352|0.023|0.15|0.30|0.95|0.17|10.77|0.69|0.99|0.17|10.98|0.70|0.95|0.17|10.78|0.69|2|
3445572|4838|80|2.496|0.008|0.04|0.15|1.47|0.09|11.34|0.27|1.38|0.09|11.01|0.26|1.49|0.10|11.41|0.27|2|
3445799|4989|155|2.579|0.015|0.06|0.30|1.82|0.20|11.47|0.45|1.77|0.19|11.31|0.45|1.87|0.20|11.61|0.46|2|
3445822|4807|144|2.406|0.012|-0.33|0.30|1.38|0.12|12.18|0.37|1.23|0.11|11.53|0.35|1.38|0.12|12.17|0.37|1|
3445994|4844|80|2.435|0.010|-0.58|0.15|1.24|0.10|11.20|0.34|1.10|0.09|10.52|0.32|1.23|0.10|11.15|0.34|2|
3446517|5096|161|2.487|0.015|-0.24|0.30|1.68|0.19|12.25|0.51|1.63|0.18|12.08|0.50|1.73|0.19|12.41|0.52|2|
3446842|4777|150|2.391|0.010|0.51|0.30|1.10|0.08|11.05|0.31|1.08|0.08|10.99|0.30|1.09|0.08|11.04|0.31|2|
3447753|4531|80|2.647|0.007|0.25|0.15|1.42|0.08|9.38|0.19|1.28|0.07|8.88|0.18|1.43|0.08|9.39|0.19|1|
3448282|4857|150|2.382|0.021|0.21|0.30|1.36|0.22|12.45|0.71|1.32|0.21|12.24|0.70|1.38|0.22|12.52|0.72|2|
3448427|5143|175|2.963|0.010|0.02|0.30|1.37|0.10|6.41|0.17|1.41|0.10|6.49|0.17|1.39|0.10|6.45|0.17|1|
3448531|5241|183|2.283|0.012|-0.04|0.30|0.71|0.11|10.08|0.74|0.76|0.12|10.45|0.78|0.73|0.12|10.22|0.75|2|
3448729|4730|80|2.305|0.011|-0.14|0.15|0.96|0.13|11.40|0.69|0.87|0.12|10.89|0.65|0.95|0.13|11.38|0.69|2|
3449079|5204|173|2.462|0.013|-0.08|0.30|1.31|0.18|11.12|0.66|1.35|0.19|11.31|0.68|1.32|0.18|11.19|0.67|2|
3449224|4734|80|2.361|0.010|-0.21|0.15|1.09|0.09|11.41|0.36|0.97|0.08|10.79|0.34|1.08|0.09|11.38|0.36|2|
3449373|4770|166|2.413|0.011|-0.20|0.30|1.30|0.12|11.74|0.41|1.17|0.11|11.13|0.38|1.30|0.12|11.75|0.41|2|
3449870|4857|80|2.950|0.007|0.06|0.15|1.53|0.08|6.87|0.14|1.45|0.08|6.69|0.13|1.56|0.08|6.92|0.14|1|
3449907|4723|80|2.629|0.008|0.11|0.15|1.54|0.09|9.94|0.22|1.41|0.09|9.54|0.21|1.56|0.09|10.01|0.22|1|
3450129|4880|80|2.392|0.010|-0.23|0.15|1.14|0.16|11.27|0.71|1.07|0.14|10.90|0.67|1.15|0.16|11.31|0.71|2|
3452785|4631|80|2.359|0.017|-0.38|0.15|1.36|0.20|12.77|0.79|1.18|0.18|11.92|0.72|1.32|0.20|12.60|0.77|2|
3452915|4739|80|2.644|0.013|0.34|0.15|2.05|0.19|11.30|0.38|1.95|0.18|11.01|0.37|2.07|0.19|11.35|0.38|2|
3453419|4777|100|2.564|0.009|0.26|0.15|1.74|0.13|11.43|0.34|1.65|0.12|11.10|0.33|1.78|0.14|11.54|0.35|2|
3454246|4741|145|3.002|0.009|0.02|0.30|1.27|0.08|5.89|0.14|1.17|0.08|5.66|0.13|1.28|0.08|5.92|0.14|1|
3454605|4931|80|2.136|0.033|-0.46|0.15|1.54|0.50|17.58|2.45|1.41|0.46|16.83|2.31|1.57|0.51|17.74|2.48|0|
3454626|4707|80|2.985|0.006|0.37|0.15|1.37|0.07|6.24|0.11|1.29|0.06|6.06|0.11|1.37|0.07|6.24|0.11|1|
3454968|4810|168|2.608|0.013|-0.44|0.30|2.63|1.15|13.33|2.88|2.48|1.07|12.96|2.76|2.64|1.16|13.36|2.89|1|
3455146|4857|80|2.669|0.007|0.20|0.15|2.02|0.11|10.90|0.23|1.94|0.11|10.68|0.22|2.07|0.12|11.02|0.23|2|
3455336|5046|152|3.254|0.009|-0.61|0.30|1.10|0.07|4.09|0.10|1.04|0.07|3.99|0.10|1.12|0.07|4.15|0.10|1|
3455760|4693|100|2.587|0.008|-0.08|0.15|1.67|0.10|10.89|0.23|1.51|0.09|10.34|0.22|1.68|0.10|10.91|0.23|1|
3455784|4837|80|2.940|0.008|0.16|0.15|1.71|0.10|7.34|0.15|1.62|0.09|7.15|0.15|1.75|0.10|7.42|0.15|1|
3455843|4687|80|2.345|0.018|0.10|0.15|1.69|0.23|14.46|0.71|1.54|0.21|13.82|0.67|1.71|0.23|14.56|0.71|2|
3455906|4784|140|2.569|0.010|-0.01|0.30|1.57|0.12|10.77|0.34|1.45|0.11|10.34|0.32|1.59|0.13|10.83|0.34|2|
3456216|5097|158|2.656|0.010|-0.04|0.30|2.22|0.17|11.60|0.34|2.24|0.18|11.66|0.34|2.31|0.18|11.83|0.34|2|
3456313|4894|80|2.867|0.007|0.03|0.15|1.91|0.10|8.44|0.16|1.82|0.09|8.23|0.15|1.96|0.10|8.54|0.16|1|
3456449|4933|80|2.650|0.009|0.10|0.15|1.78|0.12|10.45|0.25|1.71|0.12|10.25|0.25|1.82|0.12|10.58|0.26|2|
3456564|4875|156|2.360|0.017|-0.54|0.30|0.67|0.10|8.98|0.56|0.62|0.10|8.64|0.53|0.69|0.11|9.07|0.57|2|
3456587|5136|176|2.872|0.010|-0.47|0.30|1.33|0.09|7.00|0.17|1.30|0.09|6.92|0.17|1.37|0.10|7.09|0.18|1|
3456666|4500|128|2.123|0.051|0.09|0.30|0.84|0.30|13.14|1.65|0.73|0.26|12.30|1.53|0.84|0.30|13.14|1.65|0|
3456843|5138|166|2.941|0.010|-0.19|0.30|1.78|0.13|7.47|0.19|1.76|0.12|7.43|0.19|1.82|0.13|7.56|0.19|1|
3456864|5258|186|2.473|0.012|-0.17|0.30|2.33|0.39|14.68|1.12|2.46|0.41|15.09|1.17|2.47|0.41|15.10|1.17|2|
3457190|4905|80|2.414|0.009|-0.48|0.15|1.22|0.11|11.33|0.45|1.11|0.10|10.81|0.42|1.23|0.11|11.40|0.45|2|
3457298|4746|151|2.504|0.016|0.06|0.30|1.86|0.48|12.63|1.55|1.71|0.44|12.14|1.46|1.89|0.49|12.73|1.57|2|
3457392|4801|145|2.455|0.013|-0.13|0.30|1.32|0.13|11.27|0.43|1.21|0.12|10.79|0.41|1.33|0.13|11.32|0.43|2|
3457431|4982|165|2.379|0.017|0.08|0.30|0.88|0.13|10.03|0.57|0.92|0.13|10.26|0.59|0.88|0.13|10.07|0.58|2|
3457618|4740|100|2.447|0.009|0.18|0.15|2.04|0.13|14.14|0.33|1.91|0.12|13.68|0.32|2.08|0.13|14.28|0.33|1|
3458097|4948|173|2.777|0.011|-0.14|0.30|2.21|0.20|10.05|0.37|2.12|0.20|9.85|0.36|2.27|0.21|10.19|0.38|1|
3458328|4944|162|2.495|0.020|0.00|0.30|1.70|0.60|12.20|2.07|1.62|0.57|11.93|2.01|1.73|0.62|12.32|2.10|2|
3458378|4875|155|2.312|0.023|-0.55|0.30|0.73|0.13|9.90|0.60|0.67|0.11|9.48|0.58|0.74|0.13|9.97|0.61|2|
3458643|5008|80|2.749|0.022|0.08|0.15|2.56|0.42|11.18|0.65|2.60|0.42|11.27|0.66|2.65|0.43|11.37|0.66|2|
3458703|4807|80|2.348|0.015|-0.18|0.15|1.38|0.16|13.06|0.56|1.26|0.15|12.46|0.53|1.40|0.16|13.12|0.56|2|
3458715|5063|162|3.153|0.009|-0.10|0.30|1.52|0.10|5.42|0.12|1.50|0.10|5.37|0.12|1.55|0.10|5.47|0.13|1|
3459109|4829|80|2.698|0.008|0.07|0.15|1.98|0.11|10.43|0.21|1.87|0.10|10.13|0.21|2.02|0.11|10.55|0.22|1|
3459233|5144|168|2.901|0.009|-0.51|0.30|1.48|0.10|7.13|0.17|1.43|0.10|7.03|0.17|1.52|0.10|7.24|0.17|1|
3459347|5008|80|2.500|0.012|-0.58|0.15|2.00|0.21|13.16|0.56|1.87|0.20|12.72|0.54|2.04|0.22|13.28|0.57|2|
3525303|4776|142|2.048|0.048|-0.40|0.30|1.31|0.53|17.95|2.88|1.16|0.46|16.84|2.66|1.29|0.52|17.80|2.86|0|
3525541|4799|80|2.322|0.013|-0.43|0.15|0.80|0.09|10.20|0.47|0.71|0.08|9.65|0.44|0.79|0.09|10.16|0.47|2|
3525569|5123|157|3.108|0.008|-0.40|0.30|1.27|0.08|5.21|0.12|1.25|0.08|5.17|0.12|1.30|0.08|5.27|0.12|1|
3526061|4865|100|3.021|0.007|0.23|0.15|1.43|0.07|6.12|0.11|1.38|0.07|6.02|0.11|1.45|0.07|6.16|0.11|1|
3526625|4851|100|2.443|0.011|0.10|0.15|1.13|0.10|10.57|0.33|1.10|0.09|10.43|0.33|1.13|0.10|10.59|0.33|2|
3526709|4897|156|2.419|0.012|0.22|0.30|1.22|0.13|11.30|0.49|1.21|0.13|11.26|0.49|1.23|0.13|11.32|0.49|2|
3526964|4907|146|2.391|0.011|-0.62|0.30|1.36|0.11|12.30|0.35|1.22|0.10|11.65|0.33|1.37|0.11|12.34|0.35|1|
3526995|4761|80|2.457|0.010|0.01|0.15|1.23|0.09|10.85|0.31|1.14|0.09|10.44|0.30|1.24|0.09|10.89|0.31|2|
3527032|4815|100|2.538|0.009|-0.21|0.15|1.53|0.10|11.02|0.26|1.39|0.09|10.49|0.25|1.54|0.10|11.07|0.27|1|
3527156|4897|144|2.425|0.011|-0.58|0.30|1.05|0.09|10.43|0.31|0.95|0.08|9.89|0.29|1.06|0.09|10.44|0.31|2|
3527231|4674|135|2.090|0.022|0.28|0.30|1.95|0.54|20.86|2.64|1.82|0.50|20.11|2.50|1.98|0.55|20.98|2.66|0|
3527264|4844|148|2.647|0.009|0.12|0.30|1.45|0.10|9.49|0.23|1.38|0.09|9.25|0.22|1.47|0.10|9.55|0.23|1|
3527341|4973|150|2.386|0.010|-0.28|0.30|1.09|0.11|11.09|0.45|1.05|0.10|10.89|0.44|1.10|0.11|11.15|0.46|2|
3527708|4464|100|1.833|0.029|-0.14|0.15|0.91|0.26|19.18|2.33|0.78|0.22|17.68|2.09|0.90|0.25|18.99|2.30|1|
3527891|4722|100|2.392|0.012|0.05|0.15|1.52|0.13|12.98|0.39|1.39|0.12|12.43|0.37|1.53|0.13|13.06|0.39|1|
3528158|5138|153|2.441|0.010|-0.69|0.30|1.11|0.09|10.50|0.30|1.08|0.08|10.36|0.30|1.14|0.09|10.64|0.31|2|
3528656|4639|100|2.222|0.010|-0.47|0.15|1.45|0.11|15.42|0.42|1.26|0.09|14.39|0.39|1.40|0.11|15.17|0.42|1|
3528900|5113|155|2.400|0.011|-0.21|0.30|1.06|0.09|10.73|0.38|1.08|0.10|10.86|0.38|1.06|0.09|10.76|0.38|2|
3528993|5079|154|3.120|0.009|-0.05|0.30|1.69|0.11|5.93|0.14|1.67|0.11|5.89|0.14|1.73|0.11|6.00|0.14|1|
3529097|4733|100|2.423|0.015|0.25|0.15|1.19|0.13|11.10|0.45|1.13|0.13|10.81|0.44|1.19|0.13|11.12|0.45|2|
3529175|5071|157|3.251|0.009|0.23|0.30|1.29|0.08|4.46|0.10|1.33|0.09|4.52|0.10|1.30|0.08|4.48|0.10|1|
3529276|4884|100|2.677|0.009|-0.24|0.15|1.72|0.11|9.96|0.24|1.59|0.10|9.57|0.22|1.75|0.12|10.06|0.24|1|
3529399|4741|80|2.999|0.006|0.17|0.15|1.19|0.06|5.72|0.10|1.12|0.05|5.55|0.10|1.20|0.06|5.74|0.10|1|
3529456|5056|150|2.408|0.013|-0.20|0.30|1.05|0.11|10.61|0.43|1.06|0.11|10.68|0.43|1.05|0.11|10.63|0.43|2|
3529480|4852|100|2.551|0.016|0.16|0.15|1.64|0.19|11.25|0.44|1.56|0.18|10.98|0.43|1.67|0.19|11.36|0.45|2|
3529597|4977|100|2.629|0.010|0.11|0.15|2.17|0.17|11.82|0.32|2.14|0.16|11.74|0.32|2.23|0.17|11.97|0.33|2|
3530333|4922|148|3.038|0.008|0.11|0.30|1.43|0.09|5.98|0.13|1.39|0.09|5.90|0.13|1.45|0.09|6.02|0.13|1|
3530520|4760|100|2.469|0.011|0.43|0.15|1.68|0.14|12.53|0.37|1.62|0.13|12.29|0.36|1.72|0.14|12.66|0.37|1|
3530823|5042|100|2.567|0.009|-0.06|0.15|1.66|0.12|11.13|0.32|1.62|0.12|10.99|0.31|1.70|0.13|11.24|0.32|2|
3530942|4789|80|2.656|0.007|-0.02|0.15|1.42|0.08|9.27|0.19|1.31|0.07|8.92|0.18|1.44|0.08|9.33|0.19|1|
3531436|5041|80|3.166|0.007|-0.21|0.15|1.49|0.07|5.28|0.10|1.44|0.07|5.19|0.10|1.53|0.08|5.35|0.10|1|
3531478|4945|80|3.294|0.006|0.01|0.15|1.41|0.07|4.43|0.08|1.36|0.07|4.36|0.08|1.43|0.07|4.46|0.08|1|
3531647|4537|158|2.345|0.018|0.00|0.30|1.22|0.35|12.31|1.66|1.08|0.30|11.54|1.51|1.21|0.34|12.24|1.65|2|
3532085|4707|80|2.923|0.006|0.04|0.15|1.18|0.06|6.21|0.11|1.08|0.05|5.95|0.11|1.19|0.06|6.23|0.11|1|
3532113|4797|100|2.575|0.008|-0.17|0.15|1.48|0.09|10.38|0.23|1.34|0.08|9.89|0.21|1.49|0.09|10.43|0.23|1|
3532734|4891|80|3.080|0.008|-0.06|0.15|1.46|0.09|5.77|0.12|1.38|0.08|5.61|0.12|1.48|0.09|5.82|0.13|1|
3532849|4879|146|3.103|0.009|-0.07|0.30|1.65|0.11|5.97|0.14|1.55|0.10|5.78|0.13|1.68|0.11|6.03|0.14|1|
3532985|4923|80|2.880|0.011|0.28|0.15|1.77|0.15|8.01|0.25|1.73|0.14|7.91|0.24|1.81|0.15|8.09|0.25|2|
3533223|4725|143|2.742|0.013|-0.13|0.30|1.38|0.19|8.27|0.49|1.24|0.17|7.84|0.46|1.38|0.19|8.27|0.49|1|
3533409|5033|149|3.222|0.008|-0.26|0.30|1.08|0.07|4.22|0.09|1.07|0.07|4.20|0.09|1.09|0.07|4.24|0.10|1|
3533464|4855|80|3.195|0.006|0.19|0.15|1.31|0.07|4.79|0.09|1.27|0.06|4.71|0.09|1.32|0.07|4.81|0.09|1|
3533480|4714|80|2.337|0.012|-0.13|0.15|0.96|0.12|10.99|0.61|0.87|0.11|10.47|0.57|0.95|0.12|10.98|0.61|2|
3533842|4738|139|2.323|0.010|0.14|0.30|1.50|0.11|13.99|0.37|1.39|0.10|13.48|0.35|1.52|0.11|14.09|0.37|2|
3534077|5196|158|3.289|0.009|-0.21|0.30|1.41|0.10|4.46|0.11|1.44|0.10|4.50|0.11|1.44|0.10|4.51|0.11|1|
3534438|4755|166|2.430|0.017|-2.09|0.30|0.47|0.11|6.94|0.73|0.34|0.07|5.86|0.58|0.48|0.11|7.01|0.74|2|
3534577|4966|155|2.621|0.010|-0.07|0.30|1.53|0.11|10.01|0.25|1.47|0.10|9.81|0.24|1.55|0.11|10.10|0.25|1|
3534649|4920|153|2.442|0.021|0.24|0.30|1.31|0.20|11.41|0.64|1.30|0.20|11.37|0.64|1.32|0.21|11.45|0.64|2|
3539190|5115|164|2.425|0.011|-0.10|0.30|1.32|0.12|11.66|0.45|1.34|0.13|11.73|0.45|1.34|0.13|11.74|0.45|2|
3539261|4968|151|2.368|0.014|-0.15|0.30|0.92|0.10|10.38|0.45|0.93|0.10|10.46|0.45|0.92|0.10|10.40|0.45|2|
3539408|4944|80|2.973|0.007|-0.16|0.15|1.64|0.09|6.91|0.13|1.54|0.08|6.71|0.13|1.67|0.09|6.98|0.13|1|
3539429|4745|80|2.959|0.006|0.22|0.15|1.29|0.06|6.23|0.11|1.22|0.06|6.05|0.11|1.30|0.06|6.26|0.11|1|
3540650|4910|157|2.457|0.011|0.36|0.30|1.13|0.10|10.39|0.37|1.14|0.11|10.46|0.37|1.12|0.10|10.37|0.37|2|
3541061|4933|80|2.508|0.011|-0.14|0.15|1.47|0.15|11.17|0.49|1.39|0.14|10.87|0.47|1.49|0.16|11.28|0.49|2|
3541631|4834|80|2.317|0.014|-0.23|0.15|0.89|0.12|10.83|0.60|0.84|0.11|10.53|0.58|0.89|0.12|10.87|0.61|2|
3541897|5008|80|2.581|0.007|-0.26|0.15|2.04|0.12|12.12|0.27|1.95|0.11|11.85|0.27|2.10|0.12|12.30|0.28|2|
3541930|5026|156|2.347|0.013|-0.35|0.30|0.75|0.11|9.63|0.62|0.78|0.11|9.80|0.64|0.76|0.11|9.70|0.63|2|
3542248|5145|162|2.998|0.010|-0.13|0.30|1.46|0.10|6.33|0.16|1.47|0.10|6.35|0.16|1.48|0.11|6.39|0.16|1|
3542426|5000|156|2.533|0.010|-0.11|0.30|1.44|0.11|10.78|0.29|1.40|0.10|10.61|0.28|1.47|0.11|10.87|0.29|1|
3542501|5023|158|2.549|0.010|-0.13|0.30|1.59|0.11|11.09|0.28|1.54|0.11|10.90|0.27|1.62|0.11|11.21|0.28|1|
3542895|5165|180|2.444|0.013|0.28|0.30|1.34|0.15|11.51|0.52|1.40|0.16|11.76|0.53|1.35|0.15|11.54|0.52|2|
3543114|5114|169|2.372|0.012|0.16|0.30|0.75|0.07|9.32|0.30|0.80|0.07|9.63|0.31|0.76|0.07|9.40|0.31|2|
3543433|4434|80|1.880|0.016|0.04|0.15|1.52|0.18|23.42|1.00|1.34|0.16|22.01|0.93|1.50|0.18|23.28|0.99|1|
3543443|5068|160|2.420|0.017|0.04|0.30|1.02|0.13|10.34|0.47|1.06|0.13|10.54|0.48|1.03|0.13|10.36|0.47|2|
3543446|5233|157|3.051|0.008|-1.05|0.30|1.01|0.06|4.96|0.11|1.00|0.06|4.94|0.11|1.03|0.06|5.01|0.11|1|
3543722|4550|100|2.159|0.008|-0.26|0.15|1.23|0.09|15.27|0.43|1.06|0.07|14.21|0.39|1.20|0.09|15.08|0.42|1|
3543846|4834|143|2.481|0.009|-0.19|0.30|1.43|0.09|11.38|0.27|1.31|0.09|10.90|0.25|1.45|0.09|11.46|0.27|1|
3543887|4714|80|2.552|0.007|-0.12|0.15|1.25|0.07|9.83|0.20|1.13|0.06|9.31|0.18|1.25|0.07|9.82|0.20|1|
3544063|5204|162|2.462|0.015|-0.11|0.30|1.25|0.14|10.87|0.46|1.29|0.15|11.05|0.47|1.26|0.14|10.92|0.46|2|
3544121|5087|158|2.405|0.018|-0.18|0.30|1.34|0.17|12.03|0.54|1.33|0.17|11.99|0.54|1.37|0.18|12.13|0.55|2|
3544201|5022|158|2.498|0.011|0.19|0.30|2.83|0.23|15.72|0.46|2.95|0.24|16.02|0.47|2.93|0.24|15.99|0.47|2|
3544390|5098|172|2.450|0.010|0.19|0.30|1.60|0.18|12.46|0.63|1.62|0.18|12.56|0.63|1.62|0.19|12.57|0.63|2|
3544421|5335|172|2.991|0.009|-0.08|0.30|1.35|0.09|6.15|0.14|1.42|0.09|6.31|0.15|1.37|0.09|6.19|0.14|1|
3544534|4939|158|2.321|0.011|0.16|0.30|1.24|0.11|12.72|0.45|1.23|0.11|12.71|0.45|1.25|0.11|12.77|0.45|1|
3544637|4747|80|2.414|0.012|-0.06|0.15|1.15|0.11|11.03|0.37|1.06|0.10|10.56|0.36|1.16|0.11|11.05|0.37|2|
3544887|4882|80|2.411|0.013|-0.19|0.15|1.27|0.13|11.62|0.46|1.18|0.12|11.23|0.44|1.28|0.13|11.69|0.46|2|
3544987|4367|80|1.986|0.013|-0.29|0.15|1.26|0.13|18.89|0.74|1.09|0.11|17.58|0.68|1.22|0.13|18.57|0.73|1|
3545033|4710|80|2.806|0.007|0.26|0.15|1.58|0.08|8.23|0.15|1.47|0.07|7.94|0.15|1.61|0.08|8.29|0.16|1|
3545147|4871|100|2.654|0.009|0.08|0.15|1.90|0.12|10.75|0.25|1.80|0.12|10.47|0.24|1.94|0.13|10.88|0.25|1|
3545520|4948|151|2.417|0.011|-0.14|0.30|1.33|0.12|11.81|0.41|1.27|0.11|11.55|0.40|1.35|0.12|11.90|0.42|2|
3546046|4842|80|3.164|0.006|0.14|0.15|1.30|0.06|4.94|0.09|1.25|0.06|4.85|0.09|1.31|0.06|4.97|0.09|1|
3546258|4761|142|2.508|0.009|0.23|0.30|1.49|0.10|11.27|0.28|1.40|0.09|10.93|0.27|1.51|0.10|11.35|0.28|1|
3546343|5153|164|2.500|0.012|-0.11|0.30|1.37|0.12|10.91|0.36|1.39|0.12|11.00|0.36|1.39|0.12|11.00|0.36|2|
3546523|5070|151|3.032|0.009|-0.93|0.30|1.13|0.09|5.37|0.17|1.06|0.08|5.19|0.16|1.14|0.09|5.40|0.17|1|
3547041|4704|80|2.920|0.007|0.34|0.15|1.42|0.07|6.84|0.13|1.33|0.07|6.63|0.12|1.43|0.07|6.86|0.13|1|
3547198|5117|161|2.586|0.019|-0.12|0.30|2.14|0.29|12.33|0.58|2.14|0.29|12.34|0.58|2.21|0.30|12.55|0.59|2|
3547236|4817|80|3.045|0.006|0.12|0.15|1.31|0.06|5.69|0.10|1.24|0.06|5.55|0.10|1.32|0.06|5.72|0.10|1|
3547488|4670|80|2.767|0.006|0.16|0.15|1.46|0.07|8.27|0.15|1.34|0.07|7.91|0.15|1.48|0.07|8.32|0.15|1|
3547798|5208|170|2.392|0.016|-0.19|0.30|0.95|0.18|10.28|0.86|1.00|0.19|10.54|0.89|0.94|0.18|10.25|0.85|2|
3547853|5088|164|2.550|0.012|0.22|0.30|1.58|0.13|11.04|0.33|1.60|0.14|11.13|0.34|1.60|0.14|11.14|0.34|2|
3547943|4840|145|2.403|0.014|0.37|0.30|1.15|0.12|11.14|0.43|1.14|0.12|11.11|0.43|1.14|0.12|11.12|0.43|2|
3548075|4959|164|2.452|0.012|0.28|0.30|1.30|0.13|11.23|0.46|1.31|0.14|11.27|0.46|1.31|0.13|11.26|0.46|2|
3548653|5043|176|2.375|0.011|-0.40|0.30|0.77|0.08|9.46|0.40|0.80|0.08|9.60|0.41|0.78|0.08|9.53|0.40|2|
3548732|4690|80|2.551|0.007|0.14|0.15|2.02|0.11|12.47|0.26|1.86|0.10|11.99|0.24|2.05|0.11|12.56|0.26|1|
3549969|4930|80|2.395|0.010|-0.77|0.15|0.67|0.07|8.59|0.38|0.61|0.06|8.23|0.36|0.69|0.07|8.76|0.39|2|
3549989|4880|152|2.412|0.010|-0.12|0.30|1.31|0.09|11.80|0.31|1.23|0.09|11.45|0.30|1.33|0.10|11.88|0.31|1|
3550074|4868|156|2.425|0.010|0.50|0.30|1.17|0.09|11.00|0.33|1.16|0.09|10.92|0.33|1.14|0.09|10.86|0.33|2|
3550605|4741|80|2.461|0.011|-0.04|0.15|1.26|0.11|10.95|0.35|1.16|0.10|10.48|0.33|1.27|0.11|10.99|0.35|2|
3550658|5106|159|2.378|0.014|-0.17|0.30|0.88|0.14|10.06|0.72|0.92|0.15|10.29|0.75|0.89|0.14|10.10|0.73|2|
3553319|4810|80|2.693|0.007|-0.11|0.15|2.07|0.11|10.73|0.21|1.91|0.10|10.32|0.20|2.10|0.11|10.80|0.21|1|
