KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
1429629|4261|128|2.684|0.010|-0.46|0.30|1.18|0.08|8.19|0.20|1.02|0.07|7.62|0.19|1.14|0.08|8.04|0.20|1|
1430118|5070|155|3.126|0.008|-0.14|0.30|1.23|0.08|5.02|0.11|1.23|0.08|5.03|0.11|1.24|0.08|5.04|0.11|1|
1430912|4968|162|2.429|0.013|-0.01|0.30|1.34|0.15|11.68|0.54|1.31|0.15|11.56|0.54|1.35|0.15|11.76|0.55|2|
1430985|4964|80|2.997|0.007|-0.33|0.15|1.33|0.07|6.06|0.11|1.25|0.06|5.88|0.11|1.36|0.07|6.12|0.11|1|
1431059|4829|80|3.142|0.006|0.15|0.15|1.24|0.06|4.94|0.09|1.19|0.06|4.85|0.08|1.25|0.06|4.96|0.09|1|
1431316|5092|153|2.494|0.011|-0.10|0.30|1.41|0.12|11.13|0.36|1.41|0.12|11.13|0.36|1.43|0.12|11.23|0.36|2|
1432587|4443|100|1.622|0.025|-0.23|0.15|0.90|0.16|24.32|1.53|0.76|0.14|22.30|1.39|0.88|0.16|24.05|1.51|1|
1432825|5293|168|3.177|0.010|-0.07|0.30|1.58|0.12|5.36|0.14|1.64|0.12|5.47|0.14|1.60|0.12|5.41|0.14|1|
1433132|4689|144|2.491|0.011|0.37|0.30|1.33|0.10|10.84|0.30|1.25|0.10|10.51|0.29|1.33|0.10|10.84|0.30|1|
1433593|4956|100|2.755|0.007|0.11|0.15|1.95|0.11|9.71|0.19|1.90|0.10|9.56|0.19|2.00|0.11|9.83|0.19|1|
1433730|4767|100|2.513|0.009|-0.06|0.15|2.00|0.13|12.98|0.31|1.84|0.12|12.45|0.30|2.02|0.13|13.05|0.31|1|
1433803|4760|80|3.083|0.006|0.28|0.15|1.30|0.06|5.43|0.10|1.24|0.06|5.29|0.09|1.31|0.06|5.44|0.10|1|
1434395|5072|164|2.307|0.024|-0.13|0.30|0.75|0.15|10.05|0.75|0.79|0.15|10.36|0.78|0.76|0.15|10.14|0.76|2|
1435573|4821|100|2.319|0.012|0.10|0.15|0.83|0.11|10.47|0.57|0.85|0.11|10.59|0.58|0.84|0.11|10.52|0.58|2|
1569823|4679|163|2.546|0.044|-0.32|0.30|0.81|0.34|7.95|1.43|0.70|0.29|7.41|1.30|0.80|0.34|7.91|1.42|2|
1569842|4808|80|3.039|0.006|-0.26|0.15|1.10|0.05|5.25|0.09|1.00|0.05|5.01|0.09|1.10|0.05|5.25|0.09|1|
1571780|4912|80|2.603|0.012|0.26|0.15|2.62|0.24|13.39|0.44|2.65|0.24|13.47|0.44|2.70|0.24|13.59|0.44|2|
1572049|4789|80|2.620|0.021|-0.57|0.15|1.61|0.25|10.30|0.55|1.42|0.22|9.65|0.51|1.58|0.24|10.19|0.54|2|
1572175|4789|100|2.656|0.008|-0.04|0.15|1.80|0.11|10.45|0.23|1.66|0.10|10.03|0.22|1.84|0.11|10.54|0.23|1|
1572317|5333|172|3.226|0.009|-0.31|0.30|1.64|0.10|5.17|0.12|1.69|0.11|5.26|0.12|1.68|0.11|5.24|0.12|1|
1572780|4738|80|2.164|0.014|-0.49|0.15|1.04|0.17|13.95|1.04|0.89|0.14|12.96|0.93|1.00|0.17|13.74|1.01|0|
1573925|5143|158|3.017|0.009|-0.12|0.30|1.34|0.09|5.94|0.14|1.36|0.09|5.99|0.14|1.36|0.09|5.99|0.14|1|
1575886|5016|80|2.921|0.008|-0.00|0.15|2.20|0.13|8.50|0.19|2.17|0.13|8.46|0.19|2.27|0.14|8.64|0.19|2|
