ID,Teff,Teff_err,dnu,dnu_err,numax,numax_err,bp_rp,eps,eps_err,eps_mod
9726814,4676.0,100.0,4.6560000000000015,0.011,47.2,0.81,1.4098082,1.0464034474097703,0.010743021269931407,1.0464034474097703
9727392,5191.0,100.0,4.434,0.037000000000000005,40.01,0.63,1.2580366000000003,1.0797424494174046,0.013294291637837113,1.0797424494174046
9727675,5110.0,100.0,6.0710000000000015,0.026,67.43,1.03,1.3416767,1.0348909269319608,0.0153292561224421,1.0348909269319608
9728284,4918.0,100.0,4.922,0.012,46.77,0.69,1.3678522,1.0297761870872522,0.011191766286099723,1.0297761870872522
9728845,4642.0,100.0,3.152,0.043,28.98,0.74,1.4465656,0.601441700158479,0.040386549673266985,0.601441700158479
9758246,4685.0,100.0,2.82,0.013,21.76,0.4,1.348175,0.9586571972098928,0.01370966752740407,0.9586571972098928
9760904,5131.0,100.0,3.993,0.092,28.82,0.46,1.1670274999999999,0.6141971254901507,0.02332224565146721,0.6141971254901507
9761625,4619.0,100.0,1.429,0.023,9.23,0.41,1.4337444,0.6214744720318812,0.03663271336648555,0.6214744720318812
9763419,4925.0,100.0,4.084,0.033,33.21,0.67,1.2726555,0.6721419900918608,0.026158760444922317,0.6721419900918608
9764708,4915.0,100.0,3.384,0.014,31.89,0.49,1.2742528999999998,1.3906807200602738,0.016010977870118518,1.3906807200602738
9767332,5223.0,100.0,8.587,0.027000000000000003,110.6,1.39,1.1685696,1.1018192706665726,0.009829195314383737,1.1018192706665726
9772366,4826.0,100.0,6.825,0.016,75.95,0.7,1.2934265,0.6636427326134962,0.016032430432129516,0.6636427326134962
9775927,5316.0,100.0,8.475,0.013,106.29,1.27,1.1010618,1.0972718210400094,0.0106030966706342,1.0972718210400094
9780183,4793.0,100.0,3.782,0.032,31.32,0.62,1.3118811000000001,0.9952388889062156,0.013495512640640571,0.9952388889062156
9783226,4783.0,100.0,5.3210000000000015,0.012,53.0,0.35,1.2816296,1.0394467081962735,0.013009131096565018,1.0394467081962735
9785675,4588.0,80.0,3.504,0.096,24.38,0.67,1.4311066000000001,0.6352122841571397,0.023200513908966592,0.6352122841571397
9786625,4766.0,100.0,4.703,0.013,46.74,0.64,1.3734608,1.0684413078056068,0.01411122995739402,1.0684413078056068
9788834,4746.0,100.0,3.827,0.02,30.98,0.56,1.3997478,0.6409478767962264,0.02264078421756812,0.6409478767962264
9790050,4985.0,100.0,5.278,0.03,55.3,0.66,1.2834578,1.0404305079064171,0.013301524079695594,1.0404305079064171
9818513,4808.0,100.0,3.851,0.044,31.66,0.81,1.392169,0.6857258468731839,0.017636805952059638,0.6857258468731839
9820702,5011.0,100.0,5.97,0.02,61.2,0.48,1.214879,1.0970877926945748,0.007356547877720434,1.0970877926945748
9821783,5080.0,100.0,4.142,0.021,35.2,0.52,1.1494036,0.9684239125337062,0.01246527927163368,0.9684239125337062
9825039,5265.0,100.0,8.417,0.04,102.97,0.91,1.0904512,1.1021103555038083,0.009507571531592304,1.1021103555038083
9833073,4821.0,100.0,3.657,0.012,32.05,0.38,1.3345165,0.9844104476501684,0.012500614565730341,0.9844104476501684
9835436,4762.0,100.0,3.026,0.017,24.27,0.29,1.2644348,0.7246795141437892,0.035760474891273035,0.7246795141437892
9835626,4902.0,100.0,5.434,0.013,55.54,0.77,1.3150873,1.0515456728017536,0.011611361400161144,1.0515456728017536
9835790,4924.0,100.0,5.75,0.024,62.18,0.62,1.2031450000000001,1.0247658956498282,0.01165489504202753,1.0247658956498282
9836930,5023.0,100.0,5.938,0.024,73.86,1.37,1.196888,1.0174856627837559,0.015667345264094856,1.0174856627837559
9839246,4900.0,100.0,4.6389999999999985,0.021,44.72,0.86,1.2763891,1.1935463704503837,0.01834328770686469,1.1935463704503837
9843358,4853.0,100.0,4.037,0.033,31.3,0.55,1.2730665,0.6264731028652674,0.029521910733789743,0.6264731028652674
9846877,4921.0,100.0,4.306,0.045,37.35,0.48,1.3022642,0.6902672560590897,0.03100140548832516,0.6902672560590897
9847893,4905.0,80.0,3.752,0.068,22.2,0.41,1.1885872,0.536236123894082,0.03425267299504666,0.536236123894082
9851743,4859.0,100.0,4.745,0.034,44.31,0.84,1.3740873,1.0260598175163658,0.016203651165603832,1.0260598175163658
9881167,4914.0,100.0,3.896,0.045,33.06,0.83,1.2757397,1.003748437572448,0.013439740314758095,1.003748437572448
9881628,4888.0,100.0,3.916,0.07400000000000001,27.4,1.2,1.1942663,0.9758277014790872,0.0156683948391818,0.9758277014790872
9882316,5400.0,100.0,13.562,0.02,179.09,1.03,1.0614233,1.2494033474672372,0.007901742062230783,1.2494033474672372
9882446,4898.0,100.0,4.9860000000000015,0.013,50.06,0.69,1.2869711000000001,1.0256786638391144,0.011618456666981157,1.0256786638391144
9882550,4988.0,100.0,4.22,0.064,37.83,0.66,1.2137708999999999,0.9759787041789009,0.013859875805937637,0.9759787041789009
9883123,5131.0,100.0,8.256,0.013,92.8,0.9,1.1703959,1.1190352494102416,0.008113600434992294,1.1190352494102416
9883214,4943.0,100.0,3.886,0.075,28.62,0.94,1.2389755,0.9704183587187596,0.01273949143096492,0.9704183587187596
9893889,4827.0,100.0,3.87,0.045,30.85,0.49,1.2962475,0.6423958056879139,0.027403141222098828,0.6423958056879139
9903915,4987.0,100.0,6.016,0.023,68.44,0.85,1.2572546,1.0782174029878004,0.013645830167829408,1.0782174029878004
9904563,5024.0,100.0,4.277,0.029,39.97,0.73,1.2870607,0.7392627642329329,0.02878832010242805,0.7392627642329329
9906278,4994.0,100.0,4.676,0.032,45.57,0.63,1.2907057,1.0134520989937181,0.017101221444998725,1.0134520989937181
9909804,4966.0,100.0,4.2860000000000005,0.058,36.14,0.66,1.2991133,0.6369428760007432,0.0348131447752902,0.6369428760007432
9941141,4887.0,100.0,7.966,0.014,88.8,0.55,1.3167601,1.1466581565353766,0.00672192250533481,1.1466581565353766
9942816,5227.0,100.0,4.525,0.057,40.33,0.69,1.1276531,1.0207331080419648,0.012538173311871771,1.0207331080419648
9945290,4919.0,100.0,4.3210000000000015,0.044,38.09,0.71,1.2983999,0.7021346324030506,0.02330253039865973,0.7021346324030506
9946773,5310.0,100.0,4.32,0.103,28.34,0.61,1.1169719999999999,0.5926805150285214,0.028172939338750924,0.5926805150285214
