Title: The First APOKASC Catalog of Kepler Dwarf and Subgiant Stars
Authors: Aldo Serenelli, Jennifer Johnson, Daniel Huber, Marc Pinsonneault,
	 Warrick H. Ball, Jamie Tayar, Victor Silva Aguirre, Sarbani Basu,
	 Nicholas Troup, Saskia Hekker, Thomas Kallinger, Dennis Stello,
	 Guy R. Davies, Mikkel N. Lund, Savita Mathur, Benoit Mosser,
	 Keivan G. Stassun, William J. Chaplin, Yvonne Elsworth,
	 Rafael A. Garcia, Rasmus Handberg, Jon Holtzman2, Fred Hearty,
	 D. A. Garcia-Hernandez, Patrick Gaulme, and Olga Zamora
Table: Stellar fundamental parameters based on the SDSS Teff scale
============================================================================
Byte-by-byte description
----------------------------------------------------------------------------
   Bytes  Format   Units    Label      Explanation
----------------------------------------------------------------------------
  1- 10    A10    ----      KIC        KIC identification number
 12- 19    F8.3     K       Teff       SDSS Teff
 21- 28    F8.3     K       eTeff      SDSS Teff error
 30- 37    F8.3     K       [M/H]      ASPCAP [M/H]
 39- 46    F8.3     K       e[M/H]     ASPCAP [M/H] error
 48- 54    F7.3   solRad    Radius     Stellar radius in solar units
 56- 62    F7.3   solRadR   +eRad      Upper statistical radius uncertainty
 64- 70    F7.3   solRadR   -eRad      Lower statistical radius uncertainty
 72- 78    F7.3   solRadR   syRad      Systematic radius uncertainty
 80- 86    F7.3   solMass    Mass      Stellar mass in solar units
 88- 94    F7.3   solMass   +eMas      Upper statistical mass uncertainty
 96-102    F7.3   solMass   -eMas      Lower statistical mass uncertainty
104-110    F7.3   solMass   syMas      Systematic mass uncertainty
112-118    F7.3    dex      logg       Seismic surface gravity
120-126    F7.3    dex      +elogg     Upper statistical logg uncertainty
128-134    F7.3    dex      -elogg     Lower statistical logg uncertainty
136-142    F7.3    dex      sylogg     Systematic logg uncertainty
144-153   E10.3    solDen     rho      Stellar mean density in solar units
155-164   E10.3    solDen   +erho      Upper statistical density uncertainty
166-175   E10.3    solDen   -erho      Lower statistical density uncertainty
177-186   E10.3    solDen   syrho      Systematic density uncertainty
188-194    F7.3    Gyr      Age        Stellar age in Gyr
196-202    F7.3    Gyr      +eAge      Upper statistical age uncertainty
204-210    F7.3    Gyr      -eAge      Lower statistical age uncertainty
212-218    F7.3    Gyr      syAge      Systematic age uncertainty
--------------------------------------------------------------------------------
Note: A -99.000 indicates a null value.
--------------------------------------------------------------------------------
KIC Teff eTeff M_H eM_H R eR ER seR M eM EM seM logg elogg Elogg selogg rho erho Erho serho Age eAge EAge seAge
   3427720 6023.000   51.000   -0.037    0.100   1.117   0.013  -0.015   0.008   1.100   0.039  -0.042   0.024   4.384   0.006  -0.007   0.004  7.906e-01  1.688e-03 -2.039e-03  5.817e-03   2.972   1.085  -0.813   0.778 
   3429205 5116.000   62.000   -0.046    0.100   3.427   0.058  -0.057   0.027   1.325   0.062  -0.060   0.028   3.490   0.007  -0.007   0.002  3.291e-02  2.924e-04 -2.909e-04  5.078e-04   3.550   0.687  -0.585   0.287 
   3430893 6270.000   60.000   -0.110    0.100   1.466   0.045  -0.044   0.018   1.200   0.053  -0.064   0.032   4.184   0.018  -0.018   0.002  3.808e-01  2.708e-02 -2.430e-02  3.023e-03   3.605   0.947  -0.549   0.712 
   3437637 5483.000   58.000   -0.255    0.102   2.010   0.069  -0.066   0.020   1.039   0.056  -0.055   0.025   3.847   0.016  -0.017   0.003  1.277e-01  8.164e-03 -8.124e-03  1.658e-03   7.827   1.143  -0.970   0.489 
   3438633 6432.000   73.000   -0.184    0.100   1.965   0.061  -0.048   0.030   1.280   0.069  -0.042   0.041   3.959   0.014  -0.014   0.002  1.686e-01  8.495e-03 -8.358e-03  2.802e-03   3.427   0.337  -0.450   0.316 
   3545753 6206.000   58.000   -0.338    0.105   2.296   0.053  -0.052   0.023   1.258   0.042  -0.048   0.039   3.814   0.014  -0.015   0.005  1.036e-01  5.350e-03 -5.166e-03  1.230e-03   3.636   0.353  -0.279   0.250 
   3630240 5256.000   71.000   -0.613    0.103   4.101   0.174  -0.168   0.055   1.309   0.136  -0.125   0.042   3.328   0.011  -0.011   0.003  1.895e-02  6.488e-04 -6.334e-04  4.494e-04   2.829   1.218  -0.851   0.358 
   3632418 6188.000   66.000    0.150    0.100 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -9.900e+01 -9.900e+01 -9.900e+01 -9.900e+01 -99.000 -99.000 -99.000 -99.000 
   3633847 6122.000   51.000    0.120    0.100   1.858   0.052  -0.041   0.026   1.285   0.134  -0.053   0.048   4.013   0.016  -0.013   0.009  2.025e-01  6.592e-03 -6.465e-03  2.577e-03   4.182   0.464  -1.293   0.742 
   3633889 6452.000   49.000   -0.120    0.100   1.322   0.030  -0.030   0.019   1.208   0.045  -0.048   0.036   4.276   0.012  -0.012   0.001  5.205e-01  2.192e-02 -2.397e-02  7.177e-03   2.285   0.549  -0.464   0.446 
   3642422 5325.000   98.000   -0.019    0.100   3.210   0.082  -0.104   0.038   1.566   0.086  -0.130   0.062   3.617   0.010  -0.012   0.007  4.718e-02  1.324e-03 -1.377e-03  4.835e-04   2.049   0.770  -0.273   0.270 
   3643774 6029.000  104.000    0.158    0.100   1.588   0.017  -0.020   0.016   1.275   0.041  -0.048   0.039   4.141   0.007  -0.007   0.005  3.183e-01  2.908e-03 -2.988e-03  3.681e-03   3.858   0.725  -0.543   0.633 
   3656476 5684.000   56.000    0.233    0.100   1.316   0.014  -0.014   0.012   1.075   0.033  -0.034   0.023   4.230   0.006  -0.006   0.004  4.711e-01  9.409e-04 -1.079e-03  5.756e-03   7.880   1.156  -1.038   1.082 
   3657002 6006.000   64.000    0.112    0.100   1.516   0.027  -0.033   0.018   1.219   0.050  -0.080   0.041   4.161   0.010  -0.011   0.008  3.487e-01  8.851e-03 -8.485e-03  4.104e-03   4.373   1.500  -0.655   0.981 
   3661135 5603.000   71.000   -0.020    0.100   1.879   0.045  -0.045   0.016   1.110   0.049  -0.051   0.022   3.935   0.011  -0.011   0.003  1.673e-01  6.836e-03 -6.613e-03  2.286e-03   7.440   0.904  -0.833   0.617 
   3730801 5894.000   58.000    0.164    0.100   1.595   0.038  -0.047   0.024   1.240   0.047  -0.102   0.049   4.123   0.012  -0.013   0.004  3.043e-01  1.259e-02 -1.196e-02  3.549e-03   4.649   1.870  -0.612   1.005 
   3733735 6711.000   66.000   -0.077    0.100   1.425   0.014  -0.014   0.024   1.441   0.035  -0.045   0.056   4.287   0.006  -0.007   0.008  4.983e-01  4.307e-03 -5.445e-03  1.016e-02   0.484   0.296  -0.278   0.374 
   3735871 6176.000   50.000   -0.032    0.099   1.113   0.014  -0.016   0.005   1.150   0.041  -0.046   0.012   4.405   0.006  -0.007   0.003  8.332e-01  6.656e-03 -6.729e-03  4.653e-03   1.159   0.896  -0.636   0.361 
   3761840 6236.000   61.000    0.011    0.100   2.814   0.070  -0.069   0.026   1.538   0.053  -0.058   0.039   3.725   0.015  -0.015   0.005  6.876e-02  3.713e-03 -3.609e-03  7.977e-04   2.218   0.158  -0.140   0.131 
   3854781 5705.000  102.000    0.256    0.100   1.792   0.029  -0.031   0.021   1.197   0.043  -0.047   0.037   4.009   0.009  -0.009   0.005  2.079e-01  5.497e-03 -5.390e-03  2.976e-03   6.294   1.008  -0.815   0.582 
   3942719 5736.000   65.000   -0.364    0.101   2.107   0.051  -0.050   0.024   1.099   0.054  -0.051   0.025   3.830   0.010  -0.010   0.003  1.172e-01  4.284e-03 -4.270e-03  1.652e-03   6.092   0.691  -0.650   0.366 
   3952307 6210.000  118.000   -0.118    0.100   2.076   0.042  -0.041   0.024   1.275   0.046  -0.054   0.042   3.908   0.013  -0.013   0.005  1.421e-01  5.858e-03 -5.740e-03  1.186e-03   3.865   0.567  -0.451   0.346 
   3952580 6115.000  101.000   -0.074    0.100   2.709   0.038  -0.039   0.027   1.458   0.051  -0.048   0.039   3.736   0.009  -0.008   0.005  7.331e-02  1.706e-03 -1.676e-03  9.867e-04   2.524   0.229  -0.180   0.155 
   3967859 6211.000   78.000   -0.375    0.100   1.284   0.031  -0.030   0.015   1.008   0.052  -0.051   0.031   4.224   0.015  -0.015   0.005  4.756e-01  1.308e-02 -2.939e-02  4.030e-03   6.259   1.313  -1.172   1.080 
   4038445 5327.000   69.000   -0.766    0.105   2.667   0.076  -0.075   0.035   1.067   0.071  -0.068   0.036   3.613   0.008  -0.008   0.003  5.619e-02  1.510e-03 -1.494e-03  6.810e-04   5.714   1.359  -1.062   0.596 
   4049576 6066.000   84.000   -0.264    0.101   1.944   0.089  -0.083   0.023   1.159   0.057  -0.059   0.036   3.923   0.028  -0.030   0.005  1.568e-01  1.702e-02 -1.657e-02  2.462e-03   5.139   0.824  -0.686   0.403 
   4064447 5755.000  118.000   -0.252    0.100   4.508   0.157  -0.145   0.093   1.848   0.062  -0.063   0.064   3.394   0.019  -0.020   0.006  2.005e-02  1.550e-03 -1.506e-03  7.992e-04   1.101   0.074  -0.069   0.171 
   4072740 5015.000   71.000    0.148    0.100   4.113   0.065  -0.064   0.057   1.326   0.061  -0.060   0.042   3.331   0.007  -0.007   0.002  1.905e-02  1.525e-04 -1.524e-04  5.276e-04   4.090   0.813  -0.691   0.287 
   4165030 5758.000   63.000   -0.482    0.102   1.634   0.039  -0.038   0.016   0.923   0.046  -0.044   0.022   3.975   0.011  -0.011   0.004  2.109e-01  7.983e-03 -7.985e-03  4.112e-03  10.320   1.250  -1.093   0.866 
   4243623 5094.000   63.000   -0.369    0.101   2.563   0.129  -0.114   0.031   0.980   0.107  -0.090   0.026   3.611   0.010  -0.010   0.002  5.814e-02  2.844e-03 -2.916e-03  5.875e-04   8.954   3.242  -2.612   0.571 
   4247542 6440.000   66.000   -0.440    0.100   1.581   0.047  -0.044   0.024   1.129   0.080  -0.055   0.045   4.095   0.019  -0.019   0.007  2.863e-01  1.952e-02 -1.640e-02  1.935e-03   4.325   0.749  -0.986   0.687 
   4346201 6147.000   51.000   -0.337    0.099   1.902   0.029  -0.028   0.016   1.142   0.049  -0.046   0.030   3.937   0.008  -0.008   0.007  1.661e-01  2.642e-03 -2.617e-03  2.355e-03   5.085   0.536  -0.510   0.466 
   4347652 5043.000   75.000    0.025    0.102   4.469   0.262  -0.270   0.210   1.546   0.176  -0.199   0.205   3.324   0.029  -0.031   0.011  1.722e-02  1.769e-03 -1.686e-03  2.992e-04   2.259   1.742  -0.877   0.768 
   4351319 5001.000   61.000    0.229    0.100   3.455   0.064  -0.063   0.035   1.383   0.071  -0.067   0.033   3.501   0.007  -0.007   0.002  3.350e-02  3.656e-04 -3.636e-04  1.537e-04   3.697   0.789  -0.659   0.213 
   4378838 5053.000   71.000    0.238    0.099   3.691   0.151  -0.147   0.094   1.627   0.141  -0.135   0.101   3.514   0.011  -0.012   0.003  3.227e-02  1.527e-03 -1.483e-03  6.591e-04   2.119   0.969  -0.618   0.300 
   4446300 5410.000   60.000   -0.101    0.101   1.999   0.038  -0.037   0.026   1.070   0.050  -0.052   0.021   3.864   0.008  -0.008   0.004  1.337e-01  2.459e-03 -2.426e-03  1.923e-03   7.884   0.984  -0.808   0.463 
   4450844 5968.000   59.000   -0.280    0.099   1.548   0.019  -0.019   0.017   1.056   0.037  -0.038   0.028   4.082   0.006  -0.006   0.004  2.847e-01  1.729e-03 -1.746e-03  4.240e-03   7.261   0.868  -0.801   0.462 
   4457351 5483.000   58.000   -0.367    0.102   1.616   0.049  -0.047   0.024   0.884   0.047  -0.047   0.031   3.966   0.014  -0.014   0.002  2.086e-01  1.095e-02 -1.089e-02  3.579e-03  13.110   1.455  -1.380   0.711 
   4465324 5850.000   59.000    0.037    0.100   1.388   0.035  -0.030   0.013   1.079   0.075  -0.053   0.026   4.187   0.011  -0.011   0.005  4.036e-01  1.256e-02 -1.233e-02  4.497e-03   7.256   1.377  -1.666   1.086 
   4465529 6345.000   49.000    0.025    0.100   1.657   0.024  -0.024   0.019   1.322   0.036  -0.041   0.041   4.120   0.009  -0.009   0.005  2.905e-01  8.075e-03 -8.048e-03  1.913e-03   2.875   0.266  -0.258   0.574 
   4543171 6129.000   59.000    0.137    0.100   1.663   0.036  -0.036   0.025   1.315   0.042  -0.044   0.054   4.114   0.013  -0.014   0.005  2.851e-01  1.306e-02 -1.318e-02  2.163e-03   3.398   0.416  -0.356   0.743 
   4571351 6000.000   59.000    0.143    0.101   1.585   0.065  -0.066   0.023   1.235   0.062  -0.091   0.041   4.125   0.026  -0.028   0.004  3.066e-01  3.088e-02 -2.683e-02  3.638e-03   4.380   1.611  -0.687   0.878 
   4571904 6069.000   78.000   -0.097    0.100   2.252   0.075  -0.071   0.037   1.293   0.050  -0.050   0.047   3.843   0.019  -0.019   0.002  1.129e-01  8.352e-03 -8.021e-03  2.032e-03   3.814   0.426  -0.372   0.319 
   4574610 6188.000   66.000    0.150    0.100 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -9.900e+01 -9.900e+01 -9.900e+01 -9.900e+01 -99.000 -99.000 -99.000 -99.000 
   4577484 5424.000   74.000    0.022    0.100   2.175   0.044  -0.047   0.016   1.193   0.049  -0.061   0.014   3.838   0.010  -0.010   0.006  1.156e-01  3.762e-03 -3.650e-03  2.128e-03   5.774   0.822  -0.580   0.303 
