,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank
9434,KIC8543569,4948,100,98.0,0.65,8.898,0.016,1.2510366439819336,0.05,1.9912260756924949,3.694429690957083,4.639270453590734
4921,KIC5953709,5110,80,90.33,1.31,7.28,0.049,1.2137794494628906,0.05,1.9558320102324216,3.7084209001347133,4.639135175888583
9296,KIC8460634,4857,80,35.59,0.94,4.258,0.06,1.3668766021728516,0.05,1.5513279880038457,3.686368103473036,4.638948208170972
543,KIC2716608,5084,80,67.73,0.86,5.78,0.08199999999999999,1.1749248504638672,0.05,1.8307810756063607,3.7062055418819706,4.638749585404248
547,KIC2719113,4616,80,32.6,0.94,3.9810000000000003,0.033,1.4518823623657229,0.05,1.513217600067939,3.6642658001476747,4.638641296166472
714,KIC3098716,5040,100,31.45,0.89,4.149,0.057,1.2260808944702148,0.05,1.4976206497812878,3.702430536445525,4.637811785387437
9688,KIC8675043,5067,153,60.8,0.57,6.5070000000000014,0.013000000000000001,1.1758880615234375,0.05,1.7839035792727351,3.7047509042906714,4.637744555086593
12128,KIC10028634,4939,100,94.5,1.0,8.283999999999999,0.011000000000000001,1.250657081604004,0.05,1.975431808509263,3.6936390261615486,4.637174905638734
3558,KIC5200695,4655,100,33.22,0.55,3.57,0.02,1.4412002563476562,0.05,1.5213996281153757,3.6679196853173615,4.636901982765803
2063,KIC4166422,4904,171,71.97,1.92,6.921,0.166,1.335519790649414,0.05,1.8571515026874932,3.6905504615103593,4.636680898648296
4215,KIC5534910,4997,80,113.5,1.63,8.146,0.027000000000000003,1.159563064575195,0.05,2.0549958615291413,3.698709349442587,4.636125688218054
3177,KIC5004282,4909,155,31.26,0.47,3.863,0.043,1.3577966690063477,0.05,1.4949889736831683,3.6909930320998696,4.63594286765895
16035,KIC12601052,4987,80,41.17,0.95,4.354,0.051,1.1667766571044922,0.05,1.6145808669974862,3.6978393682183635,4.634973012301845
427,KIC2557799,4908,153,37.4,0.53,4.479,0.024,1.3286666870117188,0.05,1.57287160220048,3.690904554054967,4.634224752286842
13537,KIC10815014,4669,80,31.11,0.4,3.943,0.043,1.3984241485595703,0.05,1.4929000111087034,3.6692238739308056,4.634030450914059
10580,KIC9273827,5153,100,107.53,1.15,8.651,0.017,1.100372314453125,0.05,2.0315296458034227,3.712060142461074,4.633869439511802
6982,KIC7190942,4886,100,27.91,0.98,3.7969999999999997,0.078,1.2336349487304688,0.05,1.4457598364886308,3.688953462637418,4.63360424833143
4459,KIC5689448,4910,147,30.92,0.58,3.9339999999999997,0.07200000000000001,1.3593912124633791,0.05,1.4902394852462872,3.6910814921229687,4.633344214364331
3111,KIC4937257,4594,100,34.41,0.63,4.125,0.045,1.472269058227539,0.05,1.53668467262093,3.6621909908590067,4.632706124961776
1681,KIC3941050,4833,143,30.41,0.54,3.825,0.059000000000000004,1.3598575592041016,0.05,1.4830164201441325,3.6842167951388807,4.6316832575651405
920,KIC3242122,4853,80,33.53,0.75,4.16,0.038,1.377145767211914,0.05,1.52543355342882,3.6860102913152857,4.631088132403863
3430,KIC5114056,4595,100,34.52,1.7,4.077,0.45899999999999996,1.475698471069336,0.05,1.5380707870431718,3.66228551572213,4.631078267997679
3057,KIC4921789,4993,80,27.2,0.81,3.76,0.06,1.2586803436279297,0.05,1.434568904034199,3.6983615660551097,4.6306044763717935
1316,KIC3644958,4970,99,111.36,0.77,9.29,0.013999999999999999,1.1817264556884766,0.05,2.046729222266487,3.696356388733332,4.629154160149801
13712,KIC10921183,4966,150,30.06,0.77,3.926,0.037000000000000005,1.3339691162109375,0.05,1.477988976250889,3.6960067152185454,4.628487209308804
9263,KIC8431479,4801,80,63.04,0.66,5.939,0.017,1.3802452087402344,0.05,1.799616204481499,3.6813317059691664,4.6281403044832325
3527,KIC5192758,4718,80,37.06,1.25,4.171,0.14800000000000002,1.4385976791381836,0.05,1.5689054149828787,3.6737579365495767,4.627234219720614
6500,KIC6888930,4758,142,33.37,1.58,3.437,0.079,1.4500532150268557,0.05,1.5233562066547928,3.677424437701248,4.627165806182725
15782,KIC12207049,5091,144,146.88,1.99,10.915,0.040999999999999995,1.156785011291504,0.05,2.1669626638571677,3.706803097037338,4.62651417927256
4869,KIC5899383,4977,80,48.69,1.07,4.573,0.115,1.2762680053710938,0.05,1.6874397745458942,3.6969676407440226,4.626450055637661
3155,KIC4995064,4764,140,34.43,0.57,3.755,0.012,1.4113044738769531,0.05,1.5369370227046737,3.6779717528107403,4.626122404412203
13389,KIC10728666,4966,147,139.94,0.98,12.145999999999999,0.027999999999999997,1.259831428527832,0.05,2.145941869576122,3.6960067152185454,4.6260341588623275
682,KIC2992350,4893,80,45.65,0.61,4.731,0.019,1.1708488464355469,0.05,1.6594407818703176,3.6895752157599375,4.62597647566114
13877,KIC11013471,4782,80,52.03,0.7,5.551,0.01,1.2315540313720703,0.05,1.7162538258960365,3.6796095717797566,4.625007571105543
9104,KIC8364179,4953,150,62.0,0.53,6.183,0.016,1.3097505569458008,0.05,1.7923916894982541,3.694868327982456,4.624858134036359
1351,KIC3656240,5048,80,100.0,2.08,8.113,0.034,1.2764062881469729,0.05,2.0,3.703119346236078,4.624754107329025
14585,KIC11403437,4977,100,34.19,0.6,4.155,0.02,1.2634830474853516,0.05,1.5338991007965943,3.6969676407440226,4.6244226013294085
9951,KIC8832376,4830,144,30.33,0.69,4.034,0.033,1.360393524169922,0.05,1.4818724103106635,3.6839471307515113,4.624374343786488
7332,KIC7420646,4964,145,39.53,0.46,4.15,0.013000000000000001,1.2921028137207031,0.05,1.596926814342971,3.695831772826692,4.624342757648068
1840,KIC4039306,4943,100,33.52,0.89,4.171,0.042,1.3119831085205078,0.05,1.525304009958239,3.6939906104607765,4.623590093528391
12571,KIC10264013,5190,149,96.29,0.6,9.065,0.02,1.135512351989746,0.05,1.9835811867057904,3.7151673578484576,4.623032790761677
2379,KIC4457632,4944,80,113.62,0.69,9.607000000000001,0.015,1.2288360595703125,0.05,2.05545478494124,3.69407846208076,4.622345538061932
8487,KIC8046212,4778,80,72.93,0.69,6.643,0.011000000000000001,1.3802490234375,0.05,1.862906213562998,3.6792461454138587,4.621834319877664
3948,KIC5426077,4728,135,62.33,0.64,6.316,0.012,1.401445388793945,0.05,1.794697126891999,3.674677467873199,4.621765349675472
6727,KIC7035280,5019,166,28.93,0.84,3.99,0.084,1.2576818466186523,0.05,1.4613484336479832,3.7006171956820566,4.621690710628188
7493,KIC7518077,5038,150,29.82,0.92,3.968,0.091,1.232025146484375,0.05,1.4745076391169758,3.7022581631620937,4.621096501616595
7280,KIC7368584,4988,80,50.27,1.51,5.271,0.026000000000000002,1.1645212173461914,0.05,1.701308885228075,3.697926444806505,4.6210857817120345
4384,KIC5623443,4611,100,33.72,0.69,4.0310000000000015,0.10099999999999999,1.4496402740478516,0.05,1.5278875659527047,3.663795122219408,4.620989893456462
5350,KIC6225660,4661,80,39.61,0.52,4.2330000000000005,0.009000000000000001,1.3349895477294922,0.05,1.5978048424042932,3.6684791029325856,4.619243601486593
10271,KIC9077501,4726,80,30.1,0.94,3.8789999999999996,0.079,1.2624645233154297,0.05,1.4785664955938431,3.6744937172963503,4.6188749411791195
7686,KIC7618547,4940,148,33.44,0.84,3.864,0.022000000000000002,1.3195228576660156,0.05,1.5242662687669788,3.6937269489236466,4.618591641954787
4442,KIC5682548,4684,100,31.21,0.43,3.694,0.017,1.414167404174805,0.05,1.4942937686653326,3.6706168864003255,4.617446578146942
13855,KIC10988513,4801,138,69.44,0.71,6.859,0.022000000000000002,1.379739761352539,0.05,1.8416097121684356,3.6813317059691664,4.6172850966715995
11547,KIC9772366,4826,100,75.95,0.7,6.825,0.016,1.293426513671875,0.05,1.8805277781988048,3.683587317572767,4.616268181773607
13520,KIC10809457,4955,100,37.4,0.73,4.388999999999999,0.038,1.294835090637207,0.05,1.57287160220048,3.6950436588212936,4.616138878530653
10625,KIC9287916,4591,80,32.03,0.9,3.8560000000000003,0.055,1.4716577529907229,0.05,1.5055569386638217,3.661907292766021,4.616126852712774
3431,KIC5114395,4670,100,32.05,1.56,3.897,0.14300000000000002,1.4189395904541016,0.05,1.5058280338548362,3.669316880566112,4.615806604728468
10557,KIC9266912,5000,175,163.64,0.91,13.174000000000001,0.015,1.1537199020385742,0.05,2.2138894708263357,3.6989700043360183,4.615720659819945
203,KIC2157964,4832,144,29.07,1.35,3.635,0.133,1.391740798950195,0.05,1.4634450317704275,3.684126925613076,4.614983712884023
3506,KIC5183236,4935,146,34.34,0.48,3.7939999999999996,0.012,1.3145217895507812,0.05,1.5358002908248978,3.693287157005656,4.612757132853288
7224,KIC7350897,5129,100,129.65,0.79,11.118,0.018000000000000002,1.1340808868408203,0.05,2.1127725211053705,3.7100326990657537,4.6121421548974135
14063,KIC11097853,4641,80,45.24,0.78,4.791,0.013000000000000001,1.3951005935668943,0.05,1.6555225962534177,3.6666115684190297,4.612093391923152
3717,KIC5287610,4721,100,60.73,0.52,6.162999999999999,0.013000000000000001,1.3542804718017578,0.05,1.7834032811225635,3.6740340004312553,4.611627513146307
6869,KIC7119652,4920,144,129.95,0.78,10.885,0.018000000000000002,1.234477996826172,0.05,2.1137762838370318,3.6919651027673597,4.611514946315936
1436,KIC3748941,4852,149,31.79,0.78,3.945,0.02,1.414306640625,0.05,1.5022905279147731,3.685920792194535,4.611473157395366
5379,KIC6266574,4909,148,41.0,0.52,4.618,0.02,1.3363409042358398,0.05,1.6127838567197357,3.6909930320998696,4.61129225576546
11534,KIC9766517,4935,100,47.53,0.54,4.9860000000000015,0.011000000000000001,1.3140201568603516,0.05,1.6769678142947586,3.693287157005656,4.610678631897449
3084,KIC4930906,4655,100,31.83,0.66,3.9210000000000003,0.024,1.3919382095336914,0.05,1.502836638621003,3.6679196853173615,4.6091478207901995
4132,KIC5512910,4977,100,38.24,0.71,4.337,0.03,1.2701482772827148,0.05,1.5825178836040623,3.6969676407440226,4.608956159665562
907,KIC3240365,4969,150,29.67,0.89,3.1260000000000003,0.02,1.3234224319458008,0.05,1.472317546316842,3.6962689967455327,4.6080573128453794
13894,KIC11018745,4635,100,34.92,1.08,4.0280000000000005,0.07,1.3850164413452148,0.05,1.543074235033532,3.666049738480516,4.607974487843534
551,KIC2719795,4652,80,53.54,0.52,5.4860000000000015,0.011000000000000001,1.371225357055664,0.05,1.7286783668509138,3.6676397060564114,4.606955533977988
11370,KIC9697214,5055,100,35.11,0.62,4.246,0.043,1.1697511672973633,0.05,1.5454308294653512,3.70372115992702,4.606931086874158
2981,KIC4858315,4746,80,68.9,0.6,6.351,0.016,1.3403310775756836,0.05,1.8382192219076257,3.67632773388132,4.606801120677294
14565,KIC11392017,5125,149,87.51,0.47,8.517999999999999,0.013999999999999999,1.1826248168945312,0.05,1.9420576838413952,3.709693869727792,4.6066175437280314
2304,KIC4371954,4891,141,45.04,0.45,5.046,0.023,1.3502702713012695,0.05,1.6535983818432898,3.6893976628212815,4.606546400164369
14663,KIC11453969,4835,151,28.77,0.55,3.803,0.062,1.3972053527832031,0.05,1.4589398618903258,3.684396478419021,4.6060901658504285
14171,KIC11151753,5039,148,59.37,0.59,5.631,0.044000000000000004,1.221919059753418,0.05,1.7735670489260589,3.7023443583557687,4.605923870596781
1432,KIC3748487,4841,150,29.62,0.45,3.832,0.051,1.3858184814453125,0.05,1.4715850541851898,3.6849350826408895,4.605546712724737
9818,KIC8750704,4933,150,30.06,0.43,3.279,0.013999999999999999,1.3585472106933594,0.05,1.477988976250889,3.693111115462141,4.605100230276443
9013,KIC8314514,4849,80,50.47,2.14,4.828,0.016,1.378337860107422,0.05,1.703033304733686,3.685652184115524,4.604401907917446
13008,KIC10489877,4846,80,28.83,0.98,3.9730000000000003,0.095,1.3524627685546875,0.05,1.459844642388208,3.6853834098014873,4.603976016242078
5579,KIC6367208,4865,149,29.4,0.57,3.8569999999999998,0.033,1.4056234359741209,0.05,1.4683473304121573,3.68708284460437,4.603179631207722
15457,KIC11969378,5001,100,38.41,0.63,4.365,0.036000000000000004,1.2376585006713867,0.05,1.584444307165176,3.6990568545476683,4.602931388717705
2414,KIC4471034,4787,80,29.23,1.72,3.833,0.133,1.362649917602539,0.05,1.4658288153574364,3.6800634274819486,4.602823514203219
2677,KIC4663801,5020,80,54.01,2.39,5.377999999999999,0.11599999999999999,1.2202444076538086,0.05,1.7324741772811936,3.7007037171450192,4.6022160997975
15182,KIC11759700,5076,157,96.37,1.08,8.209,0.015,1.2521400451660156,0.05,1.983941858983888,3.7055216134226674,4.6015761169781815
13515,KIC10808648,4882,153,27.14,0.28,3.4410000000000003,0.016,1.3574953079223633,0.05,1.4336098433237183,3.6885977750811696,4.601157747980891
10021,KIC8899312,4963,152,29.18,0.62,3.9530000000000003,0.047,1.3403768539428709,0.05,1.4650852875574327,3.695744275197324,4.600780442753909
14269,KIC11199105,4788,100,30.41,0.55,3.81,0.049,1.4079236984252932,0.05,1.4830164201441325,3.680154141734373,4.600611406605901
