KICID|kepmag|Length_Quarters|Length_days|numax|numax_err|dnu|dnu_err|amplitude|amplitude_err|fwhm|fwhm_err|maxbg|maxbg_err|
   3116848|   11.84| 15|  1138.9|   35.07|    0.68|   4.154|   0.023|  116.5|    4.6|   13.8|    1.2|   3876.9|    230.9|
   3117024|   12.76| 15|  1138.9|   36.01|    1.42|   4.077|   0.017|  114.7|    4.7|   15.5|    1.2|   3248.1|    221.9|
   3118785|   13.98|  9|   715.0|   28.37|    0.47|   4.055|   0.106|  136.8|    7.5|   11.9|    1.3|   7862.4|    809.8|
   3118806|   10.99| 18|  1318.2|   19.28|    0.52|   2.674|   0.077|  177.2|    9.7|    8.3|    0.5|  19038.5|   1040.5|
   3119354|   13.81| 17|  1308.7|   38.08|    0.57|   4.131|   0.016|   68.1|    3.9|   13.5|    1.6|   2147.6|    208.7|
   3119526|   12.03| 18|  1318.2|   38.72|    0.62|   4.349|   0.077|   90.1|    3.9|   15.3|    1.3|   2176.7|    148.8|
   3119555|   12.12| 18|  1318.2|   84.15|    0.81|   7.654|   0.011|   61.8|    2.3|   27.0|    1.2|    413.8|     32.7|
   3119825|   10.99|  6|   370.7|    9.87|    0.35|   1.375|   0.085|  300.2|   20.6|    5.3|    0.8|  29188.9|   7591.7|
   3120004|   11.61| 15|  1139.0|   32.28|    0.84|   4.156|   0.049|  113.0|    5.8|   13.2|    1.2|   3861.1|    309.9|
   3120486|   11.75| 18|  1318.2|  136.39|    1.48|  10.620|   0.015|   28.9|    1.4|   48.6|    6.4|     73.1|     15.3|
   3120550|   13.83| 15|  1211.9|   60.79|    0.61|   6.436|   0.015|   85.2|    4.0|   18.7|    1.0|    512.1|     96.1|
   3120567|   11.86| 18|  1318.2|   65.72|    1.47|   5.429|   0.040|   29.1|    1.8|   28.3|    2.4|    314.8|     42.5|
   3120585|   11.58| 18|  1318.2|  104.13|    1.43|   8.440|   0.015|   27.4|    1.5|   38.6|    3.7|    139.0|     24.5|
   3120676|   11.29| 18|  1318.2|   35.20|    0.85|   3.772|   0.053|   59.0|    2.7|   14.5|    1.4|   1915.8|    101.9|
