ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err
8652014,4539,158,33.91,1.69,4.309,0.337,1.7079544067382812,0.05
8652718,4703,136,40.48,0.55,4.3389999999999995,0.015,1.4492645263671875,0.05
8653471,4886,80,136.93,1.73,10.463,0.019,1.3780403137207031,0.05
8654220,4332,133,77.3,0.53,7.202000000000001,0.012,1.7003021240234375,0.05
8654400,4879,80,135.7,1.22,10.602,0.013999999999999999,1.2665786743164062,0.05
8655421,4766,143,39.03,1.38,4.087,0.057999999999999996,1.4493942260742188,0.05
8656100,5043,80,193.56,2.24,13.113,0.040999999999999995,1.3626432418823242,0.05
8656205,4599,160,63.12,0.61,6.086,0.013000000000000001,1.647435188293457,0.05
8668803,4721,165,31.68,0.92,3.965,0.08,1.2024211883544922,0.05
8669014,4901,100,28.62,0.94,3.8989999999999996,0.044000000000000004,1.186655044555664,0.05
8669094,4847,100,22.62,0.68,3.562,0.057999999999999996,1.2232112884521484,0.05
8669282,4880,100,39.86,1.1,4.361000000000001,0.033,1.2344608306884766,0.05
8669308,4767,100,44.43,0.51,4.984,0.023,1.2500534057617188,0.05
8669389,4894,100,31.91,0.48,3.951,0.044000000000000004,1.2110214233398438,0.05
8671812,5039,152,173.28,1.29,13.192,0.013999999999999999,1.2637529373168945,0.05
8671819,5114,100,29.89,0.71,4.003,0.06,1.1722230911254883,0.05
8671842,5119,150,165.82,0.79,14.059000000000001,0.028999999999999998,1.1567449569702148,0.05
8672174,5119,179,133.97,1.91,10.652000000000001,0.022000000000000002,1.0674333572387695,0.05
8672568,4541,158,14.96,0.3,2.1719999999999997,0.023,1.3927545547485352,0.05
8672662,5164,156,25.21,0.74,3.727,0.743,1.205275535583496,0.05
8672831,5057,150,50.74,0.68,5.41,0.012,1.2105512619018555,0.05
8673221,5051,100,36.47,0.94,4.091,0.028999999999999998,1.1862030029296875,0.05
8673261,5160,157,125.81,1.0,10.267000000000001,0.015,1.215073585510254,0.05
8674172,4833,80,125.52,0.7,10.998,0.012,1.1759138107299805,0.05
8674581,4673,80,29.84,0.42,3.873,0.046,1.2531509399414062,0.05
8674879,5037,151,228.6,1.5,17.375999999999998,0.022000000000000002,1.259800910949707,0.05
8675043,5067,153,60.8,0.57,6.507000000000001,0.013000000000000001,1.1758880615234375,0.05
8675106,4816,100,73.05,0.66,6.632000000000001,0.015,1.2528390884399414,0.05
8675259,5122,151,107.72,0.8,9.927,0.017,1.1833314895629883,0.05
8675789,4596,80,49.81,0.44,5.348,0.021,1.302617073059082,0.05
8675826,4872,80,36.9,0.58,4.305,0.03,1.1957693099975586,0.05
8675885,4859,80,227.86,1.01,16.999000000000002,0.038,1.189131736755371,0.05
8675891,5154,180,55.16,0.54,6.015,0.019,1.1705780029296875,0.05
8675975,4763,80,48.37,0.64,5.002,0.027999999999999997,1.253108024597168,0.05
8676094,4653,100,29.46,0.71,3.588,0.031,1.320709228515625,0.05
8676240,4660,80,33.17,0.58,4.173,0.063,1.3450756072998047,0.05
8676927,5082,100,43.18,0.77,4.618,0.027999999999999997,1.1666736602783203,0.05
8676988,5090,100,38.44,0.68,4.388,0.033,1.2728385925292969,0.05
8677342,4955,100,51.73,0.48,5.216,0.015,1.2391328811645508,0.05
8677534,5061,159,210.02,1.04,16.367,0.071,1.2550249099731445,0.05
