ID,numax,dnu,teff,bp_rp,eps_p,d02,alpha_p,env_height,env_width,mode_width,H1_nu,H1_exp,H_power,H2_nu,H2_exp,p_L,p_D,eps_g,alpha_g,d01,u1,u2,DPi1
KIC10000108,1.73330851709674,0.765528220563371,3.70079022137435,1.24528121948242,1.08707087344707,-0.094079743216978,-1.83379098640438,1.15812379256998,0.837357451229862,-1.00503231477888,1.75042070204734,4.64088732071199,5.01938270906721,1.20125598592934,4.29193884273019,,,,,,,,
KIC10000151,2.39804811804976,1.26364039889944,3.7036352375839,1.21129894256592,1.40976308955841,0.358209298422625,-2.75149162473129,0.835939637235146,1.35287188940712,-0.819795661433968,2.36421918297816,3.16843912830655,4.28767728670417,1.8096190764843,2.88366807090252,,,,,,,,
KIC10000162,2.14231399478652,1.07038176740368,3.6911699341316,1.29040431976318,1.27910222352547,0.177750962349325,-2.11242695376214,0.914818083714541,1.12903745655733,-0.929397599594473,2.11634291239339,2.81513404010402,4.52711059172455,1.54838152916535,3.55523140791315,,,,,,,,
KIC10000198,2.09649528883579,1.0381553475196,3.70509361054787,1.22020053863525,1.22709978027303,0.167187351728442,-2.04229636191304,1.18455960110589,1.12946680070471,-0.818953951978577,2.113479422947,4.5904777542057,4.5844317211804,1.54910651715476,4.35733948235615,,,,,,,,
KIC10000207,1.97742183078835,0.946299146038779,3.67394199863409,1.24953556060791,1.19508396770877,0.068175786625403,-1.95709568887367,1.23076471167018,1.07691790486721,-0.869511393799249,1.9875233236579,4.93166989569788,4.77095004172448,1.38565947704841,3.72030295643347,,,,,,,,
KIC10000228,2.21116198594088,1.13904129699874,3.70397882500839,1.20062828063965,1.2963253542013,0.259981378405884,-2.20170360493903,0.92425934736289,1.19000295352953,-0.87374654054039,2.1913204536067,3.15942380876502,4.45742977789432,1.63008948497563,3.45661206265593,,,,,,,,
KIC10000279,2.23216986216934,1.14544522638576,3.70174063243721,1.260666847229,1.32263440360186,0.260642746797184,-2.5554926443064,0.611768126083583,1.13417842584306,-0.902038927249715,2.230413016428,3.32528764675172,4.402371184255,1.6155209150388,4.24623124879338,,,,,,,,
KIC10000547,2.20531708425517,1.12299375376041,3.71683772329952,1.13961124420166,1.26693367311385,0.24756758281848,-2.05008529858354,1.35738417203149,1.27001476186614,-0.797388813658225,2.22885717723314,3.0711201200377,4.35874205394498,1.62977829117856,4.68450176148157,,,,,,,,82.5999999999995
KIC10000981,1.82048195329531,0.836552211731769,3.70440792738684,1.20705699920654,1.12908831320683,-0.017173792332807,-1.87405873016835,1.24989977857734,0.930262797827637,-0.967625360373184,1.80248191293949,4.25016342595151,4.91604482614761,1.23985750749462,4.15660175490724,,,,,,,,
KIC10001167,1.314381287437,0.439810253721744,3.65686449154892,1.2600736618042,0.863308775548805,-0.385656245232185,-1.58633970653514,0.676242355452806,0.580295186758425,-1.18371445140701,1.23973186216964,2.87703714234622,5.39549422607683,0.763694020116337,2.99438805454981,,,,,,,,
KIC10001326,1.68045700314756,0.704448103076597,3.66913084737333,1.30067920684814,1.0432040841422,-0.147358142042641,-2.05809162838419,1.13817635631628,0.766758297066841,-1.03395633706644,1.67575802672454,4.28776004676484,5.11870802655001,1.11744052301923,3.83628282678052,,,,,,,,
KIC10001440,1.64860090852481,0.700680044397329,3.6699673699085,1.21930694580078,0.747427863830761,-0.311168229711658,-1.79122903075394,1.05140741676683,0.764614601533231,-0.948079575135131,1.66860790997943,4.2867803825937,5.13379351111128,1.0771567295245,3.22733518314779,,,,,,,,
KIC10001728,2.13790108649959,1.09252961687126,3.73086299204649,1.07735347747803,1.23513671074098,0.232156544146923,-2.18133191689313,0.823246524755004,1.13421092499353,-0.845374851837621,2.12646792735909,2.78001080442195,4.32564944538707,1.5534320233078,3.79298089765455,,,,,,,,
KIC10001796,1.52151769893543,0.611829402498956,3.68815275559157,1.19726943969727,0.890552824743834,-0.1745740551493,-1.75303250639381,0.493331747702603,0.757152096622332,-0.94895844815605,1.52869609373222,3.99612867243671,5.21748971268309,1.00519535899626,4.28121047915907,,,,,,,,336.600000000003
KIC10001935,1.51268299610688,0.611020473496819,3.69028470251263,1.21754837036133,0.870957847905397,-0.197495731402498,-1.78121781722343,0.454215488526326,0.743545445585441,-0.994909025019964,1.51212832856614,3.82795442669848,5.30479008891251,1.0520520961612,4.61767947303934,,,,,,,,280.900000000001
KIC10001994,2.27739540391741,1.15202013643675,3.72811018410034,1.14845752716064,1.31895615274209,0.244333616572015,-2.44300077566536,0.99907402532804,1.28986250598112,-0.681005762184126,2.2761768834395,4.06681739769522,4.26028049864898,1.69194208544017,3.65332445497848,,,,,,,,
KIC10002385,1.48827024014756,0.600836552859877,3.70816585785554,1.26492023468018,0.861624339072305,-0.267904074545903,-1.59887576279657,0.281145872972226,0.7613958552112,-0.964163086027677,1.46282566075734,3.8701671665705,5.37922785088463,0.954900448143483,3.46517148243219,,,,,,,,
KIC10002493,1.55212203536185,0.607195972780571,3.71374247840908,1.21509265899658,0.828541329191043,-0.417315698266119,-1.9806492711493,0.624672483672116,0.714833993321911,-0.903707906810237,1.57159934926578,4.17061001260845,5.1855726998696,1.01338748326244,3.43875382444359,,,,,,,,290.700000000001
KIC10002556,1.46905118280329,0.590473887476487,3.67788058151159,1.25214195251465,0.811893334748039,-0.181923343569885,-1.62018952610099,0.378270336274033,0.741912826876111,-0.928146583919898,1.49868888896016,4.11103127157058,5.40043188136271,1.00153211180504,4.07668659648131,,,,,,,,
KIC10002647,1.57376903862896,0.628122734740992,3.70260284134043,1.18656158447266,0.96377563340804,-0.201316076709845,-1.88631624154781,0.624934755941878,0.780260924952998,-0.880759073511198,1.59613615120335,3.96209588305671,5.14636727999805,1.04092041012163,3.91201849131824,,,,,,,,
KIC10003039,2.32255391921865,1.22515333084793,3.71248133780192,1.16096305847168,1.33913879550845,0.352379357907831,-2.37658719304189,1.3504207929599,1.26116253519025,-0.86084716666806,2.31144360564456,3.60994194610682,4.28707976974487,1.74492893713789,3.69496896097036,,,,,,,,
KIC10003349,1.68566533664929,0.698331780078641,3.67228262478892,1.31016063690186,1.07246870541685,-0.164185865593523,-1.90192901470698,0.987817262101511,0.835606967377053,-1.03918703393841,1.71502517641002,4.51387091923154,5.14986740515509,1.10796021675525,3.15537082394821,,,,,,,,
KIC10003419,1.56474199699161,0.613569500495459,3.69037330691606,1.26951122283936,0.894680205357,-0.238487957743688,-1.79410678910044,0.595557677582186,0.808444487714474,-0.897218183342542,1.56168592297203,4.01002452402703,5.24564857386124,1.01962929440056,3.56989813962698,,,,,,,,242.199999999997
KIC10003464,1.48686435220312,0.617624561527092,3.72394797643164,1.15066051483154,0.803152914420912,-0.179859650450412,-1.5193851602221,0.404723369706615,0.708075392262813,-0.857096929271377,1.50102289114197,3.9729190749663,5.2418407093186,1.01555005712118,3.9990119794871,,,,,,,,
KIC10003497,1.45774215846727,0.527276784272114,3.67906431812131,1.32873153686523,0.935251449439886,-0.321184948203646,-1.69079907654503,0.860435759903517,0.684509866293455,-1.16291107714512,1.47204586664225,4.25394658855455,5.35940899773286,0.956311433826422,4.14483264439629,,,,,,,,
KIC10004825,1.76669408479183,0.733060439608182,3.6733895781883,1.3302755355835,1.0293919017182,-0.208436527399609,-2.03515921696063,1.10597073443594,0.885460332950872,-0.997887079489383,1.78996112583736,4.68299221600491,4.96271645444969,1.22272604972627,4.10757193010514,,,,,,,,
KIC10004991,1.54466352106961,0.619691074606003,3.70035752782266,1.31263256072998,0.931484531202675,-0.188749239612205,-1.67093734627173,0.597786746985193,0.800855886693585,-0.970536545959552,1.55024094307276,4.04053761999319,5.30248213541937,0.998031102631559,3.12296562347318,,,,,,,,319.800000000002
KIC10005422,1.43201500820107,0.592308001877076,3.70714418834244,1.19420051574707,0.798255179617097,-0.181240814138956,-0.946811004378512,0.523994480058743,0.610215367650921,-0.970636961883424,1.47013099465526,4.15143077709097,5.34950666945627,0.931092407048903,3.74134680020268,,,,,,,,
KIC10005428,2.33192511745874,1.24222085843405,3.73110505121592,1.10713386535645,1.3424486731634,0.367215853678557,-2.3341474898087,1.04253496463078,1.26396524105817,-0.859130659312596,2.31295242657352,3.89574008482314,4.22291009812879,1.75200482421854,4.1582902554089,,,,,,,,
KIC10005429,1.61586675732921,0.634731808915296,3.67641923171836,1.28387355804443,0.918783721233849,-0.231800784898773,-1.75103784568499,0.587800114869532,0.859879258934822,-0.932414326093459,1.58968924671073,4.14824036548298,5.04473237020757,1.05127654581628,3.70342299856361,,,,,,,,244.1
KIC10005502,1.62819965774199,0.646067821842143,3.70994801651076,1.23599433898926,0.96498661882726,-0.23947474004474,-2.30893629795174,1.08088413832536,0.712002134241378,-1.10429080279225,1.61606006214795,4.03347405126501,4.95743069724343,1.06873682283638,3.50664027244695,,,,,,,,
KIC10005966,1.49306344869774,0.580441259927169,3.68475562210862,1.35928153991699,0.866522182079902,-0.258039774802919,-1.81366628961734,0.486675264424569,0.759220609910978,-0.981254823749831,1.49639360236528,4.24505433363953,5.38360940757875,0.992210951172524,3.76710102833034,,,,,,,,
KIC10006097,2.14926845506789,1.07764376396734,3.68538340980149,1.23758029937744,1.26570243166527,0.186898778990814,-2.09918112971746,1.32446537635745,1.17930121295774,-0.805882876455792,2.17831524460899,4.71186529753722,4.56840724656101,1.58251678241241,4.0470205683091,,,,,,,,80.6
KIC10006158,1.50234088223251,0.598428935703847,3.67246731306808,1.27385520935059,0.866921282391387,-0.208270752072085,-2.06558319342937,0.506366045644418,0.722728543207137,-0.941392133650008,1.54378005426612,4.3011423433102,5.42170492519555,1.01351664847176,4.18140965858336,,,,,,,,266.399999999997
KIC10006244,1.66565931026921,0.700227484510769,3.68556261115823,1.39821720123291,1.04279082962799,-0.151677181009335,-1.79412196628541,1.0872459360002,0.807686836623238,-1.02157802311654,1.69277118503136,4.2217990915875,5.21139236405132,1.14247909905923,3.93887116488569,,,,,,,,
KIC10006548,1.4528410068291,0.554333285347717,3.67126543294716,1.32271671295166,0.879002153304923,-0.284275369304884,-1.6550395537696,0.436445920675436,0.702361332560788,-1.00922019802977,1.42364624259764,3.82240434132738,5.31357684123087,0.929094107682377,3.71221388588643,,,,,,,,
KIC10006797,1.58616443537492,0.639313741511047,3.70389295363254,1.27937889099121,0.881214689996675,-0.195561220466898,-1.97108112098288,0.632663395291873,0.782363346385532,-0.879202805422892,1.6110859996453,4.24510892271244,5.21236514473103,1.05307400033187,3.53960918604545,,,,,,,,299.299999999999
