ID,teff,teff_error,dnu,dnu_error,numax,numax_error,bp_rp,eps,eps_error,eps_mod
5113041,4587,100,3.979,0.014,37.32,0.49,1.4600697,0.897611892319403,0.014642758509105,0.897611892319403
5113441,4837,100,11.69,0.037,155.35,1.44,1.3322783,1.23312927026599,0.010365061889623,1.23312927026599
5167473,4948,100,4.1,0.047,31.6,0.48,1.290247,0.673977647829753,0.030193927065883,0.673977647829753
5168382,5113,100,16.928,0.035,215.74,0.99,1.1263247,1.31063444171997,0.006266059900884,1.31063444171997
5168713,4770,100,4.768,0.017,41.95,0.4,1.3563795,1.05570543267514,0.012391869221496,1.05570543267514
5172229,4903,100,4.401,0.012,40.49,0.4,1.3039207,0.785348120235303,0.021604258263791,0.785348120235303
5196152,4877,100,7.341,0.012,79.03,0.98,1.2609558,1.13068095531751,0.009208045419903,1.13068095531751
5200152,4849,100,4.642,0.086,46.5,0.51,1.3369751,0.987815726659781,0.014606337468519,0.987815726659781
5282875,5054,100,4.731,0.026,46.02,1.1,1.1958971,0.974502454169137,0.014084823655812,0.974502454169137
5283798,4850,100,5.378,0.022,55.51,0.71,1.314208,1.04230739894324,0.012197231907506,1.04230739894324
5283958,5042,100,5.301,0.022,54.7,0.91,1.2514133,1.02639724792273,0.01828438863965,1.02639724792273
5285357,4722,100,4.023,0.026,32.37,0.68,1.3592567,0.73256045232987,0.019733587703963,0.73256045232987
5287610,4721,100,6.163,0.013,60.73,0.52,1.3542805,1.091282639341,0.007889325405795,1.091282639341
5288607,4946,100,5.721,0.038,58.49,1.31,1.2547588,1.01909128262355,0.012216728435063,1.01909128262355
5288716,4940,100,4.231,0.057,36.02,0.62,1.293066,0.74644908025884,0.018943204019706,0.74644908025884
5339823,5085,100,4.301,0.025,41.44,1.48,1.2564831,0.735478514386866,0.025360205599874,0.735478514386866
5374118,4905,100,5.636,0.028,61.09,1.37,1.290535,1.00481113524112,0.021757234379284,1.00481113524112
5426041,4532,100,5.049,0.012,50.67,0.39,1.3893061,1.05045192097348,0.010808366339101,1.05045192097348
5512777,4757,100,3.551,0.212,30.7,0.81,1.3021088,0.602955367510762,0.038305096277627,0.602955367510762
5514079,4635,100,7.808,0.017,86.86,0.53,1.368474,1.20812572447268,0.006552887972741,1.20812572447268
5514974,4762,100,4.076,0.025,32.39,0.82,1.3652306,0.679396881744095,0.026551767493542,0.679396881744095
5517442,5008,100,4.066,0.046,36.72,0.88,1.2290115,0.982431975481298,0.016062809300089,0.982431975481298
5597965,4853,100,5.545,0.015,55.73,0.7,1.309166,1.08625036153039,0.009938971291694,1.08625036153039
5598789,5130,100,5.456,0.045,56.48,0.85,1.2592106,1.01368293566539,0.011531604470436,1.01368293566539
5599763,4616,100,3.824,0.025,30.9,0.48,1.4262028,0.729573781357937,0.018400456142379,0.729573781357937
5602545,4920,100,4.274,0.049,36.43,0.39,1.2653427,0.736968506376172,0.02767056004073,0.736968506376172
5685000,4912,100,3.9,0.044,30.57,0.79,1.284317,0.904256536309072,0.017846929114416,0.904256536309072
5689343,5242,100,8.076,0.038,97.66,1.1,1.1814108,1.11147914451368,0.01177708284691,1.11147914451368
5689606,4734,100,4.561,0.014,45.3,0.59,1.340066,0.511869978632907,0.010998553780958,0.511869978632907
5770923,5038,100,7.007,0.066,82.56,1.12,1.2283459,1.10989979757099,0.012686874229723,1.10989979757099
5772710,4638,100,3.948,0.043,33.3,0.95,1.4107485,0.636282216127796,0.025739425560379,0.636282216127796
5774568,4862,100,9.543,0.017,111.04,0.64,1.3137789,1.05689195747599,0.005187069637711,1.05689195747599
5857618,4779,100,6.334,0.017,71.82,0.61,1.3628159,1.063677218553,0.012562037918532,1.063677218553
5858034,4862,100,4.418,0.058,38.73,0.95,1.2506628,1.03097402706691,0.012503300188852,1.03097402706691
5858947,5247,100,14.533,0.019,168.93,0.89,1.1105738,1.2061728857543,0.005785174175331,1.2061728857543
5859492,4748,100,4.039,0.037,35.8,0.55,1.3764467,0.734701178474441,0.015135091722619,0.734701178474441
5860093,4883,100,5.551,0.011,50.53,0.37,1.2757359,1.08543462524296,0.009904148153867,1.08543462524296
5940060,4755,100,5.674,0.029,52.78,0.86,1.2526836,1.10196765424505,0.008132094554232,1.10196765424505
