,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank
10762,9353484,4952,157,34.72,0.61,4.225,0.069,1.401103973388672,0.05,1.5405797165044544,3.6947806360120614,-0.39459954596264557
1092,3445799,4989,155,46.02,1.3,4.6930000000000005,0.042,1.3561601638793943,0.05,1.6629466143326246,3.6980135039391815,-0.39690108054246087
14443,11297951,5046,159,35.54,0.94,4.143,0.081,1.3128299713134766,0.05,1.5507174234692827,3.702947246181556,-0.39704174304577694
6101,6689517,4938,100,212.54,1.09,16.480999999999998,0.052000000000000005,1.2818460464477541,0.05,2.3274406762427553,3.6935510855959133,-0.3975128259961432
3194,5007812,5035,164,34.92,0.65,3.938,0.033,1.3465461730957031,0.05,1.543074235033532,3.7019994748896368,-0.39819896417267364
5397,6272964,4591,80,27.83,0.51,3.615,0.015,1.4096479415893557,0.05,1.444513206334043,3.6619072927660206,-0.3982365573709944
1729,3955033,4849,146,106.18,0.8,9.182,0.015,1.4212760925292969,0.05,2.026042721005138,3.6856521841155243,-0.3984723084079203
1512,3833180,4613,80,26.43,0.53,3.398,0.063,1.4297094345092771,0.05,1.4220971631317103,3.6639834546082666,-0.3992209636907613
4816,5873482,5173,168,30.65,0.73,3.868,0.04,1.2555780410766602,0.05,1.4864304788544338,3.7137424784090824,-0.4025227828512939
12420,10189920,4626,80,24.96,0.52,3.42,0.119,1.3279275894165041,0.05,1.3972445810103864,3.6652056284346006,-0.40320425937619064
13538,10815065,4883,148,20.59,0.56,2.442,0.024,1.3815326690673828,0.05,1.3136563466180313,3.6886867242841235,-0.40334455085929266
11173,9593478,5206,160,194.7,1.2,14.677,0.035,1.2114238739013672,0.05,2.2893659515200318,3.716504163773217,-0.4039268148291975
11305,9655200,4551,80,40.86,0.27,4.628,0.015,1.4422883987426758,0.05,1.6112983622964288,3.658106835506393,-0.40402085990531533
11948,9956184,5205,156,255.2,2.52,18.324,0.024,1.1999826431274414,0.05,2.4068806700491248,3.716420733846555,-0.4041138733030492
602,2853354,4992,162,125.18,0.78,10.3,0.016,1.3712091445922852,0.05,2.0975349472172775,3.6982745766743674,-0.40573247651089206
11411,9706956,5301,161,165.96,1.45,13.707,0.02,1.1663265228271484,0.05,2.2200034261569352,3.7243578042264267,-0.40814964651965574
7284,7369303,4924,153,49.5,0.58,5.125,0.011,1.4004192352294922,0.05,1.6946051989335686,3.6923180442592787,-0.4141051711286572
7703,7621967,4663,163,42.54,1.54,4.515,0.5720000000000001,1.5455789566040041,0.05,1.6287974855667102,3.668665415454492,-0.4188524379380552
13098,10550140,5060,154,52.76,0.49,5.306,0.012,1.300724983215332,0.05,1.7223047868743278,3.7041505168397992,-0.4219566916978436
1770,3965214,4937,161,40.7,0.7,4.519,0.047,1.384918212890625,0.05,1.6095944092252201,3.6934631272195313,-0.4250955536355332
12730,10347360,5082,163,35.76,0.7,4.1110000000000015,0.042,1.311758041381836,0.05,1.55339751012388,3.7060346607143506,-0.42553673338924425
