Unnamed: 0,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank,error_flag
12800,KIC10383668,4932,80,52.96,1.13,4.869,0.035,1.17946910858154,0.05,1.7239479764316399,3.69302306792369,4.97992851373934,-1
10307,KIC9091772,5021,80,114.39,1.46,8.777999999999999,0.040999999999999995,1.14645576477051,0.05,2.0583880599933297,3.70079022137435,4.67800234218522,0
3146,KIC4989477,4979,149,143.75,0.76,11.45,0.022000000000000002,1.2580690383911102,0.05,2.15760785336167,3.6971421262754602,4.75571683370858,-1
14459,KIC11302988,4922,146,33.83,0.46,4.013,0.042,1.32414722442627,0.05,1.5293019977879798,3.69214160936678,4.82019673781877,0
5642,KIC6424969,4870,143,56.86,0.64,5.894,0.018000000000000002,1.35525798797607,0.05,1.75480685535442,3.68752896121463,4.63935310491175,-1
2656,KIC4659821,5007,80,103.47,1.03,8.305,0.031,1.1888742446899399,0.05,2.01481444908705,3.6995775913989104,5.47011638245528,-1
11499,KIC9757679,4854,80,31.68,0.71,3.943,0.034,1.1839628219604499,0.05,1.50078517291746,3.68609977199592,5.126163418436151,-1
4759,KIC5812955,4773,80,69.75,0.56,7.162999999999999,0.017,1.30726718902588,0.05,1.8435442119456398,3.6787914343662407,4.9457800655610304,-1
6961,KIC7187059,4724,100,54.35,0.52,5.603,0.011000000000000001,1.31582069396973,0.05,1.73519954842231,3.67430988894148,5.54848279132264,-1
3037,KIC4919067,4833,143,34.51,1.03,4.082,0.035,1.3775129318237298,0.05,1.53794495929149,3.6842167951388802,5.0829327575052,-1
4986,KIC5981666,5049,80,92.61,1.39,7.599,0.03,1.14382362365723,0.05,1.96665788420176,3.7032053706954904,5.1138173315240305,-1
15648,KIC12109480,4964,146,68.89,0.55,7.022,0.017,1.26328277587891,0.05,1.83815618475215,3.6958317728266903,5.07701496827548,-1
1376,KIC3662494,5008,151,134.14,1.31,11.02,0.018000000000000002,1.25313568115234,0.05,2.12755830200463,3.6996643202023702,4.9161317552205706,0
13055,KIC10529006,4702,80,48.88,0.79,5.021,0.012,1.3161525726318402,0.05,1.6891311972345,3.6722826247889198,5.23539330590474,0
10809,KIC9393028,4760,80,29.4,0.97,3.872,0.032,1.2742118835449199,0.05,1.46834733041216,3.67760695272049,5.18247661865588,0
12470,KIC10207623,4804,142,40.62,0.78,4.16,0.45899999999999996,1.3957290649414098,0.05,1.60873991906879,3.68160299873087,4.924089817382571,0
13534,KIC10813811,4666,80,38.74,0.46,3.926,0.018000000000000002,1.39815425872803,0.05,1.58815961638309,3.66894473445773,5.2998835680314,0
16069,KIC12735291,4714,80,29.95,0.52,3.989,0.033,1.3130502700805702,0.05,1.47639682672533,3.6733895781882997,5.512728068388929,0
