ell,nu_med,nu_mad
2,140.8146400079961,0.1621087697336487
0,143.03382997627446,0.15664318097265942
2,157.35898411818556,0.10399451604644407
0,159.57650764869152,0.09748568919517793
2,174.00488712045615,0.06283666664781956
0,176.2232411103738,0.05702697914401576
2,190.7522457033193,0.043714525838952176
0,192.97528786298685,0.03181746894680548
2,207.61296470355296,0.035002938473038266
0,209.83236196186624,0.02330976385665151
2,224.57757430307424,0.03497813864039059
0,226.79761032737017,0.024152225593670522
2,241.64713218738433,0.04005415674995488
0,243.86552141373818,0.03279460421015215
2,258.8187213709249,0.06152985063343823
0,261.04213970099886,0.05647297603839916
