name,mean,std,skew,2nd,16th,50th,84th,97th,MAD
dnu,1.2302128075269265,0.00038089249592115595,0.1617699393688181,1.2294530440735316,1.2298488171396937,1.2301911318673535,1.2305951514180844,1.230954886305384,0.00036244221567542206
numax,2.347532303403015,0.002964430385169496,0.0027706460976376903,2.3419069815946445,2.3445505029966083,2.3475204730910177,2.3505951193109857,2.353538983074133,0.002888981456800653
eps,1.348030809595056,0.011448424287496857,-0.1594472367630229,1.3248076704556007,1.3364898212838576,1.3487301982084094,1.3587742110567458,1.3707912532945192,0.011019758158080218
d02,0.3460656554527498,0.007192654161294004,-0.24984906408859214,0.33196787466462324,0.33917169492433313,0.3461667808450505,0.3530629784775221,0.36030398920719503,0.007456363066618614
alpha,-2.2157620440650265,0.06799652804762679,-0.881407669925027,-2.3793525959770623,-2.2778110169888044,-2.2093861869538856,-2.147164676552414,-2.1106908206095207,0.06233802368658683
env_height,1.3414027700957787,0.05432817349630655,-0.7736131299598423,1.2188538925452341,1.2813843187775045,1.352531370167386,1.397498845015414,1.411025652382253,0.05670639320480534
env_width,1.3573774313282922,0.022836822760069316,-0.21552444098596094,1.3093663418424124,1.333896338329159,1.3574239427346213,1.3817634170925404,1.3994278147353931,0.021383325170826462
mode_width,-0.6802403145441855,0.03902715531428528,-0.3207668895035102,-0.7663817099309234,-0.7193038724859192,-0.6805409585146281,-0.63772208611682,-0.6151384088367017,0.04114584027414664
teff,3.696533913409413,0.0027739447370137165,0.4717583405146712,3.692043601667633,3.6935652104647176,3.6963961499143,3.699381097098202,3.702915635136304,0.002890624785125936
bp_rp,1.1929075436205545,0.043983631987230945,0.24910862438348105,1.1101813573313908,1.1478877209792897,1.1907681389733238,1.2379983998725599,1.2845364302483087,0.04352013766430559
