ell,nu_mad,nu_med
2,0.09178219476794587,157.34293332397561
0,0.09366616320555338,159.6057459914074
2,0.05408754793860697,173.97655230550828
0,0.0559899335050325,176.23979508196476
2,0.040658703181004445,190.72162534939056
0,0.03921257383512369,192.9875349975328
2,0.039335725240179864,207.58146432174044
0,0.03578666889289093,209.8505107842812
2,0.04194512464722802,224.5575637259724
0,0.03312752472027612,226.82746279096364
2,0.053873690320735676,241.64784765868563
0,0.039497022087778826,243.91734186017027
2,0.08481476356845609,258.8544219202871
0,0.0714708826553561,261.122953771408
