,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
l0__0,175.97990921774456,0.20613595630488002,0.01126767783607044,175.5441017854887,176.33527137971177,175.123714109113,0.9990625142278452
l0__1,192.39469239461155,0.03584184834229017,0.0017805886454054364,192.33433716322153,192.47122508849043,303.32778232920106,1.0047854538294843
l0__2,209.28732842182686,0.019912568401234024,0.0007224351374603623,209.24884641425163,209.3232676361226,718.3462906005617,0.9996741266785201
l0__3,226.20302174288938,0.01106200148768556,0.00039665336073710947,226.18193285524606,226.22409453813611,827.6847695963296,0.999453345474581
l0__4,242.95692450333928,0.023980239665456704,0.0008364494513583194,242.91004980044184,243.00361474948556,825.750225106573,0.9995733937797755
l0__5,259.7405052657557,0.16442864372665125,0.01300911749464834,259.58938826178445,260.17837956511,81.35063285750714,1.0046851237165735
l2__0,173.9624710495878,0.528426812036675,0.03647584469992198,172.75479747779465,174.47855868322537,123.14176527130383,0.9993109280258552
l2__1,190.27784300383067,0.024407421602930645,0.0007934652698518162,190.23512923589627,190.33512403094753,919.366049320292,0.9990189237256023
l2__2,207.07518019861882,0.06322798539953492,0.002220423526185978,206.94820844700226,207.20104069053835,733.9181411199006,0.999071790419446
l2__3,224.04978787362526,0.019427065820763208,0.0008799605957979971,224.00998892347894,224.08442922001302,406.81233660279565,0.9990858175385677
l2__4,241.06219221195508,0.01414232743713208,0.0005381073552676085,241.03634457742456,241.09053171937117,657.2966522157142,0.9990156488880158
l2__5,258.289350397407,0.021202691578118354,0.0007171208540752085,258.2497739940502,258.33024606335226,736.5516343310744,1.0000527500969836
width0__0,0.27093101101216477,0.21720787132986705,0.00844835360814369,0.004370017631211734,0.68191411024737,641.6629594756722,0.9990001157582955
width0__1,0.2557178482414686,0.10145637316712175,0.005299030642740629,0.09164807987680322,0.45460163581421986,278.2047934397649,1.0064180518590367
width0__2,0.05714767561223909,0.022234037216883957,0.000868109367183769,0.020446368120179644,0.09732556605326008,552.5586620692096,1.0018374137614892
width0__3,0.10702693525672144,0.021449194776271833,0.0009439653802786653,0.06820680850431261,0.15298050595925908,495.48838723580604,1.0010913575471705
width0__4,0.202709960539974,0.04015855020887026,0.001450285229685459,0.12691555781458289,0.2798629309486837,703.1968636989421,0.9996892920414114
width0__5,0.13727212892768414,0.09942763373023307,0.004420641376587228,0.014869762194372688,0.33459384219403926,375.1187919296979,1.002372100584418
width2__0,0.24599469987962713,0.2571403151427904,0.010299736950557132,0.006324470428292131,0.6583922447332622,635.9915519507906,0.9990078244696939
width2__1,0.15250587166215557,0.06425817332035051,0.0028852432043384403,0.05026120195064378,0.28012485933170983,402.7278842491952,1.0043605083486358
width2__2,0.29140428904777965,0.08059532594062306,0.0032309405511101756,0.1600269507018381,0.4657186390335695,633.5188277434474,0.9998300762021174
width2__3,0.11894680606083335,0.03559705886855335,0.001687629719622942,0.06278076244052452,0.18899437156878254,393.27047344567546,1.0006169739239972
width2__4,0.08562252701762874,0.02771031907399263,0.0012474144358551745,0.04151426220120742,0.13795615576545475,497.3606751088444,0.999070055210236
width2__5,0.05346702458678855,0.025944498248074075,0.0007321460359867231,0.01736925674634213,0.10778020219948271,993.3378343534297,0.9998532590125553
height0__0,0.47252499184714297,0.18549952598993683,0.005971681403193141,0.15871060515265037,0.8427502624827878,992.8319567075561,1.0000080343967723
height0__1,3.962649468525534,1.081929531838934,0.04098671073707744,1.942944029845688,6.029406973827744,662.1877806359664,0.9993514801824689
height0__2,6.323199570104347,2.398376489909739,0.08465749696904312,2.6499835688247635,11.186583949410208,695.9286687192384,0.999624323299422
height0__3,24.42759121726424,6.487855116502336,0.27186507736784665,12.895541201509438,36.81503645516797,509.95845744595016,0.99915119587571
height0__4,9.316302605762548,2.391896990839357,0.08327371045814151,5.360724626196066,14.317099585987606,692.8635682000258,0.9991162018407639
height0__5,2.7873691090399335,1.024713238984972,0.040426480710878794,0.9786520980704713,4.7533428282539285,498.0803699762604,1.0013260062761429
height2__0,0.3295349930404314,0.15303446061800374,0.006035096911799187,0.1016797309342361,0.6398818226484164,455.3391187950599,0.9993749111284844
height2__1,2.6133273189743336,0.7827432420898685,0.026831321327690876,1.3098050813412954,4.163810671986126,894.1701286339605,0.9995208293232284
height2__2,3.184610766597403,0.9553475239975447,0.03401115270724322,1.6986365625065003,5.208643079278169,731.3228888825981,0.9997559673761394
height2__3,9.244199456770971,2.8796644304395578,0.11251176247040025,4.328927474882343,14.662822973874324,620.2010928805614,0.998999512428554
height2__4,8.743317044642442,2.680629225473859,0.08969459931692372,4.071260342705315,13.939877694877099,830.994308911057,1.002049537651237
height2__5,2.5080616972175154,1.0200244195909847,0.031144368763180948,0.9979726253155221,4.439939628904241,988.5558279073311,0.9990247491344412
back__0,0.9339687585242944,0.07577044637646037,0.0034586744089837576,0.7835192446529706,1.0790923213210808,380.6843883855324,0.9990434804063999
back__1,0.8008141836940453,0.10396827792786868,0.00497346820355723,0.6028624537587206,1.0026157537586966,338.37176749838767,1.000315924307869
back__2,0.7543125935631412,0.06920130853705635,0.002607445450529205,0.6128715345693846,0.8864987225996748,727.48518405623,1.0004177536515952
back__3,0.7788682494099178,0.08054472056519316,0.0032892043266952707,0.6214703570347682,0.9367123976196454,619.5155903392064,0.9992381544334662
back__4,0.9015206970359972,0.0856820346328712,0.002838150124695894,0.7326394354814341,1.057154085289062,900.9477122205539,0.9990140028677023
back__5,1.0026335317179298,0.07673770670254518,0.002806010562954677,0.8427954563340692,1.1430080010878734,563.6632212654107,1.0029877634102045
