,16th,2nd,50th,84th,97th,MAD,mean,mle,skew,std
dnu,1.228471459960843,1.2282555295657815,1.228674762488759,1.228873791736284,1.229062621584959,0.00020549062822904185,1.2286717494880361,1.2288365366024707,-0.1312429172151614,0.00020279490459938407
numax,2.3564091326618097,2.3548875786478014,2.358667641439537,2.3612008911138878,2.364017200542696,0.002418497617744113,2.358832463106995,2.3573738643190056,0.4493130202345721,0.002340871676041798
eps,1.3527151861848328,1.346993207251079,1.3588781797138085,1.3651416128475433,1.3716378172136956,0.006303996129290244,1.358976392260247,1.354040294705068,0.11515418313426137,0.006229469790000831
d02,0.31811148379038745,0.31513315887351984,0.3211175333163745,0.32399316646442705,0.32657597224038115,0.002895004083232631,0.32104087607519755,0.3218821953727398,-0.14388734918366297,0.0029035807995256247
alpha,-2.799364923253645,-2.936130154963874,-2.699784629604059,-2.62815535619324,-2.569199268231118,0.08393760362087631,-2.7133765884873955,-2.658897360026847,-0.772257929589413,0.09051375876324166
env_height,1.0468240605132164,0.9913471174259423,1.1017338127362422,1.1577994428368428,1.212675676251306,0.055326721619508364,1.1022407237321743,1.0745209246545862,-0.03412153314780396,0.05549236559940408
env_width,1.2757712056340458,1.2559932673721845,1.2957315621094199,1.317234011242763,1.3390449515137002,0.020197481695722014,1.2965459241792825,1.2971172256590016,0.15990336838105157,0.020692505669202832
mode_width,-0.9484923149089705,-0.987968192750099,-0.9074613334763291,-0.8702588508456874,-0.8333983295413063,0.039044740190053294,-0.908678683466105,-0.8937017975745079,-0.09468551828009399,0.03903782049825961
teff,3.685227311779702,3.6815135019747607,3.6922856805068704,3.6970724643811463,3.702274623889602,0.0060961162704515175,3.691583353380868,3.6853924260925135,-0.05525946958973078,0.005545266122088624
bp_rp,1.1973805299738862,1.1096187128858612,1.3306843469879301,1.4335930434269983,1.5175177768394559,0.12110448632573073,1.32137985396775,1.4402044039737374,-0.17989849159696958,0.10898684307719374
