ell,nu_mad,nu_med
2,0.024780732181553952,173.45309547963936
0,0.021650695629785,175.54758295307056
2,0.01662152603641599,190.29537751160098
0,0.011545144774577005,192.39043776351843
2,0.013884293317310059,207.17139270081094
0,0.008965891690832879,209.26637147107456
2,0.01148371644998588,224.08113004217086
0,0.00896926117583958,226.17587042061552
2,0.011689335941332353,241.02395306204232
0,0.012531435788236987,243.11881638882429
2,0.02145864916721998,258.00062223764945
0,0.024754173229510092,260.09580760264487
