name,mean,std,skew,2nd,16th,50th,84th,97th,MAD
dnu,1.2307380933649257,0.0001664275258287213,-0.005607788754956683,1.230403492317898,1.2305757116945204,1.2307378445892492,1.2309025915585052,1.2310645748385074,0.00016461090231808102
numax,2.3465825479228735,0.001345663777500134,-0.03012877022784413,2.3438301185350054,2.3452379855417393,2.346608373053519,2.347880979078402,2.3492730573056786,0.0012994782356299578
eps,1.3345724297010186,0.005030032456406504,-0.023519052440410936,1.3245506552260315,1.3296315185106726,1.3345743885175345,1.3395185733291624,1.344696393596338,0.0049288598470837485
d02,0.34743480492194045,0.002373508147287735,-0.004171829431310587,0.34271763056449656,0.3450900914028815,0.34741719259163073,0.34978653665577697,0.3522151793991506,0.002384315287027055
alpha,-2.1747390266724533,0.02275036001338095,-0.1404010564880033,-2.2217156884482945,-2.198089056506932,-2.1737206157492457,-2.1526078197944636,-2.1307968496300473,0.02300805320158185
env_height,1.4529080448783118,0.03948803437064292,-0.10262709015947692,1.3695141406134534,1.4151794568809604,1.4536505606635788,1.4917856020889746,1.530600550405047,0.03816951316311632
env_width,1.3167738385434458,0.011320930394260346,-0.0034029181089017223,1.29437067371595,1.305411840817552,1.3169891391349302,1.32797425140881,1.3395632721187112,0.011235332330242187
mode_width,-0.6763153474598341,0.024559454839198226,0.42099059528419114,-0.7232817368226364,-0.6999307428638426,-0.6772334346555628,-0.6532993619229789,-0.6219202157534511,0.022894248797634364
teff,3.6939278287796045,0.004969207997300259,0.4658364518603483,3.686101771761054,3.689075594004384,3.6927643557720375,3.7000139365431157,3.703992256274586,0.005028897765126434
bp_rp,1.222214187625679,0.0515343879472363,-0.06051469282591877,1.1178462673526977,1.1709351733650926,1.2225099362431229,1.2735440672231177,1.3213823344495377,0.052551089784633326
