ell,nu_med,nu_mad
2,140.8286475029923,0.05687189975174105
0,143.0547358726754,0.05418163070042647
2,157.35786611001163,0.03502353793616402
0,159.58399244438664,0.03146587957504093
2,174.00160614707892,0.019781700333050628
0,176.2277355267922,0.016309199015846876
2,190.75952663607637,0.012798562183397979
0,192.98584982575832,0.009236141734362434
2,207.6310990853886,0.011268069174468981
0,209.8575053133819,0.009060411097395388
2,224.6171912648909,0.010354806981715196
0,226.84338996544264,0.009030695351695981
2,241.71751568707504,0.012135859044521913
0,243.9435742517523,0.010418630195395863
2,258.931645974209,0.022185422167677205
0,261.15811768866513,0.020666621227252147
