,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
l0__0,24.8831655796479,0.13144496601548644,0.006075597721959291,24.53984976465976,25.08579210110317,350.45519211341326,1.0042424082828558
l0__1,28.880173894526347,0.03261196305208025,0.0012660212646711582,28.805909724500783,28.940959937077672,521.8670324191656,1.0000174701371074
l0__2,32.73715489811867,0.018347621912089187,0.0005294803121988932,32.69915546370886,32.770927604874196,1168.2934310780256,0.9992386441806643
l0__3,36.696795890057125,0.010785347202206062,0.00031493064280285944,36.67649023435037,36.71752227735245,1284.0683862162996,0.9991269126708909
l0__4,40.824688137834585,0.013193997027012083,0.0003608410683316739,40.79978861350562,40.85095452602337,1575.238937109678,0.99900313736182
l0__5,44.87793210142139,0.021611713494358132,0.0006461000773689286,44.832016414050784,44.91597900311313,1060.3437751500612,0.9990114389261318
l0__6,49.09096781128785,0.02721011296318453,0.0009654647554940736,49.038566163604024,49.141199862710316,733.7778209058004,1.0004983456801426
l0__7,53.293089862154005,0.03844242991050685,0.001556077771097535,53.20583575509982,53.36751099384959,662.8370593122405,1.004747128583518
l2__0,24.393512332896655,0.11605636178791612,0.004534179576858095,24.197064466083653,24.594553808533234,589.6562659385181,0.9998004241059734
l2__1,28.268290359653957,0.07990593672724103,0.0048112107708901996,28.08628336321205,28.402568305576462,161.84093942144474,1.0023292571808051
l2__2,32.17236055222089,0.01947655049326353,0.0006378097453345204,32.13446538576698,32.20916639481797,827.801415675225,1.0042229366999398
l2__3,36.16334479847877,0.018203943191883804,0.0004968424556536964,36.12691607172929,36.200111730974086,1305.4602884378023,1.0015773851250906
l2__4,40.30817986400794,0.0147548397683686,0.0004203239820680601,40.27779285580983,40.33721561055246,1201.8394745188027,0.999010068231146
l2__5,44.38940692923581,0.015442792583194294,0.00048441190754886984,44.35614972333593,44.41832634836249,1060.3816577593238,0.9991770730518533
l2__6,48.55963237071695,0.025406579250853087,0.0007801999331340799,48.508176553436115,48.60645318637463,863.5316672949873,0.9992830558517185
l2__7,52.81481152081038,0.09188318707008024,0.00394712831796097,52.62258867903453,52.988243907762566,480.70027240289306,0.9995338903706774
width0__0,0.18932202791133176,0.2470627180649672,0.011883809601846028,0.0048003205379446665,0.6293423333399861,410.1091503079949,0.9990538288557593
width0__1,0.14943139240251008,0.07395093422652875,0.002836884618157369,0.03202050227291091,0.28787232900723475,507.15412715408354,0.9994324440799304
width0__2,0.14478039578040167,0.043376521521703,0.0015608530660025817,0.0750591099680519,0.23809664372728517,727.1477681578957,0.9995250374383101
width0__3,0.09463691178189045,0.021138036315160775,0.0007154104791459586,0.05799626925600357,0.1404157436632021,803.1053541642553,0.9993789231616848
width0__4,0.11854837816724165,0.025041050211677313,0.0008988548100019317,0.06900901593424949,0.16706762290964663,813.7647262823249,0.9990557892296494
width0__5,0.1517078205371524,0.04073002231804114,0.0014625492180373745,0.08312943451155862,0.23755104702618066,725.969975649698,0.9997500418410259
width0__6,0.20263501530406974,0.06198023776149466,0.0025565641133074935,0.09744213094958584,0.3238117326014358,603.438626195667,1.0008977560715384
width0__7,0.17107123692395926,0.121906190927217,0.004627611272169474,0.015072031433074236,0.3797550782748593,661.3695478241787,0.9992281001068736
width2__0,0.1793925541030391,0.22945261017611146,0.008420227591721082,0.004952180054166146,0.5575855272727939,577.1359020874072,1.0037938834120224
width2__1,0.10656234304758976,0.1141692022493855,0.005640395143392471,0.0038392100367190094,0.29093897203876934,296.3612194786271,0.9992777108379196
width2__2,0.12031333484446616,0.04049706288015886,0.0013663201358206853,0.049613220954258574,0.20115449174142486,737.9639958121676,0.9997865272642363
width2__3,0.11044183025584986,0.03778035633733098,0.0013806484634480887,0.045851929007171416,0.18833654268053057,720.736295179096,1.0000693021174403
width2__4,0.12803568746868063,0.03784690898531925,0.0017672550485740544,0.06877389818456889,0.20744254272608675,328.3803364208838,0.999736663240154
width2__5,0.14609380292866475,0.04119540135411015,0.0015913126245041605,0.07640679055426249,0.22852763070362855,636.8919746940372,0.999001354965944
width2__6,0.20386250334405961,0.06575735264406209,0.002609928895730515,0.09373200981648604,0.3312315319278458,575.3565424284897,0.9993333534791393
width2__7,0.2551978455935436,0.2653619197135072,0.010662156177596388,0.008852746521329644,0.7980933102330194,544.5126204059661,1.0008661099894423
height0__0,0.3126029450595155,0.11868507179078987,0.003268063045314286,0.12037029833449564,0.5443159601652823,1140.854025885801,1.000105516867434
height0__1,1.3375047747589974,0.44745912069623744,0.014845276881215761,0.6035250581742294,2.2414027094763687,909.3863080929364,0.999897341002758
height0__2,3.999384669748517,1.1084513162302612,0.03624718850630278,2.1096031844319225,6.2089901131045115,825.0341062981815,0.9990855535228199
height0__3,9.057344350381072,2.494626139086396,0.07761407707696082,4.838108712115544,13.852601712012332,889.0751314786851,1.0001027581753363
height0__4,8.527699635664336,2.2170494867513253,0.08179616662619738,4.7272473903123,13.155437791848694,707.5366213079601,0.9997073477608117
height0__5,4.810373500393674,1.3654983955585813,0.0488757727391256,2.4475020279179773,7.547116506246497,810.2314003404034,1.0012360447278121
height0__6,3.353090775325854,0.9013254188395866,0.033034120415363466,1.7385998788536257,5.249357229032759,826.1971647431,0.9991721692645285
height0__7,1.3719236084249375,0.4669354774169278,0.015993050300554007,0.6515385646002151,2.3413064207489644,843.5767973915962,0.9991111435854255
height2__0,0.23844826341476025,0.09806966177308675,0.00263984671292248,0.09594512226847307,0.44801241580578866,1269.2246913179033,0.9990958904279743
height2__1,0.7721961330024506,0.27760862209031434,0.00890480612163175,0.31133780324620547,1.3355378761374745,1013.3868882617658,0.9990615636145073
height2__2,2.688318024494749,0.8144821768501286,0.025061508924323694,1.311965997568931,4.294921969817347,912.5472033996878,0.9997549436092225
height2__3,3.9775268901135092,1.2513281458904757,0.04358714102101692,2.04755317940543,6.691445044608368,768.1481993132065,0.9994879079223016
height2__4,5.770246400972408,1.6426046076648484,0.06291529472357296,3.160257959843776,9.069655814854624,605.5953961096202,0.9992508577279584
