dnu	numax	eps	d02	alpha	env_height	env_width	mode_width	teff	bp_rp	logL
1.23119609720230860361e+00	2.35415517240337646143e+00	1.38327787067338769944e+00	3.15693138777779214177e-01	-2.45103079539150892074e+00	1.50241696060345475416e+00	1.31827825086824601541e+00	-9.76956765948810978983e-01	3.70079802905561372484e+00	1.19864808097331154713e+00       -2.697862e+04
1.23331526171810335057e+00	2.32923786227668605520e+00	1.32972207496717587105e+00	3.49140420623086811247e-01	-2.45713584258365047575e+00	1.04417749623182576357e+00	1.33120305152277107474e+00	-8.74592379734243197120e-01	3.70885172370939741882e+00	1.15529142812913221405e+00       -2.697639e+04
1.23212353905659655062e+00	2.34462392039266465105e+00	1.36572840528295480489e+00	3.39933930932480143916e-01	-2.49779768721244765928e+00	8.43466011568723805780e-01	1.31946969179149387053e+00	-8.67505782366303601627e-01	3.70630792575812950673e+00	1.18276091211332268216e+00       -2.696420e+04
1.23261925367842617440e+00	2.34271626507443109233e+00	1.36683818307947779758e+00	3.30616059130881601025e-01	-2.69114218842515917629e+00	8.35699964271039874575e-01	1.31298385681268148240e+00	-9.20376919426945327984e-01	3.71265954026731392901e+00	1.10020640938520330998e+00       -2.694398e+04
1.22824202609695487531e+00	2.34626848936365872689e+00	1.35263819968671050731e+00	3.24489940632364082251e-01	-2.34301866783019940854e+00	1.11208697487509855506e+00	1.30016118523587209665e+00	-9.79690746086046448937e-01	3.70432783988373470763e+00	1.23902042572099335693e+00       -2.692748e+04
1.23146717302623009971e+00	2.35255589563835254552e+00	1.37902403761934722048e+00	3.17296787731677021327e-01	-2.17205063093321903978e+00	1.37276785215034990983e+00	1.31843573727875984503e+00	-8.60356007458370153351e-01	3.70235427264686434157e+00	1.16835199845761894544e+00       -2.692541e+04
1.22765251075701797845e+00	2.34095162507779130934e+00	1.36185165043049094535e+00	3.27047811772786911622e-01	-2.29762779102311975876e+00	1.16907970712157727178e+00	1.23252224608951799212e+00	-9.22052857154927352212e-01	3.69901927088140114463e+00	1.19270053444960044686e+00       -2.689935e+04
1.23375619921475121465e+00	2.33391044743927444927e+00	1.33402190098644934935e+00	3.59973237293929215763e-01	-2.34437293830107273962e+00	1.21186842006192763144e+00	1.25185550307572235340e+00	-7.90011296645078742173e-01	3.70922802432656428806e+00	1.24143455593213025701e+00       -2.687597e+04
1.23180304053750311333e+00	2.34372153319099174595e+00	1.40112275421163356981e+00	3.54986293984158485237e-01	-2.32931244819883653818e+00	8.56975685488168159587e-01	1.41041846275158766488e+00	-7.97096063827299583515e-01	3.70293867471566517935e+00	1.11256176290272090768e+00       -2.686270e+04
1.23034418330894235183e+00	2.34001153597972866294e+00	1.41709334587716684339e+00	3.58195078465044391969e-01	-2.77095314019441341102e+00	8.91695238661486255793e-01	1.34725158055832316961e+00	-7.11185914704714927659e-01	3.70710828833145633610e+00	1.17823968011299218261e+00       -2.685575e+04
1.22760919876592988764e+00	2.33856971272406077844e+00	1.36470473982829942905e+00	3.26482377719701066798e-01	-2.65390637063806389406e+00	1.11168202584608155625e+00	1.33789381891196978991e+00	-7.82811080516854662648e-01	3.70103830625884988592e+00	1.22635101294438708663e+00       -2.683860e+04
1.22661463089856570541e+00	2.34057754365038928057e+00	1.38446527315551293214e+00	3.24289822009296901939e-01	-2.69840046069141248353e+00	1.10426709308477777327e+00	1.34180460476827811966e+00	-7.89426703230659998489e-01	3.70035596765952901066e+00	1.12129085453260168848e+00       -2.683399e+04
1.22814958862791656635e+00	2.34893206004604415682e+00	1.36874492662101321372e+00	3.38574133764165285942e-01	-2.11782371479387521163e+00	7.65464519002555521254e-01	1.31573487002651789979e+00	-8.95619975336256479714e-01	3.70344617366023731719e+00	1.30073762727090014302e+00       -2.683201e+04
1.23133701812967610856e+00	2.34164998573360305656e+00	1.37616618285253178300e+00	3.32932684602279316266e-01	-2.60314416918145097313e+00	9.09373889118156419897e-01	1.31321883667432159903e+00	-7.67629181193471787914e-01	3.70440909501603732323e+00	1.18110965282109514618e+00       -2.682546e+04
1.22699710951819884741e+00	2.34238705165638094741e+00	1.37730830496291289933e+00	3.23701875529838811740e-01	-2.48692495480140562947e+00	1.32037770275262245079e+00	1.29089138751244769665e+00	-8.24780783249475457630e-01	3.71106232982701689238e+00	1.21025926632043856479e+00       -2.681171e+04
1.22675719523257731325e+00	2.35192329524273047170e+00	1.38750954601406162325e+00	3.17391233425740437735e-01	-2.93272615016326865245e+00	1.48858567048144174727e+00	1.20110950878811295617e+00	-9.18287231325771946544e-01	3.70370331971157051854e+00	1.26416072573353677200e+00       -2.680898e+04
1.22613133174998534258e+00	2.35347288988332881132e+00	1.41020504620833664333e+00	3.10816448079209883826e-01	-2.45408605220935793767e+00	1.06086404523866617566e+00	1.31819496301420802098e+00	-7.92684156970851816482e-01	3.70516308296150764789e+00	1.26112173652067860452e+00       -2.679165e+04
1.22685216130604901608e+00	2.33650197193613617941e+00	1.38300314002653235157e+00	3.12688719271269455202e-01	-2.56837472458275106746e+00	1.25509813873455899902e+00	1.27967051669831444194e+00	-7.98463549396706273598e-01	3.70614767396426492141e+00	1.21760079153204459068e+00       -2.678397e+04
1.22845055962152627238e+00	2.34664324773164700844e+00	1.35176987622426714175e+00	3.55468638250339641349e-01	-2.68892561375296690329e+00	1.43931834367560340660e+00	1.27204890216510690948e+00	-8.80029019415961899497e-01	3.70169868060705109514e+00	1.26675090898171260889e+00       -2.678123e+04
