,16th,2nd,50th,84th,97th,MAD,mean,mle,skew,std
dnu,0.5768093854105536,0.5761409719400288,0.5774707279104392,0.5781470103518934,0.5788333797954776,0.0006724041678814777,0.5774795540263857,0.5771562635076254,0.05214112545112471,0.0006720674726030085
numax,1.5331191103718491,1.5304742385310584,1.5357160390368236,1.5382350157001097,1.5408201447293717,0.0025093396651738034,1.5356877824940185,1.534134415313313,-0.05395342110090148,0.002580627525339916
eps,0.9496774937052649,0.934548457598616,0.9649109023208335,0.9796545326597257,0.9945893632224247,0.014746499075678444,0.9647400543888829,0.9697553514399668,-0.031033082051515067,0.014921399347800735
d02,-0.31410047947370123,-0.3248645415338106,-0.3036516805718458,-0.2929842815260764,-0.2821386896144665,0.010571599716964065,-0.3036363600927475,-0.3092386141435295,0.007000565259231035,0.01056920498116342
alpha,-1.8285906012039126,-1.9024953454426887,-1.7690539658761728,-1.7264799502231782,-1.692775448988626,0.04983050126073619,-1.776395395028833,-1.7330877629700114,-0.7163813814959185,0.05204492444508279
env_height,0.7866491360439966,0.7429193417819491,0.8316506402994579,0.8769753416755235,0.9269073494953199,0.04483574631791934,0.8323085233892206,0.8318816325278768,0.10024766597508378,0.04583164865740655
env_width,0.7365103461171352,0.7117260173976185,0.759643865876291,0.7813518190564857,0.8026272546157445,0.022385616150716128,0.7590051438069967,0.7683687729521086,-0.11345527411670012,0.02261133895022915
mode_width,-1.0289567550443333,-1.0636028344243356,-0.9982702021016744,-0.9679400834394014,-0.9367220665538737,0.029993339023260533,-0.9987079159652789,-0.9953016873731666,-0.08874822169767942,0.031119037301769428
teff,3.6810206601948634,3.6756524643386674,3.6843589943263084,3.687306904004992,3.690187007248605,0.003065486119643813,3.6840926388824045,3.683918631926933,-0.7256080677299793,0.003438211593840305
bp_rp,1.3700123135769071,1.3341486970826821,1.4044167372851002,1.4383821678206774,1.4740124484151411,0.03380461052758216,1.4041947096101761,1.3954120378882704,-0.03357911883686357,0.03487102470415334
