ell,nu_mad,nu_med
2,0.05660255788160736,18.81444927770145
0,0.051751712453620334,19.313339864554454
2,0.03272077493529906,22.360840003776644
0,0.027632340935583023,22.85938335933134
2,0.0183086494979164,25.97185847969047
0,0.013391563537343176,26.469346155179416
2,0.013263698209344935,29.648561138715994
0,0.010196910081539718,30.14546473937546
2,0.012216296574704855,33.389180058396974
0,0.009967031258460084,33.88592911512367
2,0.010487212036672189,37.19311446456907
0,0.008364853907713311,37.690284853993944
2,0.017299421072568894,41.061259422316304
0,0.014932819081143238,41.55820337097137
2,0.03538346683613228,44.993362044304455
0,0.03346108091267812,45.49012235035049
