ID,dnu,dnu_err,numax,numax_err,teff,teff_err,bp_rp,bp_rp_err
KIC1433593,6.241,0.013,69.14,0.59,4956,100,1.3270245,0.05
KIC1433730,4.085,0.019,40.37,0.54,4767,100,1.4249544,0.05
KIC2018392,3.795,0.013,33.92,0.55,4908,100,1.4171124,0.05
