ell,nu_mad,nu_med
2,0.03553850882598368,157.35947030159423
0,0.033553845864608245,159.58167512641825
2,0.019885548385956922,174.00177492958244
0,0.017528537363868536,176.2246413392445
2,0.012974136812223152,190.75929774329109
0,0.009527950206655705,192.9819818421476
2,0.011497092079706272,207.6319232370121
0,0.008462785276346215,209.85455398791458
2,0.010710248080218969,224.61910687446218
0,0.008185056121284822,226.8418855173582
2,0.011942932977876929,241.72135946849687
0,0.010015967721738116,243.94374611963116
2,0.021977657313632402,258.9381586720249
0,0.020493139534425546,261.16103126959786
