Unnamed: 0,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank,error_flag
4394,5629459,4837,100,41.28,0.58,4.4910000000000005,0.033,1.282663345336914,0.05,1.6157396886191548,3.684576087388456,6.883442626972162,0
10922,9456598,4841,100,40.63,0.7,4.487,0.018000000000000002,1.2864627838134766,0.05,1.6088468223264116,3.6849350826408895,6.8766357241532505,0
14354,11250139,4834,100,40.4,0.49,4.6110000000000015,0.009000000000000001,1.2786617279052734,0.05,1.6063813651106051,3.684306646071632,6.8743278808633255,0
11696,9834365,4830,80,39.99,0.76,4.479,0.023,1.2791061401367188,0.05,1.6019514041335217,3.6839471307515113,6.872019066861848,0
1699,3946593,4831,80,39.4,0.75,4.516,0.021,1.2814598083496094,0.05,1.5954962218255742,3.6840370374865197,6.871032219070695,0
2406,4469897,4821,80,39.41,1.44,4.396,0.029,1.286839485168457,0.05,1.5956064348656032,3.683137131483007,6.866465809164926,0
13217,10616687,4828,80,39.08,0.62,4.433,0.033,1.2834358215332031,0.05,1.5919545550467356,3.683767261425312,6.866364981201709,0
9903,8814586,4819,80,39.75,0.5,4.433,0.025,1.2907829284667969,0.05,1.599337132992489,3.6829569263012085,6.864827475940699,0
6731,7036151,4815,80,41.28,0.66,4.2010000000000005,0.029,1.2924861907958984,0.05,1.6157396886191548,3.6825962914605532,6.863995594777329,0
5582,6367815,4815,80,42.03,0.64,4.393,0.05,1.286895751953125,0.05,1.6235593900054368,3.6825962914605532,6.858337224114081,0
14066,11098753,4817,80,41.91,1.04,4.559,0.024,1.2951593399047852,0.05,1.6223176608338443,3.682776646314434,6.856378814952906,0
1151,3527032,4815,100,42.64,0.64,4.5680000000000005,0.015,1.2905235290527344,0.05,1.629817196018516,3.6825962914605532,6.850358050330279,0
3110,4937204,4810,100,40.48,0.46,4.425,0.013,1.2877693176269531,0.05,1.6072405038317426,3.682145076373832,6.846886964993472,0
15669,12117138,4806,80,41.34,0.75,4.46,0.034,1.2885103225708008,0.05,1.6163704722912695,3.6817837664678814,6.83174014455625,1
1785,3968382,4838,80,41.21,0.82,4.468,0.044,1.2987689971923828,0.05,1.6150026145245884,3.684665864025862,6.829578907675868,0
9504,8570577,4828,80,40.51,0.6,4.484,0.034,1.2708759307861328,0.05,1.6075622431835883,3.683767261425312,6.81925906614709,0
7381,7444985,4820,80,40.31,0.45,4.448,0.013,1.2739505767822266,0.05,1.6054127981530513,3.6830470382388496,6.8188031132918185,0
10228,9029195,4854,100,40.44,1.55,4.544,0.388,1.2861433029174805,0.05,1.6068111469189634,3.686099771995916,6.815841116301786,1
6711,7032190,4843,80,43.51,0.81,4.644,0.032,1.2748432159423828,0.05,1.6385890832927168,3.6851144690465394,6.815605414525997,0
2385,4459025,4826,80,39.19,0.55,4.422,0.021,1.2716922760009766,0.05,1.5931752634781025,3.683587317572767,6.815359579046116,0
6644,7007173,4821,80,42.42,1.56,4.623,0.069,1.2754669189453125,0.05,1.6275706641805432,3.683137131483007,6.810264738824513,0
11241,9637054,4852,100,43.34,0.54,4.525,0.013,1.2841653823852541,0.05,1.636888906983799,3.685920792194535,6.809779198725206,0
3987,5439695,4823,80,43.89,0.8,4.6110000000000015,0.021,1.2802391052246094,0.05,1.6423655808449733,3.6833172619218826,6.804646323808372,1
890,3236108,4810,80,39.19,0.56,4.356,0.024,1.2793655395507812,0.05,1.5931752634781025,3.682145076373832,6.800411241565063,0
1587,3854605,4825,142,39.4,0.87,4.176,0.031,1.3011579513549805,0.05,1.5954962218255742,3.6834973176798114,6.800364201809647,0
14449,11298776,4858,100,40.36,0.36,4.538,0.011,1.2817420959472656,0.05,1.6059511575648728,3.6864575104691117,6.793279184592482,0
1167,3529480,4852,100,43.7,1.48,4.585,0.02,1.2700338363647459,0.05,1.640481436970422,3.685920792194535,6.7875421953330255,0
7266,7366820,4836,80,36.99,0.68,4.174,0.023,1.2830257415771484,0.05,1.568084331315394,3.6844862921887342,6.787505427214747,0
352,2437692,4828,80,44.85,1.81,4.774,0.026,1.2907209396362305,0.05,1.651762447380111,3.683767261425312,6.787314139446184,0
6721,7033996,4828,168,38.17,1.13,3.788,0.535,1.2686634063720703,0.05,1.5817221599490987,3.683767261425312,6.786529141012024,1
13301,10675230,4835,80,36.69,0.91,4.1960000000000015,0.053,1.2762317657470703,0.05,1.5645477117559483,3.6843964784190213,6.7823461191453545,0
5538,6357581,4862,100,42.16,0.38,4.673,0.018000000000000002,1.2794694900512695,0.05,1.62490060220449,3.6868149545073168,6.781995461174209,0
9102,8363613,4805,80,43.39,0.82,4.655,0.029,1.2847919464111328,0.05,1.6373896501292118,3.681693392004564,6.780655905971536,0
5282,6200565,4817,80,37.29,0.56,4.09,0.222,1.2924489974975586,0.05,1.5715923833613072,3.682776646314434,6.778084904995593,1
16063,12691710,4852,80,38.47,0.6,4.426,0.044,1.281773567199707,0.05,1.5851221863068157,3.685920792194535,6.777469872895104,0
6527,6935260,4860,100,42.89,0.47,4.598,0.011,1.2689857482910156,0.05,1.6323560462390732,3.686636269262293,6.776907891576912,0
15437,11959228,4806,80,38.1,1.26,4.213,0.038,1.2922239303588867,0.05,1.5809249756756194,3.6817837664678814,6.775618368407747,0
13970,11043831,4828,100,36.44,0.41,4.26,0.064,1.2843542098999023,0.05,1.5615783683009603,3.683767261425312,6.774542129633143,0
5961,6604495,4807,100,41.79,0.67,4.442,0.04,1.3059120178222656,0.05,1.621072371143626,3.681874122128647,6.77309741282262,0
