ID,error_flag
KIC2425316,-1
KIC2425348,-1
KIC2425375,-1
KIC2425631,-1
KIC2435987,-1
KIC2436097,-1
KIC2436209,-1
KIC2436332,-1
KIC2436417,-1
KIC2436457,-1
KIC2436458,-1
KIC2436540,-1
KIC2436676,-1
KIC2436688,-1
KIC2436732,-1
KIC2436814,-1
KIC2436824,-1
KIC2436900,-1
KIC2436912,-1
KIC2437040,-1
KIC2437103,-1
KIC2437191,-1
KIC2437240,-1
KIC2437340,-1
KIC2437353,-1
KIC2437402,-1
KIC2437444,-1
KIC2437488,-1
KIC2437507,-1
KIC2437539,-1
KIC2437564,-1
KIC2437589,-1
KIC2437653,-1
KIC2437692,-1
KIC2437698,-1
KIC2437781,-1
KIC2437804,-1
KIC2437805,-1
KIC2437816,-1
KIC2437957,-1
KIC2437965,-1
KIC2437976,-1
KIC2437987,-1
KIC2438038,-1
KIC2438051,-1
KIC2438094,-1
KIC2438140,-1
KIC2438333,-1
KIC2438368,-1
KIC2438470,-1
KIC2438522,-1
KIC2439378,-1
KIC2439420,-1
KIC2441510,-1
KIC2441711,-1
KIC2441995,-1
KIC2442363,-1
KIC2442382,-1
KIC2442483,-1
KIC2442559,-1
KIC2442606,-1
KIC2442759,-1
KIC2443035,-1
KIC2443573,-1
KIC2443691,-1
KIC2443903,-1
KIC2444062,-1
KIC2444316,-1
KIC2444348,-1
KIC2444598,-1
KIC2444691,-1
KIC2444790,-1
KIC2445426,-1
KIC2445712,-1
KIC2445833,-1
KIC2445947,-1
KIC2446141,-1
KIC2446327,-1
KIC2447046,-1
KIC2447476,-1
KIC2447529,-1
KIC2447604,-1
KIC2448225,-1
KIC2448260,-1
KIC2448679,-1
KIC2448756,-1
KIC2449020,-1
KIC2449327,-1
KIC2449374,-1
KIC2449518,-1
KIC2449558,-1
KIC2449570,-1
KIC2449703,-1
KIC2449858,-1
KIC2450318,-1
KIC2451509,-1
KIC2451903,-1
KIC2452439,-1
KIC2452890,-1
KIC2554152,-1
KIC2554924,-1
KIC2556252,-1
KIC2556387,-1
KIC2556475,-1
KIC2556640,-1
KIC2557392,-1
KIC2557441,-1
KIC2557556,-1
KIC2557799,-1
KIC2557864,-1
KIC2557942,-1
KIC2558677,-1
KIC2558794,-1
KIC2568563,-1
KIC2568912,-1
KIC2569055,-1
KIC2569360,-1
KIC2569618,-1
KIC2569945,-1
KIC2570094,-1
KIC2570172,-1
KIC2570214,-1
KIC2570244,-1
KIC2570370,-1
KIC2570384,-1
KIC2570518,-1
KIC2570659,-1
KIC2570715,-1
KIC2570870,-1
KIC2571106,-1
KIC2571323,-1
KIC2571668,-1
KIC2572089,-1
KIC2572323,-1
KIC2572430,-1
KIC2572522,-1
KIC2572667,-1
KIC2573092,-1
KIC2573548,-1
KIC2574191,-1
KIC2574543,-1
KIC2575024,-1
KIC2575044,-1
KIC2576211,-1
KIC2576417,-1
KIC2576640,-1
KIC2576993,-1
KIC2577330,-1
KIC2578184,-1
KIC2578198,-1
KIC2578301,-1
KIC2578581,-1
KIC2579142,-1
KIC2579661,-1
KIC2580691,-1
KIC2580869,-1
KIC2581394,-1
KIC2581533,-1
KIC2581583,-1
KIC2582178,-1
KIC2582764,-1
KIC2583386,-1
KIC2583651,-1
KIC2583884,-1
KIC2584189,-1
KIC2584202,-1
KIC2584477,-1
KIC2584478,-1
KIC2584997,-1
KIC2585190,-1
KIC2585358,-1
KIC2692189,-1
KIC2692438,-1
KIC2692629,-1
KIC2693261,-1
KIC2693967,-1
KIC2695267,-1
KIC2695336,-1
KIC2695592,-1
KIC2695975,-1
KIC2696115,-1
KIC2696628,-1
KIC2696732,-1
KIC2696739,-1
KIC2696955,-1
KIC2697082,-1
KIC2697306,-1
KIC2697501,-1
KIC2697907,-1
KIC2706683,-1
KIC2708270,-1
KIC2708445,-1
KIC2708803,-1
KIC2709230,-1
KIC2709587,-1
KIC2709625,-1
KIC2709877,-1
KIC2710002,-1
KIC2710171,-1
KIC2710194,-1
KIC2710472,-1
KIC2711035,-1
KIC2711123,-1
KIC2711432,-1
KIC2711477,-1
KIC2712313,-1
KIC2712534,-1
KIC2712761,-1
KIC2713172,-1
KIC2713278,-1
KIC2713305,-1
KIC2713345,-1
KIC2713391,-1
KIC2713674,-1
KIC2713894,-1
KIC2714090,-1
KIC2714108,-1
KIC2714397,-1
KIC2714470,-1
KIC2714785,-1
KIC2715523,-1
KIC2715920,-1
KIC2715975,-1
KIC2716376,-1
KIC2716608,-1
KIC2717201,-1
KIC2717478,-1
KIC2718241,-1
KIC2719113,-1
KIC2719382,-1
KIC2719466,-1
KIC2719701,-1
KIC2719795,-1
KIC2720096,-1
KIC2720444,-1
KIC2720447,-1
KIC2720777,-1
KIC2721170,-1
KIC2722294,-1
KIC2722450,-1
KIC2722473,-1
KIC2722717,-1
KIC2722819,-1
KIC2831788,-1
KIC2831815,-1
KIC2832426,-1
KIC2833089,-1
KIC2833772,-1
KIC2834229,-1
KIC2834230,-1
KIC2834607,-1
KIC2835067,-1
KIC2835283,-1
KIC2835657,-1
KIC2835720,-1
KIC2836038,-1
KIC2837276,-1
KIC2845408,-1
KIC2845610,-1
KIC2845734,-1
KIC2846051,-1
KIC2846355,-1
KIC2846543,-1
KIC2846659,-1
KIC2846944,-1
KIC2847114,-1
KIC2847541,-1
KIC2847978,-1
KIC2848618,-1
KIC2848725,-1
KIC2848857,-1
KIC2848887,-1
KIC2849057,-1
KIC2849378,-1
KIC2849476,-1
KIC2849721,-1
KIC2850010,-1
KIC2850466,-1
KIC2850480,-1
KIC2850913,-1
KIC2851014,-1
KIC2852827,-1
KIC2853089,-1
KIC2853354,-1
KIC2853631,-1
KIC2853886,-1
KIC2854297,-1
KIC2854664,-1
KIC2854735,-1
KIC2854994,-1
KIC2855034,-1
KIC2855150,-1
KIC2855443,-1
KIC2855541,-1
KIC2855642,-1
KIC2855771,-1
KIC2856328,-1
KIC2856412,-1
KIC2856589,-1
KIC2856721,-1
KIC2856795,-1
KIC2856803,-1
KIC2856815,-1
KIC2856817,-1
KIC2857130,-1
KIC2858216,-1
KIC2858440,-1
KIC2859830,-1
KIC2860010,-1
KIC2860452,-1
KIC2860746,-1
KIC2860875,-1
KIC2860885,-1
KIC2860936,-1
KIC2861042,-1
KIC2861630,-1
KIC2865296,-1
KIC2969462,-1
KIC2969846,-1
KIC2970396,-1
KIC2970584,-1
KIC2970784,-1
KIC2971380,-1
KIC2971432,-1
KIC2971713,-1
KIC2972545,-1
KIC2972637,-1
KIC2972707,-1
KIC2972876,-1
KIC2973238,-1
KIC2973469,-1
KIC2973845,-1
KIC2973894,-1
KIC2974827,-1
KIC2975717,-1
KIC2982965,-1
KIC2983341,-1
KIC2983428,-1
KIC2984102,-1
KIC2984295,-1
KIC2984382,-1
KIC2984775,-1
KIC2984937,-1
KIC2985703,-1
KIC2986322,-1
KIC2986324,-1
KIC2986661,-1
KIC2987113,-1
KIC2987297,-1
KIC2988079,-1
KIC2988295,-1
KIC2988638,-1
KIC2988655,-1
KIC2988743,-1
KIC2988988,-1
KIC2989746,-1
KIC2989840,-1
KIC2989924,-1
KIC2990932,-1
KIC2991027,-1
KIC2991043,-1
KIC2992161,-1
KIC2992250,-1
KIC2992350,-1
KIC2992573,-1
KIC2993958,-1
KIC2994573,-1
KIC2994762,-1
KIC2995050,-1
KIC2995130,-1
KIC2995197,-1
KIC2995252,-1
KIC2995656,-1
KIC2995753,-1
KIC2996019,-1
KIC2996112,-1
KIC2996738,-1
KIC2997086,-1
KIC2997353,-1
KIC2997437,-1
KIC2998011,-1
KIC2998532,-1
KIC3001667,-1
KIC3001851,-1
KIC3003053,-1
KIC3003419,-1
KIC3096473,-1
KIC3096636,-1
KIC3097169,-1
KIC3097183,-1
KIC3097194,-1
KIC3097360,-1
KIC3097819,-1
KIC3098045,-1
KIC3098179,-1
KIC3098716,-1
KIC3098759,-1
KIC3099707,-1
KIC3099759,-1
KIC3099834,-1
KIC3099932,-1
KIC3099949,-1
KIC3100053,-1
KIC3100164,-1
KIC3100193,-1
KIC3100505,-1
KIC3100575,-1
KIC3101057,-1
KIC3101090,-1
KIC3101632,-1
KIC3101815,-1
KIC3102386,-1
KIC3102411,-1
KIC3102465,-1
KIC3102479,-1
KIC3102872,-1
KIC3102929,-1
KIC3102990,-1
KIC3103685,-1
KIC3103827,-1
KIC3109520,-1
KIC3109620,-1
KIC3109654,-1
KIC3109742,-1
KIC3109900,-1
KIC3110056,-1
KIC3110460,-1
KIC3110626,-1
KIC3110638,-1
KIC3110733,-1
KIC3110846,-1
KIC3110892,-1
KIC3111383,-1
KIC3111456,-1
KIC3111693,-1
KIC3111815,-1
KIC3111831,-1
KIC3112021,-1
KIC3112064,-1
KIC3112182,-1
KIC3112405,-1
KIC3112492,-1
KIC3112530,-1
KIC3112543,-1
KIC3112707,-1
KIC3113213,-1
KIC3113433,-1
KIC3113437,-1
KIC3113648,-1
KIC3113811,-1
KIC3113818,-1
KIC3113915,-1
KIC3114215,-1
KIC3114408,-1
KIC3114776,-1
KIC3115292,-1
KIC3115417,-1
KIC3115946,-1
KIC3116199,-1
KIC3116604,-1
KIC3116848,-1
KIC3117024,-1
KIC3118785,-1
KIC3118806,-1
KIC3119354,-1
KIC3119526,-1
KIC3119555,-1
KIC3119825,-1
KIC3120004,-1
KIC3120486,-1
KIC3120550,-1
KIC3120567,-1
KIC3120585,-1
KIC3120676,-1
KIC3121155,-1
KIC3121340,-1
KIC3121427,-1
KIC3121940,-1
KIC3121983,-1
KIC3122000,-1
KIC3122185,-1
KIC3122548,-1
KIC3123206,-1
KIC3123372,-1
KIC3123653,-1
KIC3123889,-1
KIC3127825,-1
KIC3128379,-1
KIC3128866,-1
KIC3129312,-1
KIC3129980,-1
KIC3130277,-1
KIC3130295,-1
KIC3130335,-1
KIC3131023,-1
KIC3215565,-1
KIC3215815,-1
KIC3215869,-1
KIC3216051,-1
KIC3216064,-1
KIC3216334,-1
KIC3216467,-1
KIC3216638,-1
KIC3216716,-1
KIC3216736,-1
KIC3216802,-1
KIC3217026,-1
KIC3217051,-1
KIC3217089,-1
KIC3218253,-1
KIC3218312,-1
KIC3218373,-1
KIC3218374,-1
KIC3218930,-1
KIC3218973,-1
KIC3219086,-1
KIC3219306,-1
KIC3219744,-1
KIC3220095,-1
KIC3220837,-1
KIC3221086,-1
KIC3221152,-1
KIC3221239,-1
KIC3221723,-1
KIC3222220,-1
KIC3222240,-1
KIC3222326,-1
KIC3222670,-1
KIC3222680,-1
KIC3222740,-1
KIC3222834,-1
KIC3223003,-1
KIC3223038,-1
KIC3227969,-1
KIC3228100,-1
KIC3228219,-1
KIC3228689,-1
KIC3228728,-1
KIC3228742,-1
KIC3228985,-1
KIC3229705,-1
KIC3230401,-1
KIC3230719,-1
